time,in,out
53265000,1,0
53344000,0,1
53344000,0,1
53348000,1,0
53534000,0,1
53594000,1,0
53624000,0,1
53667000,1,0
53695000,1,0
53696000,1,0
53697000,1,0
53711000,1,0
53732000,0,1
53766000,0,1
53803000,0,1
53815000,1,0
53876000,1,0
53923000,0,1
53974000,1,0
54043000,1,0
54065000,0,1
54072000,1,0
54203000,0,1
54274000,0,1
54462000,0,1
54479000,1,0
54643000,1,0
54669000,0,1
54695000,0,1
54757000,0,1
54790000,0,1
54830000,0,1
54837000,1,0
54843000,1,0
54856000,0,1
54894000,0,1
54958000,1,0
55115000,0,1
55120000,0,1
55128000,1,0
55138000,1,0
55195000,1,0
55280000,0,1
55620000,0,1
55625000,0,1
55628000,0,1
55679000,0,1
55908000,0,1
55937000,1,0
55938000,1,0
55940000,1,0
56116000,0,1
56134000,1,0
56176000,0,1
56178000,1,0
56367000,0,1
56500000,1,0
56503000,1,0
56517000,0,1
56673000,0,1
56704000,0,1
56812000,1,0
