TS,TypeOfEvent,,,,,infra,tof
1538035740141,1,,,,1538035740118,"1,5",1
1538035743102,3,,,,1538035743102,"1,5",3
1538035760744,3,,,,1538035760744,"3,5",3
"1538035787511,5",1,,,,1538035787474,"1,5",1
1538035803564,1,,,,1538035803522,"1,5",1
1538035836305,1,,,,1538035836279,"1,5",1
1538035866209,1,,,,1538035866209,"3,5",1
1538035890560,3,,,,1538035890560,"3,5",3
1538035928960,3,,,,1538035904220,"1,5",
1538035943500,3,,,,1538035928960,"3,5",3
1538035946220,3,,,,1538035943500,"3,5",3
1538036000880,3,,,,1538035946220,"3,5",3
1538036005320,3,,,,1538036000880,,3
1538036025361,3,,,,1538036005252,"3,5",3
,,,,,1538036025361,"3,5",3
1538036102004,3,,,,,,
1538036176200,3,,,,,,
1538036220418,3,,,,,,
1538036222515,3,,,,,,
1538036236535,3,,,,,,
1538036252588,3,,,,,,
1538036253651,3,,,,,,
"1538036321071,5",3,,,,,,
1538036322212,3,,,,,,
1538036323020,3,,,,,,
1538036323918,3,,,,,,
1538036077775,1,,,,,,
1538036215959,1,,,,,,
1538036246409,1,,,,,,
,,,,,,,
1538036346709,3,,,,,,
1538036351581,3,,,,,,
1538036375273,3,,,,,,
1538036381020,3,,,,,,
"1538036421455,5",3,,,,,,
1538036450061,3,,,,,,
1538036464440,3,,,,,,
1538036492556,3,,,,,,
1538036509440,3,,,,,,
1538036514100,3,,,,,,
1538036541608,3,,,,,,
1538036551320,3,,,,,,
1538036355805,1,,,,,,
"1538036401263,5",1,,,,,,
1538036459691,1,,,,,,
1538036474013,1,,,,,,
1538036478676,1,,,,,,
1538036479560,1,,,,,,
1538036480360,1,,,,,,
1538036488896,1,,,,,,
1538036512439,1,,,,,,
1538036520427,1,,,,,,
1538036526529,1,,,,,,
1538036532613,1,,,,,,
,,,,,,,
"1538036671051,5",1,,,,,,
1538036678189,1,,,,,,
1538036679854,1,,,,,,
1538036721310,1,,,,,,
1538036723100,1,,,,,,
1538036765880,1,,,,,,
1538036810014,1,,,,,,
1538036855560,1,,,,,,
1538036871920,1,,,,,,
1538036873375,1,,,,,,
1538036874380,1,,,,,,
1538036881711,1,,,,,,
1538036932670,1,,,,,,
"1538036663631,5",0,,,,,,
1538036667054,0,,,,,,
1538036763140,0,,,,,,
"1538036805015,5",0,,,,,,
1538036835154,0,,,,,,
1538036849400,0,,,,,,
"1538036861619,5",0,,,,,,
1538036862860,0,,,,,,
1538036866740,0,,,,,,
1538036867737,0,,,,,,
1538036876260,0,,,,,,
,,,,,,,
1538036976710,1,,,,,,
1538036980082,1,,,,,,
1538036988871,1,,,,,,
"1538037015549,5",1,,,,,,
1538037055187,1,,,,,,
1538037081979,1,,,,,,
1538036956760,0,,,,,,
"1538036986598,5",0,,,,,,
,,,,,,,
1538037277304,1,,,,,,
1538037352265,1,,,,,,
"1538037393117,5",1,,,,,,
1538037502608,1,,,,,,
1538037286999,0,,,,,,
,,,,,,,
1538037570965,1,,,,,,
1538037579174,1,,,,,,
1538037635286,1,,,,,,
1538037782120,1,,,,,,
"1538037560092,5",0,,,,,,
1538037567956,0,,,,,,
1538037591208,0,,,,,,
