	IN	OUT	RMSE	MAE	span	delta
0	20	23	2.12	1.50	600	1400
1	20	23	2.12	1.50	600	1500
2	20	23	2.12	1.50	600	1600
3	21	23	1.41	1.00	600	1700
4	21	23	1.41	1.00	600	1800
5	21	23	1.41	1.00	600	1900
6	21	23	1.41	1.00	600	2000
7	20	23	2.12	1.50	650	1400
8	20	23	2.12	1.50	650	1500
9	20	23	2.12	1.50	650	1600
10	21	23	1.41	1.00	650	1700
11	21	23	1.41	1.00	650	1800
12	21	23	1.41	1.00	650	1900
13	21	23	1.41	1.00	650	2000
14	20	23	2.12	1.50	700	1400
15	20	23	2.12	1.50	700	1500
16	20	23	2.12	1.50	700	1600
17	21	23	1.41	1.00	700	1700
18	21	23	1.41	1.00	700	1800
19	21	23	1.41	1.00	700	1900
20	21	23	1.41	1.00	700	2000
21	20	23	2.12	1.50	750	1400
22	20	23	2.12	1.50	750	1500
23	20	23	2.12	1.50	750	1600
24	21	23	1.41	1.00	750	1700
25	21	23	1.41	1.00	750	1800
26	21	23	1.41	1.00	750	1900
27	21	23	1.41	1.00	750	2000
28	20	23	2.12	1.50	800	1400
29	20	23	2.12	1.50	800	1500
30	20	23	2.12	1.50	800	1600
31	21	23	1.41	1.00	800	1700
32	21	23	1.41	1.00	800	1800
33	21	23	1.41	1.00	800	1900
34	21	23	1.41	1.00	800	2000
35	20	23	2.12	1.50	850	1400
36	20	23	2.12	1.50	850	1500
37	20	23	2.12	1.50	850	1600
38	21	23	1.41	1.00	850	1700
39	21	23	1.41	1.00	850	1800
40	21	23	1.41	1.00	850	1900
41	21	23	1.41	1.00	850	2000
42	20	23	2.12	1.50	900	1400
43	20	23	2.12	1.50	900	1500
44	20	23	2.12	1.50	900	1600
45	21	23	1.41	1.00	900	1700
46	21	23	1.41	1.00	900	1800
47	21	23	1.41	1.00	900	1900
48	21	23	1.41	1.00	900	2000
49	20	23	2.12	1.50	950	1400
50	20	23	2.12	1.50	950	1500
51	20	23	2.12	1.50	950	1600
52	21	23	1.41	1.00	950	1700
53	21	23	1.41	1.00	950	1800
54	21	23	1.41	1.00	950	1900
55	21	23	1.41	1.00	950	2000
56	20	23	2.12	1.50	1000	1400
57	20	23	2.12	1.50	1000	1500
58	20	23	2.12	1.50	1000	1600
59	21	23	1.41	1.00	1000	1700
60	21	23	1.41	1.00	1000	1800
61	21	23	1.41	1.00	1000	1900
62	21	23	1.41	1.00	1000	2000
