	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	5	3	2.24	2.00	-50.0	50.0	48	1000
1	4	2	1.41	1.00	0.0	100.0	49	1000
2	3	2	0.71	0.50	50.0	100.0	50	1000
3	3	1	1.00	1.00	50.0	50.0	51	1000
4	3	1	1.00	1.00	50.0	50.0	52	1000
5	6	3	2.92	2.50	-100.0	50.0	48	1050
6	5	2	2.12	1.50	-50.0	100.0	49	1050
7	3	2	0.71	0.50	50.0	100.0	50	1050
8	3	1	1.00	1.00	50.0	50.0	51	1050
9	3	1	1.00	1.00	50.0	50.0	52	1050
10	7	3	3.61	3.00	-150.0	50.0	48	1100
11	6	2	2.83	2.00	-100.0	100.0	49	1100
12	4	2	1.41	1.00	0.0	100.0	50	1100
13	4	1	1.58	1.50	0.0	50.0	51	1100
14	4	1	1.58	1.50	0.0	50.0	52	1100
15	7	3	3.61	3.00	-150.0	50.0	48	1150
16	6	2	2.83	2.00	-100.0	100.0	49	1150
17	4	2	1.41	1.00	0.0	100.0	50	1150
18	4	1	1.58	1.50	0.0	50.0	51	1150
19	4	1	1.58	1.50	0.0	50.0	52	1150
20	7	3	3.61	3.00	-150.0	50.0	48	1200
21	6	2	2.83	2.00	-100.0	100.0	49	1200
22	4	2	1.41	1.00	0.0	100.0	50	1200
23	4	2	1.41	1.00	0.0	100.0	51	1200
24	4	2	1.41	1.00	0.0	100.0	52	1200
