	IN	OUT	RMSE	MAE	enough_zero	delta
0	2	6	15.52	15.00	10	1400
1	2	6	15.52	15.00	11	1400
2	2	6	15.52	15.00	12	1400
3	2	6	15.52	15.00	13	1400
4	2	6	15.52	15.00	14	1400
5	2	6	15.52	15.00	15	1400
6	2	6	15.52	15.00	16	1400
7	2	6	15.52	15.00	17	1400
8	2	6	15.52	15.00	18	1400
9	2	6	15.52	15.00	19	1400
10	2	5	15.89	15.50	20	1400
11	2	5	15.89	15.50	21	1400
12	2	5	15.89	15.50	22	1400
13	2	4	16.28	16.00	23	1400
14	2	4	16.28	16.00	24	1400
15	2	2	17.12	17.00	25	1400
16	2	6	15.52	15.00	10	1500
17	2	6	15.52	15.00	11	1500
18	2	6	15.52	15.00	12	1500
19	2	6	15.52	15.00	13	1500
20	2	6	15.52	15.00	14	1500
21	2	6	15.52	15.00	15	1500
22	2	6	15.52	15.00	16	1500
23	2	6	15.52	15.00	17	1500
24	2	6	15.52	15.00	18	1500
25	2	6	15.52	15.00	19	1500
26	2	5	15.89	15.50	20	1500
27	2	5	15.89	15.50	21	1500
28	2	5	15.89	15.50	22	1500
29	2	4	16.28	16.00	23	1500
30	2	4	16.28	16.00	24	1500
31	2	2	17.12	17.00	25	1500
32	2	6	15.52	15.00	10	1600
33	2	6	15.52	15.00	11	1600
34	2	6	15.52	15.00	12	1600
35	2	6	15.52	15.00	13	1600
36	2	6	15.52	15.00	14	1600
37	2	6	15.52	15.00	15	1600
38	2	6	15.52	15.00	16	1600
39	2	6	15.52	15.00	17	1600
40	2	6	15.52	15.00	18	1600
41	2	6	15.52	15.00	19	1600
42	2	5	15.89	15.50	20	1600
43	2	5	15.89	15.50	21	1600
44	2	5	15.89	15.50	22	1600
45	2	4	16.28	16.00	23	1600
46	2	4	16.28	16.00	24	1600
47	2	2	17.12	17.00	25	1600
48	2	6	15.52	15.00	10	1700
49	2	6	15.52	15.00	11	1700
50	2	6	15.52	15.00	12	1700
51	2	6	15.52	15.00	13	1700
52	2	6	15.52	15.00	14	1700
53	2	6	15.52	15.00	15	1700
54	2	6	15.52	15.00	16	1700
55	2	6	15.52	15.00	17	1700
56	2	6	15.52	15.00	18	1700
57	2	6	15.52	15.00	19	1700
58	2	5	15.89	15.50	20	1700
59	2	5	15.89	15.50	21	1700
60	2	5	15.89	15.50	22	1700
61	2	4	16.28	16.00	23	1700
62	2	4	16.28	16.00	24	1700
63	2	2	17.12	17.00	25	1700
64	2	6	15.52	15.00	10	1800
65	2	6	15.52	15.00	11	1800
66	2	6	15.52	15.00	12	1800
67	2	6	15.52	15.00	13	1800
68	2	6	15.52	15.00	14	1800
69	2	6	15.52	15.00	15	1800
70	2	6	15.52	15.00	16	1800
71	2	6	15.52	15.00	17	1800
72	2	6	15.52	15.00	18	1800
73	2	6	15.52	15.00	19	1800
74	2	5	15.89	15.50	20	1800
75	2	5	15.89	15.50	21	1800
76	2	5	15.89	15.50	22	1800
77	2	4	16.28	16.00	23	1800
78	2	4	16.28	16.00	24	1800
79	2	2	17.12	17.00	25	1800
80	2	6	15.52	15.00	10	1900
81	2	6	15.52	15.00	11	1900
82	2	6	15.52	15.00	12	1900
83	2	6	15.52	15.00	13	1900
84	2	6	15.52	15.00	14	1900
85	2	6	15.52	15.00	15	1900
86	2	6	15.52	15.00	16	1900
87	2	6	15.52	15.00	17	1900
88	2	6	15.52	15.00	18	1900
89	2	6	15.52	15.00	19	1900
90	2	5	15.89	15.50	20	1900
91	2	5	15.89	15.50	21	1900
92	2	5	15.89	15.50	22	1900
93	2	4	16.28	16.00	23	1900
94	2	4	16.28	16.00	24	1900
95	2	2	17.12	17.00	25	1900
96	2	6	15.52	15.00	10	2000
97	2	6	15.52	15.00	11	2000
98	2	6	15.52	15.00	12	2000
99	2	6	15.52	15.00	13	2000
100	2	6	15.52	15.00	14	2000
101	2	6	15.52	15.00	15	2000
102	2	6	15.52	15.00	16	2000
103	2	6	15.52	15.00	17	2000
104	2	6	15.52	15.00	18	2000
105	2	6	15.52	15.00	19	2000
106	2	5	15.89	15.50	20	2000
107	2	5	15.89	15.50	21	2000
108	2	5	15.89	15.50	22	2000
109	2	4	16.28	16.00	23	2000
110	2	4	16.28	16.00	24	2000
111	2	2	17.12	17.00	25	2000
