	IN	OUT	RMSE	MAE	enough_zero	delta
0	14	41	17.68	15.50	10	1400
1	14	41	17.68	15.50	11	1400
2	14	41	17.68	15.50	12	1400
3	14	41	17.68	15.50	13	1400
4	13	41	17.89	16.00	14	1400
5	4	36	18.03	18.00	15	1400
6	4	36	18.03	18.00	16	1400
7	4	36	18.03	18.00	17	1400
8	4	34	17.00	17.00	18	1400
9	4	32	16.03	16.00	19	1400
10	4	25	13.29	12.50	20	1400
11	4	21	12.35	10.50	21	1400
12	4	20	12.21	10.00	22	1400
13	4	17	12.02	8.50	23	1400
14	4	17	12.02	8.50	24	1400
15	4	12	12.53	11.00	25	1400
16	14	41	17.68	15.50	10	1500
17	14	41	17.68	15.50	11	1500
18	14	41	17.68	15.50	12	1500
19	14	41	17.68	15.50	13	1500
20	13	41	17.89	16.00	14	1500
21	4	36	18.03	18.00	15	1500
22	4	36	18.03	18.00	16	1500
23	4	36	18.03	18.00	17	1500
24	4	34	17.00	17.00	18	1500
25	4	32	16.03	16.00	19	1500
26	4	25	13.29	12.50	20	1500
27	4	21	12.35	10.50	21	1500
28	4	20	12.21	10.00	22	1500
29	4	17	12.02	8.50	23	1500
30	4	17	12.02	8.50	24	1500
31	4	12	12.53	11.00	25	1500
32	14	41	17.68	15.50	10	1600
33	14	41	17.68	15.50	11	1600
34	14	41	17.68	15.50	12	1600
35	14	41	17.68	15.50	13	1600
36	13	41	17.89	16.00	14	1600
37	4	36	18.03	18.00	15	1600
38	4	36	18.03	18.00	16	1600
39	4	36	18.03	18.00	17	1600
40	4	34	17.00	17.00	18	1600
41	4	32	16.03	16.00	19	1600
42	4	25	13.29	12.50	20	1600
43	4	21	12.35	10.50	21	1600
44	4	20	12.21	10.00	22	1600
45	4	17	12.02	8.50	23	1600
46	4	17	12.02	8.50	24	1600
47	4	12	12.53	11.00	25	1600
48	14	41	17.68	15.50	10	1700
49	14	41	17.68	15.50	11	1700
50	14	41	17.68	15.50	12	1700
51	14	41	17.68	15.50	13	1700
52	13	41	17.89	16.00	14	1700
53	4	36	18.03	18.00	15	1700
54	4	36	18.03	18.00	16	1700
55	4	36	18.03	18.00	17	1700
56	4	34	17.00	17.00	18	1700
57	4	32	16.03	16.00	19	1700
58	4	25	13.29	12.50	20	1700
59	4	21	12.35	10.50	21	1700
60	4	20	12.21	10.00	22	1700
61	4	17	12.02	8.50	23	1700
62	4	17	12.02	8.50	24	1700
63	4	12	12.53	11.00	25	1700
64	15	41	17.49	15.00	10	1800
65	15	41	17.49	15.00	11	1800
66	15	41	17.49	15.00	12	1800
67	15	41	17.49	15.00	13	1800
68	14	41	17.68	15.50	14	1800
69	4	36	18.03	18.00	15	1800
70	4	36	18.03	18.00	16	1800
71	4	36	18.03	18.00	17	1800
72	4	34	17.00	17.00	18	1800
73	4	32	16.03	16.00	19	1800
74	4	25	13.29	12.50	20	1800
75	4	21	12.35	10.50	21	1800
76	4	20	12.21	10.00	22	1800
77	4	17	12.02	8.50	23	1800
78	4	17	12.02	8.50	24	1800
79	4	12	12.53	11.00	25	1800
80	15	41	17.49	15.00	10	1900
81	15	41	17.49	15.00	11	1900
82	15	41	17.49	15.00	12	1900
83	15	41	17.49	15.00	13	1900
84	14	41	17.68	15.50	14	1900
85	4	36	18.03	18.00	15	1900
86	4	36	18.03	18.00	16	1900
87	4	36	18.03	18.00	17	1900
88	4	34	17.00	17.00	18	1900
89	4	32	16.03	16.00	19	1900
90	4	25	13.29	12.50	20	1900
91	4	21	12.35	10.50	21	1900
92	4	20	12.21	10.00	22	1900
93	4	17	12.02	8.50	23	1900
94	4	17	12.02	8.50	24	1900
95	4	12	12.53	11.00	25	1900
96	15	41	17.49	15.00	10	2000
97	15	41	17.49	15.00	11	2000
98	15	41	17.49	15.00	12	2000
99	15	41	17.49	15.00	13	2000
100	14	41	17.68	15.50	14	2000
101	4	36	18.03	18.00	15	2000
102	4	36	18.03	18.00	16	2000
103	4	36	18.03	18.00	17	2000
104	4	34	17.00	17.00	18	2000
105	4	32	16.03	16.00	19	2000
106	4	25	13.29	12.50	20	2000
107	4	21	12.35	10.50	21	2000
108	4	20	12.21	10.00	22	2000
109	4	17	12.02	8.50	23	2000
110	4	17	12.02	8.50	24	2000
111	4	12	12.53	11.00	25	2000
