	IN	OUT	RMSE	MAE	enough_zero	delta
0	1	41	22.09	22.00	10	1400
1	1	41	22.09	22.00	11	1400
2	1	41	22.09	22.00	12	1400
3	1	41	22.09	22.00	13	1400
4	1	41	22.09	22.00	14	1400
5	3	36	18.51	18.50	15	1400
6	3	36	18.51	18.50	16	1400
7	3	36	18.51	18.50	17	1400
8	3	34	17.51	17.50	18	1400
9	3	32	16.57	16.50	19	1400
10	3	25	13.93	13.00	20	1400
11	3	21	13.04	11.00	21	1400
12	3	20	12.90	10.50	22	1400
13	4	17	12.02	8.50	23	1400
14	4	17	12.02	8.50	24	1400
15	4	12	12.53	11.00	25	1400
16	1	41	22.09	22.00	10	1500
17	1	41	22.09	22.00	11	1500
18	1	41	22.09	22.00	12	1500
19	1	41	22.09	22.00	13	1500
20	1	41	22.09	22.00	14	1500
21	3	36	18.51	18.50	15	1500
22	3	36	18.51	18.50	16	1500
23	3	36	18.51	18.50	17	1500
24	3	34	17.51	17.50	18	1500
25	3	32	16.57	16.50	19	1500
26	3	25	13.93	13.00	20	1500
27	3	21	13.04	11.00	21	1500
28	3	20	12.90	10.50	22	1500
29	4	17	12.02	8.50	23	1500
30	4	17	12.02	8.50	24	1500
31	4	12	12.53	11.00	25	1500
32	1	41	22.09	22.00	10	1600
33	1	41	22.09	22.00	11	1600
34	1	41	22.09	22.00	12	1600
35	1	41	22.09	22.00	13	1600
36	1	41	22.09	22.00	14	1600
37	3	36	18.51	18.50	15	1600
38	3	36	18.51	18.50	16	1600
39	3	36	18.51	18.50	17	1600
40	3	34	17.51	17.50	18	1600
41	3	32	16.57	16.50	19	1600
42	3	25	13.93	13.00	20	1600
43	3	21	13.04	11.00	21	1600
44	3	20	12.90	10.50	22	1600
45	4	17	12.02	8.50	23	1600
46	4	17	12.02	8.50	24	1600
47	4	12	12.53	11.00	25	1600
48	1	41	22.09	22.00	10	1700
49	1	41	22.09	22.00	11	1700
50	1	41	22.09	22.00	12	1700
51	1	41	22.09	22.00	13	1700
52	1	41	22.09	22.00	14	1700
53	3	36	18.51	18.50	15	1700
54	3	36	18.51	18.50	16	1700
55	3	36	18.51	18.50	17	1700
56	3	34	17.51	17.50	18	1700
57	3	32	16.57	16.50	19	1700
58	3	25	13.93	13.00	20	1700
59	3	21	13.04	11.00	21	1700
60	3	20	12.90	10.50	22	1700
61	4	17	12.02	8.50	23	1700
62	4	17	12.02	8.50	24	1700
63	4	12	12.53	11.00	25	1700
64	1	41	22.09	22.00	10	1800
65	1	41	22.09	22.00	11	1800
66	1	41	22.09	22.00	12	1800
67	1	41	22.09	22.00	13	1800
68	1	41	22.09	22.00	14	1800
69	3	36	18.51	18.50	15	1800
70	3	36	18.51	18.50	16	1800
71	3	36	18.51	18.50	17	1800
72	3	34	17.51	17.50	18	1800
73	3	32	16.57	16.50	19	1800
74	3	25	13.93	13.00	20	1800
75	3	21	13.04	11.00	21	1800
76	3	20	12.90	10.50	22	1800
77	4	17	12.02	8.50	23	1800
78	4	17	12.02	8.50	24	1800
79	4	12	12.53	11.00	25	1800
80	1	41	22.09	22.00	10	1900
81	1	41	22.09	22.00	11	1900
82	1	41	22.09	22.00	12	1900
83	1	41	22.09	22.00	13	1900
84	1	41	22.09	22.00	14	1900
85	3	36	18.51	18.50	15	1900
86	3	36	18.51	18.50	16	1900
87	3	36	18.51	18.50	17	1900
88	3	34	17.51	17.50	18	1900
89	3	32	16.57	16.50	19	1900
90	3	25	13.93	13.00	20	1900
91	3	21	13.04	11.00	21	1900
92	3	20	12.90	10.50	22	1900
93	4	17	12.02	8.50	23	1900
94	4	17	12.02	8.50	24	1900
95	4	12	12.53	11.00	25	1900
96	1	41	22.09	22.00	10	2000
97	1	41	22.09	22.00	11	2000
98	1	41	22.09	22.00	12	2000
99	1	41	22.09	22.00	13	2000
100	1	41	22.09	22.00	14	2000
101	3	36	18.51	18.50	15	2000
102	3	36	18.51	18.50	16	2000
103	3	36	18.51	18.50	17	2000
104	3	34	17.51	17.50	18	2000
105	3	32	16.57	16.50	19	2000
106	3	25	13.93	13.00	20	2000
107	3	21	13.04	11.00	21	2000
108	3	20	12.90	10.50	22	2000
109	4	17	12.02	8.50	23	2000
110	4	17	12.02	8.50	24	2000
111	4	12	12.53	11.00	25	2000
