TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT
14_23,1,1,2,2,0,0,"100,00%","100,00%"
14_28,1,1,5,5,0,0,"100,00%","100,00%"
14_51,2,2,1,1,0,0,"100,00%","100,00%"
14_56,4,4,7,6,"0,71","0,5","100,00%","81,70%"
15_01,4,4,4,5,"0,71","0,5","100,00%","75,00%"
15_06,3,3,2,3,"0,71","0,5","100,00%","66,70%"
15_11,0,0,0,0,0,0,"100,00%","100,00%"
15_16,3,2,2,0,"1,58","1,5","66,70%","0,00%"
15_21,1,1,3,3,0,0,"100,00%","100,00%"
15_26,2,2,0,0,0,0,"100,00%","100,00%"
15_31,2,2,2,0,"1,41",1,"100,00%","0,00%"
15_36,2,0,0,0,"1,41",1,"0,00%","100,00%"
15_41,0,0,0,0,0,0,"100,00%","100,00%"
15_46,1,1,0,0,0,0,"100,00%","100,00%"
15_51,1,1,1,0,"0,71","0,5","100,00%","0,00%"
15_56,0,0,0,0,0,0,"100,00%","100,00%"
16_01,5,5,4,4,0,0,"100,00%","100,00%"
16_06,3,3,3,3,0,0,"100,00%","100,00%"
16_11,2,2,1,1,0,0,"100,00%","100,00%"
16_16,0,0,1,1,0,0,"100,00%","100,00%"
16_21,0,0,0,0,0,0,"100,00%","100,00%"
16_26,1,1,0,0,0,0,"100,00%","100,00%"
Totali,38,35,38,34,"0,329090909090909","0,25","93,94%","82,88%"
