,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT,span,delta
14:23:00,1,1,2,1,"0,71","0,5","100,00%","50,00%",ALL,ALL
14:28:00,1,1,5,4,"0,71","0,5","100,00%","80,00%",ALL,ALL
14:51:00,2,2,1,1,0,0,"100,00%","100,00%",650-1000,ALL
14:56:00,4,4,7,5,"1,41",1,"100,00%","71,43%",800-1000,800-1200
15:01:00,4,4,4,5,"0,71","0,5","100,00%","80,00%",ALL,800-1200
15:06:00,3,3,2,2,0,0,"100,00%","100,00%",ALL,ALL
15:11:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
15:16:00,3,2,2,2,"0,71","0,5","66,67%","100,00%",ALL,ALL
15:21:00,1,1,3,3,0,0,"100,00%","100,00%",ALL,ALL
15:26:00,0,1,2,2,"0,71","0,5","0,00%","100,00%",ALL,ALL
15:31:00,2,0,2,2,"1,41",1,"0,00%","100,00%",ALL,ALL
15:36:00,2,1,0,0,"0,71","0,5","50,00%","100,00%",ALL,ALL
15:41:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
15:46:00,0,0,1,1,0,0,"100,00%","100,00%",ALL,ALL
15:51:00,1,1,1,0,"0,71","0,5","100,00%","0,00%",650-1000,ALL
15:56:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
16:01:00,5,4,4,3,1,1,"80,00%","75,00%",ALL,ALL
16:06:00,4,2,2,3,"1,58","1,5","50,00%","50,00%",ALL,ALL
16:11:00,2,0,1,1,"1,41",1,"0,00%","100,00%",ALL,800-1050
16:16:00,0,0,1,1,0,0,"100,00%","100,00%",ALL,ALL
16:21:00,0,0,0,0,0,0,"100,00%","100,00%",ALL,ALL
16:26:00,1,1,0,0,0,0,"100,00%","100,00%",ALL,ALL
TOTALE,36,28,40,36,"0,54","0,41","79,39%","86,66%",,
