	TIME	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT
0	15_14	0	1	0	2	1.58	1.50	NaN	NaN
['15_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['15_24', 0, 1, 0, 1, '1.00', '1.00', 'NaN', 'NaN']
['15_29', 0, 3, 0, 2, '2.55', '2.50', 'NaN', 'NaN']
['15_39', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['15_34', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']
['15_44', 0, 1, 0, 1, '1.00', '1.00', 'NaN', 'NaN']
['15_54', 0, 1, 0, 1, '1.00', '1.00', 'NaN', 'NaN']
['15_59', 0, 3, 0, 3, '3.00', '3.00', 'NaN', 'NaN']
['16_4', 0, 2, 0, 2, '2.00', '2.00', 'NaN', 'NaN']
['16_9', 0, 4, 0, 1, '2.92', '2.50', 'NaN', 'NaN']
['16_14', 0, 1, 0, 2, '1.58', '1.50', 'NaN', 'NaN']
['16_9', 0, 4, 0, 1, '2.92', '2.50', 'NaN', 'NaN']
['16_9', 0, 4, 0, 1, '2.92', '2.50', 'NaN', 'NaN']
['16_14', 0, 1, 0, 2, '1.58', '1.50', 'NaN', 'NaN']
['16_14', 0, 1, 0, 2, '1.58', '1.50', 'NaN', 'NaN']
['16_19', 0, 0, 0, 1, '0.71', '0.50', 'NaN', 'NaN']
['16_24', 0, 0, 0, 6, '4.24', '3.00', 'NaN', 'NaN']
['16_29', 0, 1, 0, 5, '3.61', '3.00', 'NaN', 'NaN']
['16_34', 0, 4, 0, 5, '4.53', '4.50', 'NaN', 'NaN']
['16_34', 0, 4, 0, 5, '4.53', '4.50', 'NaN', 'NaN']
['16_29', 0, 1, 0, 5, '3.61', '3.00', 'NaN', 'NaN']
['10_42', 5, 2, 3, 2, '2.24', '2.00', 40.0, 66.66666666666667]
['11_3', 2, 1, 2, 3, '1.00', '1.00', 50.0, 50.0]
['11_8', 1, 3, 2, 5, '2.55', '2.50', -100.0, -50.0]
['11_25', 1, 8, 2, 5, '5.39', '5.00', -600.0, -50.0]
['11_30', 1, 5, 1, 7, '5.10', '5.00', -300.0, -500.0]
['11_35', 1, 6, 1, 11, '7.91', '7.50', -400.0, -900.0]
['11_40', 0, 8, 0, 5, '6.67', '6.50', 'NaN', 'NaN']
['11_45', 1, 10, 3, 10, '8.06', '8.00', -800.0, -133.33333333333334]
['11_50', 1, 7, 1, 6, '5.52', '5.50', -500.0, -400.0]
['11_55', 2, 8, 0, 13, '10.12', '9.50', 'NaN', 'NaN']
['12_0', 2, 6, 0, 8, '6.32', '6.00', 'NaN', 'NaN']
['12_5', 0, 1, 2, 6, '2.92', '2.50', 'NaN', 'NaN']
['12_10', 0, 8, 0, 17, '13.29', '12.50', 'NaN', 'NaN']
['12_15', 0, 4, 0, 9, '6.96', '6.50', 'NaN', 'NaN']
['12_20', 0, 5, 0, 8, '6.67', '6.50', 'NaN', 'NaN']
['12_25', 0, 0, 2, 0, '1.41', '1.00', 'NaN', 'NaN']
['12_30', 1, 7, 0, 12, '9.49', '9.00', 'NaN', 'NaN']
['12_25', 0, 0, 2, 0, '1.41', '1.00', 'NaN', 'NaN']
['10_42', 0, 2, 0, 2, '2.00', '2.00', 'NaN', 'NaN']
['10_58', 7, 8, 5, 5, '0.71', '0.50', 85.71428571428572, 100.0]
['11_3', 3, 1, 3, 3, '1.41', '1.00', 33.33333333333334, 100.0]
['11_8', 4, 3, 3, 5, '1.58', '1.50', 75.0, 33.33333333333334]
['11_25', 7, 8, 6, 5, '1.00', '1.00', 85.71428571428572, 83.33333333333334]
['11_30', 6, 5, 8, 7, '1.00', '1.00', 83.33333333333334, 87.5]
['11_35', 6, 6, 9, 11, '1.41', '1.00', 100.0, 77.77777777777777]
['11_40', 6, 8, 6, 5, '1.58', '1.50', 66.66666666666667, 83.33333333333334]
['11_45', 10, 10, 11, 10, '0.71', '0.50', 100.0, 90.9090909090909]
['11_50', 8, 7, 5, 6, '1.00', '1.00', 87.5, 80.0]
['11_55', 7, 8, 12, 13, '1.00', '1.00', 85.71428571428572, 91.66666666666667]
['12_0', 5, 6, 10, 8, '1.58', '1.50', 80.0, 80.0]
['12_5', 1, 1, 6, 6, '0.00', '0.00', 100.0, 100.0]
['12_10', 8, 8, 17, 17, '0.00', '0.00', 100.0, 100.0]
['12_15', 5, 4, 8, 9, '1.00', '1.00', 80.0, 87.5]
['12_20', 4, 5, 8, 8, '0.71', '0.50', 75.0, 100.0]
['12_20', 4, 5, 8, 8, '0.71', '0.50', 75.0, 100.0]
['14_9', 0, 4, 0, 12, '8.94', '8.00', 'NaN', 'NaN']
['14_9', 0, 4, 0, 12, '8.94', '8.00', 'NaN', 'NaN']
['14_9', 0, 4, 0, 12, '8.94', '8.00', 'NaN', 'NaN']
['14_14', 0, 2, 0, 9, '6.52', '5.50', 'NaN', 'NaN']
['14_23', 0, 3, 0, 9, '6.71', '6.00', 'NaN', 'NaN']
['14_35', 0, 0, 0, 7, '4.95', '3.50', 'NaN', 'NaN']
['14_47', 0, 1, 0, 10, '7.11', '5.50', 'NaN', 'NaN']
['14_55', 0, 1, 0, 2, '1.58', '1.50', 'NaN', 'NaN']
['14_56', 0, 0, 0, 2, '1.41', '1.00', 'NaN', 'NaN']
['14_57', 0, 1, 0, 0, '0.71', '0.50', 'NaN', 'NaN']
['15_4', 0, 8, 0, 5, '6.67', '6.50', 'NaN', 'NaN']
['15_14', 0, 3, 0, 4, '3.54', '3.50', 'NaN', 'NaN']
['15_19', 0, 4, 0, 5, '4.53', '4.50', 'NaN', 'NaN']
['15_31', 0, 4, 0, 5, '4.53', '4.50', 'NaN', 'NaN']
['15_36', 0, 2, 0, 1, '1.58', '1.50', 'NaN', 'NaN']
['15_46', 0, 7, 0, 9, '8.06', '8.00', 'NaN', 'NaN']
['12_30', 7, 7, 12, 12, '0.00', '0.00', 100.0, 100.0]
['12_25', 9, 0, 10, 0, '9.51', '9.50', 0.0, 0.0]
