	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	3	2	3	4	1.00	1.00	66.66666666666667	66.66666666666667	3	800
1	3	2	3	3	0.71	0.50	66.66666666666667	100.0	4	800
2	3	1	3	3	1.41	1.00	33.33333333333334	100.0	5	800
3	3	1	3	1	2.00	2.00	33.33333333333334	33.33333333333334	6	800
4	3	0	3	1	2.55	2.50	0.0	33.33333333333334	7	800
5	3	2	3	4	1.00	1.00	66.66666666666667	66.66666666666667	3	850
6	3	2	3	3	0.71	0.50	66.66666666666667	100.0	4	850
7	3	1	3	3	1.41	1.00	33.33333333333334	100.0	5	850
8	3	1	3	1	2.00	2.00	33.33333333333334	33.33333333333334	6	850
9	3	0	3	1	2.55	2.50	0.0	33.33333333333334	7	850
10	3	2	3	4	1.00	1.00	66.66666666666667	66.66666666666667	3	900
11	3	2	3	3	0.71	0.50	66.66666666666667	100.0	4	900
12	3	1	3	3	1.41	1.00	33.33333333333334	100.0	5	900
13	3	1	3	1	2.00	2.00	33.33333333333334	33.33333333333334	6	900
14	3	0	3	1	2.55	2.50	0.0	33.33333333333334	7	900
15	3	2	3	4	1.00	1.00	66.66666666666667	66.66666666666667	3	950
16	3	2	3	3	0.71	0.50	66.66666666666667	100.0	4	950
17	3	1	3	3	1.41	1.00	33.33333333333334	100.0	5	950
18	3	1	3	1	2.00	2.00	33.33333333333334	33.33333333333334	6	950
19	3	0	3	1	2.55	2.50	0.0	33.33333333333334	7	950
20	3	2	3	4	1.00	1.00	66.66666666666667	66.66666666666667	3	1000
21	3	2	3	3	0.71	0.50	66.66666666666667	100.0	4	1000
22	3	1	3	3	1.41	1.00	33.33333333333334	100.0	5	1000
23	3	1	3	1	2.00	2.00	33.33333333333334	33.33333333333334	6	1000
24	3	0	3	1	2.55	2.50	0.0	33.33333333333334	7	1000
25	3	2	3	4	1.00	1.00	66.66666666666667	66.66666666666667	3	1050
26	3	2	3	3	0.71	0.50	66.66666666666667	100.0	4	1050
27	3	1	3	3	1.41	1.00	33.33333333333334	100.0	5	1050
28	3	1	3	1	2.00	2.00	33.33333333333334	33.33333333333334	6	1050
29	3	0	3	1	2.55	2.50	0.0	33.33333333333334	7	1050
30	3	2	3	4	1.00	1.00	66.66666666666667	66.66666666666667	3	1100
31	3	2	3	3	0.71	0.50	66.66666666666667	100.0	4	1100
32	3	1	3	3	1.41	1.00	33.33333333333334	100.0	5	1100
33	3	1	3	1	2.00	2.00	33.33333333333334	33.33333333333334	6	1100
34	3	0	3	1	2.55	2.50	0.0	33.33333333333334	7	1100
35	3	2	3	4	1.00	1.00	66.66666666666667	66.66666666666667	3	1150
36	3	2	3	3	0.71	0.50	66.66666666666667	100.0	4	1150
37	3	1	3	3	1.41	1.00	33.33333333333334	100.0	5	1150
38	3	1	3	1	2.00	2.00	33.33333333333334	33.33333333333334	6	1150
39	3	0	3	1	2.55	2.50	0.0	33.33333333333334	7	1150
