	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	3	3	5	4	0.71	0.50	100.0	80.0	800	900
1	3	3	5	4	0.71	0.50	100.0	80.0	850	900
2	3	3	5	4	0.71	0.50	100.0	80.0	900	900
3	3	3	5	4	0.71	0.50	100.0	80.0	950	900
4	3	3	5	4	0.71	0.50	100.0	80.0	1000	900
5	3	3	5	4	0.71	0.50	100.0	80.0	800	950
6	3	3	5	4	0.71	0.50	100.0	80.0	850	950
7	3	3	5	4	0.71	0.50	100.0	80.0	900	950
8	3	3	5	4	0.71	0.50	100.0	80.0	950	950
9	3	3	5	4	0.71	0.50	100.0	80.0	1000	950
10	3	3	5	4	0.71	0.50	100.0	80.0	800	1000
11	3	3	5	4	0.71	0.50	100.0	80.0	850	1000
12	3	3	5	4	0.71	0.50	100.0	80.0	900	1000
13	3	3	5	4	0.71	0.50	100.0	80.0	950	1000
14	3	3	5	4	0.71	0.50	100.0	80.0	1000	1000
15	3	3	5	4	0.71	0.50	100.0	80.0	800	1050
16	3	3	5	4	0.71	0.50	100.0	80.0	850	1050
17	3	3	5	4	0.71	0.50	100.0	80.0	900	1050
18	3	3	5	4	0.71	0.50	100.0	80.0	950	1050
19	3	3	5	4	0.71	0.50	100.0	80.0	1000	1050
20	3	3	5	4	0.71	0.50	100.0	80.0	800	1100
21	3	3	5	4	0.71	0.50	100.0	80.0	850	1100
22	3	3	5	4	0.71	0.50	100.0	80.0	900	1100
23	3	3	5	4	0.71	0.50	100.0	80.0	950	1100
24	3	3	5	4	0.71	0.50	100.0	80.0	1000	1100
