,TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT
0,15_14,1,1,2,2,0.00,0.00,100.0,100.0
"['15_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['15_24', 1, 1, 2, 1, '0.71', '0.50', 100.0, 50.0]"
"['15_29', 3, 3, 2, 2, '0.00', '0.00', 100.0, 100.0]"
"['15_34', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['15_39', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['15_44', 0, 1, 1, 1, '0.71', '0.50', 'NaN', 'NaN']"
"['15_49', 1, 0, 0, 0, '0.71', '0.50', 'NaN', 'NaN']"
"['15_54', 0, 1, 1, 1, '0.71', '0.50', 'NaN', 'NaN']"
"['15_59', 4, 3, 3, 3, '0.71', '0.50', 75.0, 100.0]"
"['16_4', 2, 2, 2, 2, '0.00', '0.00', 100.0, 100.0]"
"['16_9', 4, 4, 1, 1, '0.00', '0.00', 100.0, 100.0]"
"['16_14', 2, 1, 2, 2, '0.71', '0.50', 50.0, 100.0]"
"['16_19', 1, 0, 0, 1, '1.00', '1.00', 'NaN', 'NaN']"
"['16_24', 3, 0, 3, 6, '3.00', '3.00', 0.0, 0.0]"
"['16_29', 3, 1, 4, 5, '1.58', '1.50', 33.33333333333334, 75.0]"
"['16_34', 5, 4, 5, 5, '0.71', '0.50', 80.0, 100.0]"
"['16_39', 2, 2, 2, 2, '0.00', '0.00', 100.0, 100.0]"
