	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	3	0	1	4	3.00	3.00	0.0	-200.0	3	800
1	3	0	1	3	2.55	2.50	0.0	-100.0	4	800
2	3	0	1	1	2.12	1.50	0.0	100.0	5	800
3	3	0	1	1	2.12	1.50	0.0	100.0	6	800
4	3	0	1	0	2.24	2.00	0.0	0.0	7	800
5	3	0	1	4	3.00	3.00	0.0	-200.0	3	850
6	3	0	1	3	2.55	2.50	0.0	-100.0	4	850
7	3	0	1	1	2.12	1.50	0.0	100.0	5	850
8	3	0	1	1	2.12	1.50	0.0	100.0	6	850
9	3	0	1	0	2.24	2.00	0.0	0.0	7	850
10	3	0	1	4	3.00	3.00	0.0	-200.0	3	900
11	3	0	1	3	2.55	2.50	0.0	-100.0	4	900
12	3	0	1	1	2.12	1.50	0.0	100.0	5	900
13	3	0	1	1	2.12	1.50	0.0	100.0	6	900
14	3	0	1	0	2.24	2.00	0.0	0.0	7	900
15	3	0	1	4	3.00	3.00	0.0	-200.0	3	950
16	3	0	1	3	2.55	2.50	0.0	-100.0	4	950
17	3	0	1	1	2.12	1.50	0.0	100.0	5	950
18	3	0	1	1	2.12	1.50	0.0	100.0	6	950
19	3	0	1	0	2.24	2.00	0.0	0.0	7	950
20	3	0	1	4	3.00	3.00	0.0	-200.0	3	1000
21	3	0	1	3	2.55	2.50	0.0	-100.0	4	1000
22	3	0	1	1	2.12	1.50	0.0	100.0	5	1000
23	3	0	1	1	2.12	1.50	0.0	100.0	6	1000
24	3	0	1	0	2.24	2.00	0.0	0.0	7	1000
25	3	0	1	4	3.00	3.00	0.0	-200.0	3	1050
26	3	0	1	3	2.55	2.50	0.0	-100.0	4	1050
27	3	0	1	1	2.12	1.50	0.0	100.0	5	1050
28	3	0	1	1	2.12	1.50	0.0	100.0	6	1050
29	3	0	1	0	2.24	2.00	0.0	0.0	7	1050
30	3	0	1	4	3.00	3.00	0.0	-200.0	3	1100
31	3	0	1	3	2.55	2.50	0.0	-100.0	4	1100
32	3	0	1	1	2.12	1.50	0.0	100.0	5	1100
33	3	0	1	1	2.12	1.50	0.0	100.0	6	1100
34	3	0	1	0	2.24	2.00	0.0	0.0	7	1100
35	3	0	1	4	3.00	3.00	0.0	-200.0	3	1150
36	3	0	1	3	2.55	2.50	0.0	-100.0	4	1150
37	3	0	1	1	2.12	1.50	0.0	100.0	5	1150
38	3	0	1	1	2.12	1.50	0.0	100.0	6	1150
39	3	0	1	0	2.24	2.00	0.0	0.0	7	1150
