	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	4	2	3	3	1.41	1.00	50.0	100.0	800	900
1	4	2	3	3	1.41	1.00	50.0	100.0	850	900
2	4	2	3	3	1.41	1.00	50.0	100.0	900	900
3	4	3	3	3	0.71	0.50	75.0	100.0	950	900
4	4	4	3	3	0.00	0.00	100.0	100.0	1000	900
5	4	2	3	3	1.41	1.00	50.0	100.0	800	950
6	4	2	3	3	1.41	1.00	50.0	100.0	850	950
7	4	2	3	3	1.41	1.00	50.0	100.0	900	950
8	4	3	3	3	0.71	0.50	75.0	100.0	950	950
9	4	4	3	3	0.00	0.00	100.0	100.0	1000	950
10	4	2	3	3	1.41	1.00	50.0	100.0	800	1000
11	4	2	3	3	1.41	1.00	50.0	100.0	850	1000
12	4	2	3	3	1.41	1.00	50.0	100.0	900	1000
13	4	3	3	3	0.71	0.50	75.0	100.0	950	1000
14	4	4	3	3	0.00	0.00	100.0	100.0	1000	1000
15	4	2	3	3	1.41	1.00	50.0	100.0	800	1050
16	4	2	3	3	1.41	1.00	50.0	100.0	850	1050
17	4	2	3	3	1.41	1.00	50.0	100.0	900	1050
18	4	3	3	3	0.71	0.50	75.0	100.0	950	1050
19	4	4	3	3	0.00	0.00	100.0	100.0	1000	1050
20	4	2	3	3	1.41	1.00	50.0	100.0	800	1100
21	4	2	3	3	1.41	1.00	50.0	100.0	850	1100
22	4	2	3	3	1.41	1.00	50.0	100.0	900	1100
23	4	3	3	3	0.71	0.50	75.0	100.0	950	1100
24	4	4	3	3	0.00	0.00	100.0	100.0	1000	1100
