	IN	OUT	RMSE	MAE	span	delta
0	12	13	3.54	2.50	600	1400
1	12	13	3.54	2.50	650	1400
2	13	13	2.83	2.00	700	1400
3	13	13	2.83	2.00	750	1400
4	13	13	2.83	2.00	800	1400
5	13	13	2.83	2.00	850	1400
6	13	13	2.83	2.00	900	1400
7	13	13	2.83	2.00	950	1400
8	13	13	2.83	2.00	1000	1400
9	12	14	3.61	3.00	600	1500
10	12	14	3.61	3.00	650	1500
11	13	14	2.92	2.50	700	1500
12	13	14	2.92	2.50	750	1500
13	13	14	2.92	2.50	800	1500
14	13	14	2.92	2.50	850	1500
15	13	14	2.92	2.50	900	1500
16	13	14	2.92	2.50	950	1500
17	13	14	2.92	2.50	1000	1500
18	12	14	3.61	3.00	600	1600
19	12	14	3.61	3.00	650	1600
20	13	14	2.92	2.50	700	1600
21	13	14	2.92	2.50	750	1600
22	13	14	2.92	2.50	800	1600
23	13	14	2.92	2.50	850	1600
24	13	14	2.92	2.50	900	1600
25	13	14	2.92	2.50	950	1600
26	13	14	2.92	2.50	1000	1600
27	12	14	3.61	3.00	600	1700
28	12	14	3.61	3.00	650	1700
29	13	14	2.92	2.50	700	1700
30	13	14	2.92	2.50	750	1700
31	13	14	2.92	2.50	800	1700
32	13	14	2.92	2.50	850	1700
33	13	14	2.92	2.50	900	1700
34	13	14	2.92	2.50	950	1700
35	13	14	2.92	2.50	1000	1700
36	12	14	3.61	3.00	600	1800
37	12	14	3.61	3.00	650	1800
38	13	14	2.92	2.50	700	1800
39	13	14	2.92	2.50	750	1800
40	13	14	2.92	2.50	800	1800
41	13	14	2.92	2.50	850	1800
42	13	14	2.92	2.50	900	1800
43	13	14	2.92	2.50	950	1800
44	13	14	2.92	2.50	1000	1800
45	12	14	3.61	3.00	600	1900
46	12	14	3.61	3.00	650	1900
47	13	14	2.92	2.50	700	1900
48	13	14	2.92	2.50	750	1900
49	13	14	2.92	2.50	800	1900
50	13	14	2.92	2.50	850	1900
51	13	14	2.92	2.50	900	1900
52	13	14	2.92	2.50	950	1900
53	13	14	2.92	2.50	1000	1900
54	12	14	3.61	3.00	600	2000
55	12	14	3.61	3.00	650	2000
56	13	14	2.92	2.50	700	2000
57	13	14	2.92	2.50	750	2000
58	13	14	2.92	2.50	800	2000
59	13	14	2.92	2.50	850	2000
60	13	14	2.92	2.50	900	2000
61	13	14	2.92	2.50	950	2000
62	13	14	2.92	2.50	1000	2000
