	IN	OUT	RMSE	MAE	enough_zero	delta
0	23	17	5.10	5.00	15	1400
1	23	17	5.10	5.00	16	1400
2	23	17	5.10	5.00	17	1400
3	23	17	5.10	5.00	18	1400
4	23	17	5.10	5.00	19	1400
5	21	16	3.54	3.50	20	1400
6	18	15	1.58	1.50	21	1400
7	16	15	1.58	1.50	22	1400
8	16	15	1.58	1.50	23	1400
9	16	15	1.58	1.50	24	1400
10	13	14	2.92	2.50	25	1400
11	23	17	5.10	5.00	15	1500
12	23	17	5.10	5.00	16	1500
13	23	17	5.10	5.00	17	1500
14	23	17	5.10	5.00	18	1500
15	23	17	5.10	5.00	19	1500
16	21	16	3.54	3.50	20	1500
17	18	15	1.58	1.50	21	1500
18	16	15	1.58	1.50	22	1500
19	16	15	1.58	1.50	23	1500
20	16	15	1.58	1.50	24	1500
21	13	14	2.92	2.50	25	1500
22	23	17	5.10	5.00	15	1600
23	23	17	5.10	5.00	16	1600
24	23	17	5.10	5.00	17	1600
25	23	17	5.10	5.00	18	1600
26	23	17	5.10	5.00	19	1600
27	21	16	3.54	3.50	20	1600
28	18	15	1.58	1.50	21	1600
29	16	15	1.58	1.50	22	1600
30	16	15	1.58	1.50	23	1600
31	16	15	1.58	1.50	24	1600
32	13	14	2.92	2.50	25	1600
33	23	17	5.10	5.00	15	1700
34	23	17	5.10	5.00	16	1700
35	23	17	5.10	5.00	17	1700
36	23	17	5.10	5.00	18	1700
37	23	17	5.10	5.00	19	1700
38	21	16	3.54	3.50	20	1700
39	18	15	1.58	1.50	21	1700
40	16	15	1.58	1.50	22	1700
41	16	15	1.58	1.50	23	1700
42	16	15	1.58	1.50	24	1700
43	13	14	2.92	2.50	25	1700
44	23	17	5.10	5.00	15	1800
45	23	17	5.10	5.00	16	1800
46	23	17	5.10	5.00	17	1800
47	23	17	5.10	5.00	18	1800
48	23	17	5.10	5.00	19	1800
49	21	16	3.54	3.50	20	1800
50	18	15	1.58	1.50	21	1800
51	16	15	1.58	1.50	22	1800
52	16	15	1.58	1.50	23	1800
53	16	15	1.58	1.50	24	1800
54	13	14	2.92	2.50	25	1800
55	23	17	5.10	5.00	15	1900
56	23	17	5.10	5.00	16	1900
57	23	17	5.10	5.00	17	1900
58	23	17	5.10	5.00	18	1900
59	23	17	5.10	5.00	19	1900
60	21	16	3.54	3.50	20	1900
61	18	15	1.58	1.50	21	1900
62	16	15	1.58	1.50	22	1900
63	16	15	1.58	1.50	23	1900
64	16	15	1.58	1.50	24	1900
65	13	14	2.92	2.50	25	1900
66	23	17	5.10	5.00	15	2000
67	23	17	5.10	5.00	16	2000
68	23	17	5.10	5.00	17	2000
69	23	17	5.10	5.00	18	2000
70	23	17	5.10	5.00	19	2000
71	21	16	3.54	3.50	20	2000
72	18	15	1.58	1.50	21	2000
73	16	15	1.58	1.50	22	2000
74	16	15	1.58	1.50	23	2000
75	16	15	1.58	1.50	24	2000
76	13	14	2.92	2.50	25	2000
