	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	600
1	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	600
2	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	600
3	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	600
4	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	600
5	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	600
6	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	600
7	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	600
8	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	600
9	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	600
10	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	600
11	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	600
12	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	600
13	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	650
14	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	650
15	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	650
16	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	650
17	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	650
18	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	650
19	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	650
20	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	650
21	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	650
22	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	650
23	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	650
24	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	650
25	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	650
26	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	700
27	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	700
28	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	700
29	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	700
30	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	700
31	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	700
32	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	700
33	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	700
34	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	700
35	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	700
36	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	700
37	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	700
38	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	700
39	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	750
40	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	750
41	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	750
42	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	750
43	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	750
44	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	750
45	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	750
46	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	750
47	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	750
48	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	750
49	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	750
50	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	750
51	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	750
52	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	800
53	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	800
54	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	800
55	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	800
56	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	800
57	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	800
58	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	800
59	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	800
60	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	800
61	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	800
62	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	800
63	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	800
64	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	800
65	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	850
66	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	850
67	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	850
68	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	850
69	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	850
70	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	850
71	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	850
72	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	850
73	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	850
74	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	850
75	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	850
76	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	850
77	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	850
78	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	900
79	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	900
80	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	900
81	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	900
82	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	900
83	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	900
84	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	900
85	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	900
86	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	900
87	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	900
88	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	900
89	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	900
90	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	900
91	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	950
92	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	950
93	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	950
94	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	950
95	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	950
96	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	950
97	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	950
98	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	950
99	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	950
100	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	950
101	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	950
102	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	950
103	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	950
104	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	1000
105	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	1000
106	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	1000
107	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	1000
108	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	1000
109	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	850	1000
110	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	900	1000
111	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	950	1000
112	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1000	1000
113	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1050	1000
114	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1100	1000
115	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1150	1000
116	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	1200	1000
117	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	600	1050
118	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	650	1050
119	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	700	1050
120	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	750	1050
121	7	5	6	4	2.00	2.00	71.42857142857143	66.66666666666667	800	1050
