24-09,prova esterna,,,,,,,,,
TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT,span,delta
10:58:00,7,6,5,2,"2,24",2,"85,17",40,700-1200,850-1600
11:03:00,3,1,3,2,"1,58","1,5","33,33","66,67",ALL,ALL
11:08:00,4,4,3,2,"0,71","0,5",100,"66,67",ALL,1050-1600
11:25:00,7,5,6,4,2,2,"71,43","66,67",ALL,ALL
11:30:00,6,5,8,1,5,4,"83,3","12,5",ALL,ALL
11:35:00,6,3,9,5,"3,54","3,5",50,"55,6",800-1000,900-1100
11:40:00,6,6,6,2,"2,83",2,100,"33,3",800-1000,900-1100
11:45:00,10,6,11,2,"6,96","6,5",60,"18,2",800-1000,900-1100
11:50:00,8,3,5,1,"4,53","4,5","37,5",20,800-1000,900-1100
11:55:00,7,3,12,0,"8,94",8,"42,86",0,800-1000,900-1100
12:00:00,5,3,10,0,"7,21",6,60,0,800-1000,900-1100
12:05:00,1,1,6,1,"3,54","2,5",100,"16,67",800-1000,900-1100
12:10:00,8,6,17,3,10,8,75,"17,65",800-1000,900-1100
12:15:00,5,3,8,2,"4,47",4,60,25,800-1000,900-1100
12:20:00,4,5,8,4,"2,92","2,5",75,50,800-1000,900-1100
12:25:00,9,1,10,0,"9,06",9,"11,11",0,800-1000,900-1100
12:30:00,7,6,12,5,5,4,"85,72","41,67",800-1000,900-1100
,103,67,139,36,"4,74","4,15","66,50","31,21",,
