,TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT
0,10_42,0,2,0,2,2.00,2.00,NaN,NaN
"['10_58', 7, 8, 5, 5, '0.71', '0.50', 85.71428571428572, 100.0]"
"['11_3', 3, 1, 3, 3, '1.41', '1.00', 33.33333333333334, 100.0]"
"['11_8', 4, 3, 3, 5, '1.58', '1.50', 75.0, 33.33333333333334]"
"['11_25', 7, 8, 6, 5, '1.00', '1.00', 85.71428571428572, 83.33333333333334]"
"['11_30', 6, 5, 8, 7, '1.00', '1.00', 83.33333333333334, 87.5]"
"['11_35', 6, 6, 9, 11, '1.41', '1.00', 100.0, 77.77777777777777]"
"['11_40', 6, 8, 6, 5, '1.58', '1.50', 66.66666666666667, 83.33333333333334]"
"['11_45', 10, 10, 11, 10, '0.71', '0.50', 100.0, 90.9090909090909]"
"['11_50', 8, 7, 5, 6, '1.00', '1.00', 87.5, 80.0]"
"['11_55', 7, 8, 12, 13, '1.00', '1.00', 85.71428571428572, 91.66666666666667]"
"['11_55', 7, 8, 12, 13, '1.00', '1.00', 85.71428571428572, 91.66666666666667]"
"['12_0', 5, 6, 10, 8, '1.58', '1.50', 80.0, 80.0]"
"['12_5', 1, 1, 6, 6, '0.00', '0.00', 100.0, 100.0]"
"['12_10', 8, 8, 17, 17, '0.00', '0.00', 100.0, 100.0]"
"['12_15', 5, 4, 8, 9, '1.00', '1.00', 80.0, 87.5]"
"['12_20', 4, 5, 8, 8, '0.71', '0.50', 75.0, 100.0]"
"['12_25', 9, 0, 10, 0, '9.51', '9.50', 0.0, 0.0]"
"['12_30', 7, 7, 13, 12, '0.71', '0.50', 100.0, 92.3076923076923]"
"['14_9', 7, 4, 9, 12, '3.00', '3.00', 57.142857142857146, 66.66666666666667]"
"['14_14', 6, 2, 6, 9, '3.54', '3.50', 33.33333333333334, 50.0]"
"['14_23', 9, 3, 3, 9, '6.00', '6.00', 33.33333333333334, -100.0]"
"['15_4', 9, 8, 6, 5, '1.00', '1.00', 88.88888888888889, 83.33333333333334]"
"['15_14', 4, 3, 5, 4, '1.00', '1.00', 75.0, 80.0]"
"['15_19', 4, 4, 6, 5, '0.71', '0.50', 100.0, 83.33333333333334]"
"['15_31', 3, 4, 5, 5, '0.71', '0.50', 66.66666666666667, 100.0]"
"['15_36', 2, 2, 1, 1, '0.00', '0.00', 100.0, 100.0]"
"['15_41', 5, 4, 8, 7, '1.00', '1.00', 80.0, 87.5]"
"['15_46', 7, 7, 9, 9, '0.00', '0.00', 100.0, 100.0]"
"['09_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['09_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['09_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['09_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['09_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['09_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['09_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['09_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['09_19', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['09_30', 0, 2, 0, 2, '2.00', '2.00', 'NaN', 'NaN']"
"['09_35', 0, 6, 0, 2, '4.47', '4.00', 'NaN', 'NaN']"
"['09_35', 0, 5, 0, 3, '4.12', '4.00', 'NaN', 'NaN']"
