	IN	OUT	RMSE	MAE	span	delta
0	12	11	0.71	0.50	800	1200
1	12	11	0.71	0.50	850	1200
2	12	11	0.71	0.50	900	1200
3	12	11	0.71	0.50	950	1200
4	12	11	0.71	0.50	1000	1200
5	12	11	0.71	0.50	1050	1200
6	12	11	0.71	0.50	1100	1200
7	12	11	0.71	0.50	1150	1200
8	12	11	0.71	0.50	1200	1200
9	12	11	0.71	0.50	800	1250
10	12	11	0.71	0.50	850	1250
11	12	11	0.71	0.50	900	1250
12	12	11	0.71	0.50	950	1250
13	12	11	0.71	0.50	1000	1250
14	12	11	0.71	0.50	1050	1250
15	12	11	0.71	0.50	1100	1250
16	12	11	0.71	0.50	1150	1250
17	12	11	0.71	0.50	1200	1250
18	12	11	0.71	0.50	800	1300
19	12	11	0.71	0.50	850	1300
20	12	11	0.71	0.50	900	1300
21	12	11	0.71	0.50	950	1300
22	12	11	0.71	0.50	1000	1300
23	12	11	0.71	0.50	1050	1300
24	12	11	0.71	0.50	1100	1300
25	12	11	0.71	0.50	1150	1300
26	12	11	0.71	0.50	1200	1300
27	12	11	0.71	0.50	800	1350
28	12	11	0.71	0.50	850	1350
29	12	11	0.71	0.50	900	1350
30	12	11	0.71	0.50	950	1350
31	12	11	0.71	0.50	1000	1350
32	12	11	0.71	0.50	1050	1350
33	12	11	0.71	0.50	1100	1350
34	12	11	0.71	0.50	1150	1350
35	12	11	0.71	0.50	1200	1350
36	12	11	0.71	0.50	800	1400
37	12	11	0.71	0.50	850	1400
38	12	11	0.71	0.50	900	1400
39	12	11	0.71	0.50	950	1400
40	12	11	0.71	0.50	1000	1400
41	12	11	0.71	0.50	1050	1400
42	12	11	0.71	0.50	1100	1400
43	12	11	0.71	0.50	1150	1400
44	12	11	0.71	0.50	1200	1400
45	12	11	0.71	0.50	800	1450
46	12	11	0.71	0.50	850	1450
47	12	11	0.71	0.50	900	1450
48	12	11	0.71	0.50	950	1450
49	12	11	0.71	0.50	1000	1450
50	12	11	0.71	0.50	1050	1450
51	12	11	0.71	0.50	1100	1450
52	12	11	0.71	0.50	1150	1450
53	12	11	0.71	0.50	1200	1450
54	12	11	0.71	0.50	800	1500
55	12	11	0.71	0.50	850	1500
56	12	11	0.71	0.50	900	1500
57	12	11	0.71	0.50	950	1500
58	12	11	0.71	0.50	1000	1500
59	12	11	0.71	0.50	1050	1500
60	12	11	0.71	0.50	1100	1500
61	12	11	0.71	0.50	1150	1500
62	12	11	0.71	0.50	1200	1500
63	12	11	0.71	0.50	800	1550
64	12	11	0.71	0.50	850	1550
65	12	11	0.71	0.50	900	1550
66	12	11	0.71	0.50	950	1550
67	12	11	0.71	0.50	1000	1550
68	12	11	0.71	0.50	1050	1550
69	12	11	0.71	0.50	1100	1550
70	12	11	0.71	0.50	1150	1550
71	12	11	0.71	0.50	1200	1550
72	12	11	0.71	0.50	800	1600
73	12	11	0.71	0.50	850	1600
74	12	11	0.71	0.50	900	1600
75	12	11	0.71	0.50	950	1600
76	12	11	0.71	0.50	1000	1600
77	12	11	0.71	0.50	1050	1600
78	12	11	0.71	0.50	1100	1600
79	12	11	0.71	0.50	1150	1600
80	12	11	0.71	0.50	1200	1600
81	12	11	0.71	0.50	800	1650
82	12	11	0.71	0.50	850	1650
83	12	11	0.71	0.50	900	1650
84	12	11	0.71	0.50	950	1650
85	12	11	0.71	0.50	1000	1650
86	12	11	0.71	0.50	1050	1650
87	12	11	0.71	0.50	1100	1650
88	12	11	0.71	0.50	1150	1650
89	12	11	0.71	0.50	1200	1650
90	12	11	0.71	0.50	800	1700
91	12	11	0.71	0.50	850	1700
92	12	11	0.71	0.50	900	1700
93	12	11	0.71	0.50	950	1700
94	12	11	0.71	0.50	1000	1700
95	12	11	0.71	0.50	1050	1700
96	12	11	0.71	0.50	1100	1700
97	12	11	0.71	0.50	1150	1700
98	12	11	0.71	0.50	1200	1700
