	IN	OUT	RMSE	MAE	enough_zero	delta
0	10	12	1.58	1.50	25	1200
1	10	12	1.58	1.50	26	1200
2	9	11	0.71	0.50	27	1200
3	7	9	1.58	1.50	28	1200
4	7	7	2.55	2.50	29	1200
5	6	6	3.54	3.50	30	1200
6	5	6	4.00	4.00	31	1200
7	5	6	4.00	4.00	32	1200
8	4	6	4.53	4.50	33	1200
9	10	12	1.58	1.50	25	1250
10	10	12	1.58	1.50	26	1250
11	9	11	0.71	0.50	27	1250
12	7	9	1.58	1.50	28	1250
13	7	7	2.55	2.50	29	1250
14	6	6	3.54	3.50	30	1250
15	5	6	4.00	4.00	31	1250
16	5	6	4.00	4.00	32	1250
17	4	6	4.53	4.50	33	1250
18	10	12	1.58	1.50	25	1300
19	10	12	1.58	1.50	26	1300
20	9	11	0.71	0.50	27	1300
21	7	9	1.58	1.50	28	1300
22	7	7	2.55	2.50	29	1300
23	6	6	3.54	3.50	30	1300
24	5	6	4.00	4.00	31	1300
25	5	6	4.00	4.00	32	1300
26	4	6	4.53	4.50	33	1300
27	10	12	1.58	1.50	25	1350
28	10	12	1.58	1.50	26	1350
29	9	11	0.71	0.50	27	1350
30	7	9	1.58	1.50	28	1350
31	7	7	2.55	2.50	29	1350
32	6	6	3.54	3.50	30	1350
33	5	6	4.00	4.00	31	1350
34	5	6	4.00	4.00	32	1350
35	4	6	4.53	4.50	33	1350
36	10	12	1.58	1.50	25	1400
37	10	12	1.58	1.50	26	1400
38	9	11	0.71	0.50	27	1400
39	7	9	1.58	1.50	28	1400
40	7	7	2.55	2.50	29	1400
41	6	6	3.54	3.50	30	1400
42	5	6	4.00	4.00	31	1400
43	5	6	4.00	4.00	32	1400
44	4	6	4.53	4.50	33	1400
45	10	12	1.58	1.50	25	1450
46	10	12	1.58	1.50	26	1450
47	9	11	0.71	0.50	27	1450
48	7	9	1.58	1.50	28	1450
49	7	7	2.55	2.50	29	1450
50	6	6	3.54	3.50	30	1450
51	5	6	4.00	4.00	31	1450
52	5	6	4.00	4.00	32	1450
53	4	6	4.53	4.50	33	1450
54	10	12	1.58	1.50	25	1500
55	10	12	1.58	1.50	26	1500
56	9	11	0.71	0.50	27	1500
57	7	9	1.58	1.50	28	1500
58	7	7	2.55	2.50	29	1500
59	6	6	3.54	3.50	30	1500
60	5	6	4.00	4.00	31	1500
61	5	6	4.00	4.00	32	1500
62	4	6	4.53	4.50	33	1500
63	10	12	1.58	1.50	25	1550
64	10	12	1.58	1.50	26	1550
65	9	11	0.71	0.50	27	1550
66	7	9	1.58	1.50	28	1550
67	7	7	2.55	2.50	29	1550
68	6	6	3.54	3.50	30	1550
69	5	6	4.00	4.00	31	1550
70	5	6	4.00	4.00	32	1550
71	4	6	4.53	4.50	33	1550
72	10	12	1.58	1.50	25	1600
73	10	12	1.58	1.50	26	1600
74	9	11	0.71	0.50	27	1600
75	7	9	1.58	1.50	28	1600
76	7	7	2.55	2.50	29	1600
77	6	6	3.54	3.50	30	1600
78	5	6	4.00	4.00	31	1600
79	5	6	4.00	4.00	32	1600
80	4	6	4.53	4.50	33	1600
