	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
0	6	6	1.58	1.50	150.00	85.71	20	1200
1	5	4	2.24	2.00	125.00	57.14	21	1200
2	5	4	2.24	2.00	125.00	57.14	22	1200
3	3	2	3.61	3.00	75.00	28.57	23	1200
4	2	2	3.81	3.50	50.00	28.57	24	1200
5	1	2	4.12	4.00	25.00	28.57	25	1200
6	0	1	5.10	5.00	0.00	14.29	26	1200
7	0	1	5.10	5.00	0.00	14.29	27	1200
8	0	1	5.10	5.00	0.00	14.29	28	1200
9	0	0	5.70	5.50	0.00	0.00	29	1200
10	0	0	5.70	5.50	0.00	0.00	30	1200
11	0	0	5.70	5.50	0.00	0.00	31	1200
12	0	0	5.70	5.50	0.00	0.00	32	1200
13	0	0	5.70	5.50	0.00	0.00	33	1200
14	6	7	1.41	1.00	150.00	100.00	20	1250
15	5	5	1.58	1.50	125.00	71.43	21	1250
16	5	5	1.58	1.50	125.00	71.43	22	1250
17	3	3	2.92	2.50	75.00	42.86	23	1250
18	2	2	3.81	3.50	50.00	28.57	24	1250
19	1	2	4.12	4.00	25.00	28.57	25	1250
20	0	1	5.10	5.00	0.00	14.29	26	1250
21	0	1	5.10	5.00	0.00	14.29	27	1250
22	0	1	5.10	5.00	0.00	14.29	28	1250
23	0	0	5.70	5.50	0.00	0.00	29	1250
24	0	0	5.70	5.50	0.00	0.00	30	1250
25	0	0	5.70	5.50	0.00	0.00	31	1250
26	0	0	5.70	5.50	0.00	0.00	32	1250
27	0	0	5.70	5.50	0.00	0.00	33	1250
28	6	7	1.41	1.00	150.00	100.00	20	1300
29	5	5	1.58	1.50	125.00	71.43	21	1300
30	5	5	1.58	1.50	125.00	71.43	22	1300
31	3	3	2.92	2.50	75.00	42.86	23	1300
32	2	2	3.81	3.50	50.00	28.57	24	1300
33	1	2	4.12	4.00	25.00	28.57	25	1300
34	0	1	5.10	5.00	0.00	14.29	26	1300
35	0	1	5.10	5.00	0.00	14.29	27	1300
36	0	1	5.10	5.00	0.00	14.29	28	1300
37	0	0	5.70	5.50	0.00	0.00	29	1300
38	0	0	5.70	5.50	0.00	0.00	30	1300
39	0	0	5.70	5.50	0.00	0.00	31	1300
40	0	0	5.70	5.50	0.00	0.00	32	1300
41	0	0	5.70	5.50	0.00	0.00	33	1300
42	7	7	2.12	1.50	175.00	100.00	20	1350
43	5	5	1.58	1.50	125.00	71.43	21	1350
44	5	5	1.58	1.50	125.00	71.43	22	1350
45	3	3	2.92	2.50	75.00	42.86	23	1350
46	2	2	3.81	3.50	50.00	28.57	24	1350
47	1	2	4.12	4.00	25.00	28.57	25	1350
48	0	1	5.10	5.00	0.00	14.29	26	1350
49	0	1	5.10	5.00	0.00	14.29	27	1350
50	0	1	5.10	5.00	0.00	14.29	28	1350
51	0	0	5.70	5.50	0.00	0.00	29	1350
52	0	0	5.70	5.50	0.00	0.00	30	1350
53	0	0	5.70	5.50	0.00	0.00	31	1350
54	0	0	5.70	5.50	0.00	0.00	32	1350
55	0	0	5.70	5.50	0.00	0.00	33	1350
56	7	7	2.12	1.50	175.00	100.00	20	1400
57	5	5	1.58	1.50	125.00	71.43	21	1400
58	5	5	1.58	1.50	125.00	71.43	22	1400
59	3	3	2.92	2.50	75.00	42.86	23	1400
60	2	2	3.81	3.50	50.00	28.57	24	1400
61	1	2	4.12	4.00	25.00	28.57	25	1400
62	0	1	5.10	5.00	0.00	14.29	26	1400
63	0	1	5.10	5.00	0.00	14.29	27	1400
64	0	1	5.10	5.00	0.00	14.29	28	1400
65	0	0	5.70	5.50	0.00	0.00	29	1400
66	0	0	5.70	5.50	0.00	0.00	30	1400
67	0	0	5.70	5.50	0.00	0.00	31	1400
68	0	0	5.70	5.50	0.00	0.00	32	1400
69	0	0	5.70	5.50	0.00	0.00	33	1400
70	7	7	2.12	1.50	175.00	100.00	20	1450
71	5	5	1.58	1.50	125.00	71.43	21	1450
72	5	5	1.58	1.50	125.00	71.43	22	1450
73	3	3	2.92	2.50	75.00	42.86	23	1450
74	2	2	3.81	3.50	50.00	28.57	24	1450
75	1	2	4.12	4.00	25.00	28.57	25	1450
76	0	1	5.10	5.00	0.00	14.29	26	1450
77	0	1	5.10	5.00	0.00	14.29	27	1450
78	0	1	5.10	5.00	0.00	14.29	28	1450
79	0	0	5.70	5.50	0.00	0.00	29	1450
80	0	0	5.70	5.50	0.00	0.00	30	1450
81	0	0	5.70	5.50	0.00	0.00	31	1450
82	0	0	5.70	5.50	0.00	0.00	32	1450
83	0	0	5.70	5.50	0.00	0.00	33	1450
84	7	7	2.12	1.50	175.00	100.00	20	1500
85	5	5	1.58	1.50	125.00	71.43	21	1500
86	5	5	1.58	1.50	125.00	71.43	22	1500
87	3	3	2.92	2.50	75.00	42.86	23	1500
88	2	2	3.81	3.50	50.00	28.57	24	1500
