	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	span	delta
0	15	15	2.55	2.50	83.33	83.33	800	1200
1	15	15	2.55	2.50	83.33	83.33	850	1200
2	15	15	2.55	2.50	83.33	83.33	900	1200
3	15	15	2.55	2.50	83.33	83.33	950	1200
4	15	15	2.55	2.50	83.33	83.33	1000	1200
5	15	15	2.55	2.50	83.33	83.33	1050	1200
6	15	15	2.55	2.50	83.33	83.33	1100	1200
7	15	15	2.55	2.50	83.33	83.33	1150	1200
8	15	15	2.55	2.50	83.33	83.33	1200	1200
9	15	15	2.55	2.50	83.33	83.33	800	1250
10	15	15	2.55	2.50	83.33	83.33	850	1250
11	15	15	2.55	2.50	83.33	83.33	900	1250
12	15	15	2.55	2.50	83.33	83.33	950	1250
13	15	15	2.55	2.50	83.33	83.33	1000	1250
14	15	15	2.55	2.50	83.33	83.33	1050	1250
15	15	15	2.55	2.50	83.33	83.33	1100	1250
16	15	15	2.55	2.50	83.33	83.33	1150	1250
17	15	15	2.55	2.50	83.33	83.33	1200	1250
18	15	15	2.55	2.50	83.33	83.33	800	1300
19	15	15	2.55	2.50	83.33	83.33	850	1300
20	15	15	2.55	2.50	83.33	83.33	900	1300
21	15	15	2.55	2.50	83.33	83.33	950	1300
22	15	15	2.55	2.50	83.33	83.33	1000	1300
23	15	15	2.55	2.50	83.33	83.33	1050	1300
24	15	15	2.55	2.50	83.33	83.33	1100	1300
25	15	15	2.55	2.50	83.33	83.33	1150	1300
26	15	15	2.55	2.50	83.33	83.33	1200	1300
27	15	15	2.55	2.50	83.33	83.33	800	1350
28	15	15	2.55	2.50	83.33	83.33	850	1350
29	15	15	2.55	2.50	83.33	83.33	900	1350
30	15	15	2.55	2.50	83.33	83.33	950	1350
31	15	15	2.55	2.50	83.33	83.33	1000	1350
32	15	15	2.55	2.50	83.33	83.33	1050	1350
33	15	15	2.55	2.50	83.33	83.33	1100	1350
34	15	15	2.55	2.50	83.33	83.33	1150	1350
35	15	15	2.55	2.50	83.33	83.33	1200	1350
36	15	15	2.55	2.50	83.33	83.33	800	1400
37	15	15	2.55	2.50	83.33	83.33	850	1400
38	15	15	2.55	2.50	83.33	83.33	900	1400
39	15	15	2.55	2.50	83.33	83.33	950	1400
40	15	15	2.55	2.50	83.33	83.33	1000	1400
41	15	15	2.55	2.50	83.33	83.33	1050	1400
42	15	15	2.55	2.50	83.33	83.33	1100	1400
43	15	15	2.55	2.50	83.33	83.33	1150	1400
44	15	15	2.55	2.50	83.33	83.33	1200	1400
45	15	15	2.55	2.50	83.33	83.33	800	1450
46	15	15	2.55	2.50	83.33	83.33	850	1450
47	15	15	2.55	2.50	83.33	83.33	900	1450
48	15	15	2.55	2.50	83.33	83.33	950	1450
49	15	15	2.55	2.50	83.33	83.33	1000	1450
50	15	15	2.55	2.50	83.33	83.33	1050	1450
51	15	15	2.55	2.50	83.33	83.33	1100	1450
52	15	15	2.55	2.50	83.33	83.33	1150	1450
53	15	15	2.55	2.50	83.33	83.33	1200	1450
54	15	15	2.55	2.50	83.33	83.33	800	1500
55	15	15	2.55	2.50	83.33	83.33	850	1500
56	15	15	2.55	2.50	83.33	83.33	900	1500
57	15	15	2.55	2.50	83.33	83.33	950	1500
58	15	15	2.55	2.50	83.33	83.33	1000	1500
59	15	15	2.55	2.50	83.33	83.33	1050	1500
60	15	15	2.55	2.50	83.33	83.33	1100	1500
61	15	15	2.55	2.50	83.33	83.33	1150	1500
62	15	15	2.55	2.50	83.33	83.33	1200	1500
63	15	15	2.55	2.50	83.33	83.33	800	1550
64	15	15	2.55	2.50	83.33	83.33	850	1550
65	15	15	2.55	2.50	83.33	83.33	900	1550
66	15	15	2.55	2.50	83.33	83.33	950	1550
67	15	15	2.55	2.50	83.33	83.33	1000	1550
68	15	15	2.55	2.50	83.33	83.33	1050	1550
69	15	15	2.55	2.50	83.33	83.33	1100	1550
70	15	15	2.55	2.50	83.33	83.33	1150	1550
71	15	15	2.55	2.50	83.33	83.33	1200	1550
72	15	15	2.55	2.50	83.33	83.33	800	1600
73	15	15	2.55	2.50	83.33	83.33	850	1600
74	15	15	2.55	2.50	83.33	83.33	900	1600
75	15	15	2.55	2.50	83.33	83.33	950	1600
76	15	15	2.55	2.50	83.33	83.33	1000	1600
77	15	15	2.55	2.50	83.33	83.33	1050	1600
78	15	15	2.55	2.50	83.33	83.33	1100	1600
79	15	15	2.55	2.50	83.33	83.33	1150	1600
80	15	15	2.55	2.50	83.33	83.33	1200	1600
81	15	15	2.55	2.50	83.33	83.33	800	1650
82	15	15	2.55	2.50	83.33	83.33	850	1650
83	15	15	2.55	2.50	83.33	83.33	900	1650
84	15	15	2.55	2.50	83.33	83.33	950	1650
85	15	15	2.55	2.50	83.33	83.33	1000	1650
86	15	15	2.55	2.50	83.33	83.33	1050	1650
87	15	15	2.55	2.50	83.33	83.33	1100	1650
88	15	15	2.55	2.50	83.33	83.33	1150	1650
89	15	15	2.55	2.50	83.33	83.33	1200	1650
90	15	15	2.55	2.50	83.33	83.33	800	1700
91	15	15	2.55	2.50	83.33	83.33	850	1700
92	15	15	2.55	2.50	83.33	83.33	900	1700
93	15	15	2.55	2.50	83.33	83.33	950	1700
94	15	15	2.55	2.50	83.33	83.33	1000	1700
95	15	15	2.55	2.50	83.33	83.33	1050	1700
96	15	15	2.55	2.50	83.33	83.33	1100	1700
97	15	15	2.55	2.50	83.33	83.33	1150	1700
98	15	15	2.55	2.50	83.33	83.33	1200	1700
