	IN	OUT	RMSE	MAE	span	delta
0	6	4	1.00	1.00	600	1600
1	6	4	1.00	1.00	650	1600
2	6	4	1.00	1.00	700	1600
3	6	4	1.00	1.00	750	1600
4	6	4	1.00	1.00	800	1600
5	6	4	1.00	1.00	850	1600
6	6	4	1.00	1.00	900	1600
7	6	4	1.00	1.00	950	1600
8	6	4	1.00	1.00	1000	1600
9	6	4	1.00	1.00	1050	1600
10	6	4	1.00	1.00	1100	1600
11	6	4	1.00	1.00	600	1650
12	6	4	1.00	1.00	650	1650
13	6	4	1.00	1.00	700	1650
14	6	4	1.00	1.00	750	1650
15	6	4	1.00	1.00	800	1650
16	6	4	1.00	1.00	850	1650
17	6	4	1.00	1.00	900	1650
18	6	4	1.00	1.00	950	1650
19	6	4	1.00	1.00	1000	1650
20	6	4	1.00	1.00	1050	1650
21	6	4	1.00	1.00	1100	1650
22	6	4	1.00	1.00	600	1700
23	6	4	1.00	1.00	650	1700
24	6	4	1.00	1.00	700	1700
25	6	4	1.00	1.00	750	1700
26	6	4	1.00	1.00	800	1700
27	6	4	1.00	1.00	850	1700
28	6	4	1.00	1.00	900	1700
29	6	4	1.00	1.00	950	1700
30	6	4	1.00	1.00	1000	1700
31	6	4	1.00	1.00	1050	1700
32	6	4	1.00	1.00	1100	1700
33	6	4	1.00	1.00	600	1750
34	6	4	1.00	1.00	650	1750
35	6	4	1.00	1.00	700	1750
36	6	4	1.00	1.00	750	1750
37	6	4	1.00	1.00	800	1750
38	6	4	1.00	1.00	850	1750
39	6	4	1.00	1.00	900	1750
40	6	4	1.00	1.00	950	1750
41	6	4	1.00	1.00	1000	1750
42	6	4	1.00	1.00	1050	1750
43	6	4	1.00	1.00	1100	1750
44	6	4	1.00	1.00	600	1800
45	6	4	1.00	1.00	650	1800
46	6	4	1.00	1.00	700	1800
47	6	4	1.00	1.00	750	1800
48	6	4	1.00	1.00	800	1800
49	6	4	1.00	1.00	850	1800
50	6	4	1.00	1.00	900	1800
51	6	4	1.00	1.00	950	1800
52	6	4	1.00	1.00	1000	1800
53	6	4	1.00	1.00	1050	1800
54	6	4	1.00	1.00	1100	1800
55	6	4	1.00	1.00	600	1850
56	6	4	1.00	1.00	650	1850
57	6	4	1.00	1.00	700	1850
58	6	4	1.00	1.00	750	1850
59	6	4	1.00	1.00	800	1850
60	6	4	1.00	1.00	850	1850
61	6	4	1.00	1.00	900	1850
62	6	4	1.00	1.00	950	1850
63	6	4	1.00	1.00	1000	1850
64	6	4	1.00	1.00	1050	1850
65	6	4	1.00	1.00	1100	1850
66	6	4	1.00	1.00	600	1900
67	6	4	1.00	1.00	650	1900
68	6	4	1.00	1.00	700	1900
69	6	4	1.00	1.00	750	1900
70	6	4	1.00	1.00	800	1900
71	6	4	1.00	1.00	850	1900
72	6	4	1.00	1.00	900	1900
73	6	4	1.00	1.00	950	1900
74	6	4	1.00	1.00	1000	1900
75	6	4	1.00	1.00	1050	1900
76	6	4	1.00	1.00	1100	1900
77	6	4	1.00	1.00	600	1950
78	6	4	1.00	1.00	650	1950
79	6	4	1.00	1.00	700	1950
80	6	4	1.00	1.00	750	1950
81	6	4	1.00	1.00	800	1950
82	6	4	1.00	1.00	850	1950
83	6	4	1.00	1.00	900	1950
84	6	4	1.00	1.00	950	1950
85	6	4	1.00	1.00	1000	1950
86	6	4	1.00	1.00	1050	1950
87	6	4	1.00	1.00	1100	1950
88	6	4	1.00	1.00	600	2000
89	6	4	1.00	1.00	650	2000
90	6	4	1.00	1.00	700	2000
91	6	4	1.00	1.00	750	2000
92	6	4	1.00	1.00	800	2000
93	6	4	1.00	1.00	850	2000
94	6	4	1.00	1.00	900	2000
95	6	4	1.00	1.00	950	2000
96	6	4	1.00	1.00	1000	2000
97	6	4	1.00	1.00	1050	2000
98	6	4	1.00	1.00	1100	2000
