	IN	OUT	RMSE	MAE	enough_zero	delta
0	16	25	10.98	9.50	25	1200
1	15	22	8.75	7.50	26	1200
2	14	20	7.21	6.00	27	1200
3	14	17	5.15	4.50	28	1200
4	14	16	4.47	4.00	29	1200
5	13	14	2.92	2.50	30	1200
6	12	12	1.41	1.00	31	1200
7	10	9	1.58	1.50	32	1200
8	9	8	2.55	2.50	33	1200
9	16	25	10.98	9.50	25	1250
10	15	22	8.75	7.50	26	1250
11	14	20	7.21	6.00	27	1250
12	14	17	5.15	4.50	28	1250
13	14	16	4.47	4.00	29	1250
14	13	14	2.92	2.50	30	1250
15	12	12	1.41	1.00	31	1250
16	10	9	1.58	1.50	32	1250
17	9	8	2.55	2.50	33	1250
18	16	25	10.98	9.50	25	1300
19	15	22	8.75	7.50	26	1300
20	14	20	7.21	6.00	27	1300
21	14	17	5.15	4.50	28	1300
22	14	16	4.47	4.00	29	1300
23	13	14	2.92	2.50	30	1300
24	12	12	1.41	1.00	31	1300
25	10	9	1.58	1.50	32	1300
26	9	8	2.55	2.50	33	1300
27	16	25	10.98	9.50	25	1350
28	15	22	8.75	7.50	26	1350
29	14	20	7.21	6.00	27	1350
30	14	17	5.15	4.50	28	1350
31	14	16	4.47	4.00	29	1350
32	13	14	2.92	2.50	30	1350
33	12	12	1.41	1.00	31	1350
34	10	9	1.58	1.50	32	1350
35	9	8	2.55	2.50	33	1350
36	16	25	10.98	9.50	25	1400
37	15	22	8.75	7.50	26	1400
38	14	20	7.21	6.00	27	1400
39	14	17	5.15	4.50	28	1400
40	14	16	4.47	4.00	29	1400
41	13	14	2.92	2.50	30	1400
42	12	12	1.41	1.00	31	1400
43	10	9	1.58	1.50	32	1400
44	9	8	2.55	2.50	33	1400
45	16	25	10.98	9.50	25	1450
46	15	22	8.75	7.50	26	1450
47	14	20	7.21	6.00	27	1450
48	14	17	5.15	4.50	28	1450
49	14	16	4.47	4.00	29	1450
50	13	14	2.92	2.50	30	1450
51	12	12	1.41	1.00	31	1450
52	10	9	1.58	1.50	32	1450
53	9	8	2.55	2.50	33	1450
54	16	25	10.98	9.50	25	1500
55	15	22	8.75	7.50	26	1500
56	14	20	7.21	6.00	27	1500
57	14	17	5.15	4.50	28	1500
58	14	16	4.47	4.00	29	1500
59	13	14	2.92	2.50	30	1500
60	12	12	1.41	1.00	31	1500
61	10	9	1.58	1.50	32	1500
62	9	8	2.55	2.50	33	1500
63	16	25	10.98	9.50	25	1550
64	15	22	8.75	7.50	26	1550
65	14	20	7.21	6.00	27	1550
66	14	17	5.15	4.50	28	1550
67	14	16	4.47	4.00	29	1550
68	13	14	2.92	2.50	30	1550
69	12	12	1.41	1.00	31	1550
70	10	9	1.58	1.50	32	1550
71	9	8	2.55	2.50	33	1550
72	16	25	10.98	9.50	25	1600
73	15	22	8.75	7.50	26	1600
74	14	20	7.21	6.00	27	1600
75	14	17	5.15	4.50	28	1600
76	14	16	4.47	4.00	29	1600
77	13	14	2.92	2.50	30	1600
78	12	12	1.41	1.00	31	1600
79	10	9	1.58	1.50	32	1600
80	9	8	2.55	2.50	33	1600
