	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	2	3	7	10	2.24	2.00	50.0	57.142857142857146	3	800
1	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	800
2	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	800
3	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	800
4	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	800
5	2	3	7	10	2.24	2.00	50.0	57.142857142857146	3	850
6	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	850
7	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	850
8	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	850
9	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	850
10	2	3	7	11	2.92	2.50	50.0	42.85714285714286	3	900
11	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	900
12	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	900
13	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	900
14	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	900
15	2	3	7	11	2.92	2.50	50.0	42.85714285714286	3	950
16	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	950
17	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	950
18	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	950
19	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	950
20	2	3	7	11	2.92	2.50	50.0	42.85714285714286	3	1000
21	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	1000
22	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	1000
23	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	1000
24	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	1000
25	2	3	7	11	2.92	2.50	50.0	42.85714285714286	3	1050
26	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	1050
27	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	1050
28	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	1050
29	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	1050
30	2	3	7	11	2.92	2.50	50.0	42.85714285714286	3	1100
31	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	1100
32	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	1100
33	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	1100
34	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	1100
35	2	3	7	11	2.92	2.50	50.0	42.85714285714286	3	1150
36	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	1150
37	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	1150
38	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	1150
39	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	1150
40	2	3	7	11	2.92	2.50	50.0	42.85714285714286	3	1200
41	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	1200
42	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	1200
43	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	1200
44	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	1200
45	2	3	7	11	2.92	2.50	50.0	42.85714285714286	3	1250
46	2	3	7	10	2.24	2.00	50.0	57.142857142857146	4	1250
47	2	3	7	10	2.24	2.00	50.0	57.142857142857146	5	1250
48	2	3	7	9	1.58	1.50	50.0	71.42857142857143	6	1250
49	2	2	7	6	0.71	0.50	100.0	85.71428571428572	7	1250
