INFRARED,25-09-2017,,,,,,,,,,
TIME,REAL IN ,IN ,REAL OUT ,OUT,RMSE,MAE,ACC. IN,ACC. OUT,enough zero,delta,
10:14:00,9,8,6,6,"0,71","0,50","88,89%","100,00%",3-4,ALL,"94,45%"
10:19:00,13,12,3,6,"2,24","2,00","92,31%","50,00%",3-4,ALL,"71,16%"
10:24:00,11,10,13,13,"0,71","0,50","90,91%","100,00%",5,ALL,"95,46%"
10:29:00,13,12,11,12,"1,00","1,00","92,31%","90,91%",5-6,ALL,"91,61%"
10:34:00,5,4,4,5,"1,00","1,00","80,00%","75,00%",3-4,ALL,"77,50%"
10:39:00,4,3,1,1,"0,71","0,50","75,00%","100,00%",4-5,ALL,"87,50%"
10:44:00,4,4,6,6,"0,00","0,00","100,00%","100,00%",3,ALL,"100,00%"
10:49:00,10,7,7,7,"2,12","1,50","70,00%","100,00%",5,ALL,"85,00%"
10:54:00,5,2,9,8,"2,24","2,00","40,00%","88,89%",6,ALL,"64,45%"
10:59:00,8,6,7,8,"1,58","1,50","75,00%","85,71%",5,ALL,"80,36%"
11:04:00,8,4,3,5,"3,16","3,00","50,00%","33,33%",3-4,ALL,"41,67%"
11:09:00,7,6,10,12,"1,58","1,50","85,71%","80,00%",5,ALL,"82,86%"
11:14:00,1,1,4,4,"0,00","0,00","100,00%","100,00%",3-4,ALL,"100,00%"
11:21:00,11,9,6,8,"2,00","2,00","81,82%","66,67%",5-6,800-850,"74,25%"
11:26:00,2,2,3,3,"0,00","0,00","100,00%","100,00%",3-4-5-6,ALL,"100,00%"
11:31:00,2,2,7,6,"0,71","0,50","100,00%","85,71%",7,ALL,"92,86%"
11:36:00,8,6,4,7,"2,55","2,50","75,00%","25,00%",3-4-5-6,> 1000,"50,00%"
11:42:00,9,9,5,5,"0,00","0,00","100,00%","100,00%",6,ALL,"100,00%"
11:47:00,6,5,6,7,"1,00","1,00","83,33%","83,33%",6-7,> 1000,"83,33%"
11:52:00,4,3,8,9,"1,00","1,00","75,00%","87,50%",5,ALL,"81,25%"
11:57:00,8,9,5,3,"1,58","1,50","87,50%","60,00%",3-4,ALL,"73,75%"
12:02:00,4,6,9,9,"1,41","1,00","50,00%","100,00%",3-4,800-850,"75,00%"
TOTALE,152,130,137,150,"1,24","1,11","81,49%","82,37%",,,
