PIR,25-09-2018,,,,,,,,,,
TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT,span,delta,
10:14:00,9,3,6,5,"4,30","3,50","33,33%","83,33%",>= 850,ALL,"58,33%"
10:19:00,13,4,3,2,"6,40","5,00","30,77%","66,67%",ALL,ALL,"48,72%"
10:24:00,11,5,13,8,"5,52","5,50","45,55%","61,54%",ALL,ALL,"53,55%"
10:29:00,13,7,11,9,"4,47","4,00","53,85%","81,82%",ALL,ALL,"67,84%"
10:34:00,5,1,4,3,"2,92","2,50","20,00%","75,00%",ALL,ALL,"47,50%"
10:39:00,4,3,1,0,"1,00","1,00","75,00%","0,00%",ALL,ALL,"37,50%"
10:44:00,4,2,6,4,"2,00","2,00","50,00%","66,67%",ALL,ALL,"58,34%"
10:49:00,10,5,7,6,"3,61","3,00","50,00%","85,71%",ALL,ALL,"67,86%"
10:54:00,5,3,9,7,"2,00","2,00","60,00%","77,78%",ALL,ALL,"68,89%"
10:59:00,8,9,7,5,"1,58","1,50","87,50%","71,43%",ALL,ALL,"79,47%"
11:04:00,8,5,3,2,"2,24","2,00","62,50%","66,67%",ALL,ALL,"64,59%"
11:09:00,7,5,10,5,"3,81","3,50","71,43%","50,00%",ALL,ALL,"60,72%"
11:14:00,1,1,4,3,"0,71","0,50","100,00%","75,00%",ALL,ALL,"87,50%"
11:21:00,11,7,6,6,"2,83","2,00","63,64%","100,00%",ALL,ALL,"81,82%"
11:26:00,2,2,3,2,"0,71","0,50","100,00%","66,67%",ALL,ALL,"83,34%"
11:31:00,2,2,7,6,"0,71","0,50","100,00%","85,71%",ALL,ALL,"92,86%"
11:36:00,8,6,4,3,"1,58","1,50","75,00%","75,00%",ALL,ALL,"75,00%"
11:42:00,9,7,5,4,"1,58","1,50","77,78%","80,00%",ALL,ALL,"78,89%"
11:47:00,6,3,6,3,"3,00","3,00","50,00%","50,00%",ALL,ALL,"50,00%"
11:52:00,4,3,8,4,"2,92","2,50","75,00%","50,00%",ALL,ALL,"62,50%"
11:57:00,8,9,5,4,"1,00","1,00","87,50%","80,00%",ALL,ALL,"83,75%"
12:02:00,4,3,9,2,"5,00","4,00","75,00%","22,22%",ALL,ALL,"48,61%"
TOTALE,152,95,137,93,"2,72","2,39","65,63%","66,87%",,,
