,TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT
0,16_23,0,6,0,4,5.10,5.00,NaN,NaN
"['16_29', 0, 0, 0, 3, '2.12', '1.50', 'NaN', 'NaN']"
"['16_34', 0, 4, 0, 3, '3.54', '3.50', 'NaN', 'NaN']"
"['10_53', 1, 2, 1, 0, '1.00', '1.00', 0.0, 0.0]"
"['10_53', 1, 2, 1, 0, '1.00', '1.00', 0.0, 0.0]"
"['11_2', 0, 6, 0, 0, '4.24', '3.00', 'NaN', 'NaN']"
"['11_16', 0, 2, 0, 2, '2.00', '2.00', 'NaN', 'NaN']"
"['11_56', 1, 1, 1, 1, '0.00', '0.00', 100.0, 100.0]"
"['12_13', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['12_15', 0, 1, 0, 2, '1.58', '1.50', 'NaN', 'NaN']"
"['12_16', 0, 1, 0, 0, '0.71', '0.50', 'NaN', 'NaN']"
"['12_17', 0, 1, 0, 1, '1.00', '1.00', 'NaN', 'NaN']"
"['12_32', 0, 2, 0, 1, '1.58', '1.50', 'NaN', 'NaN']"
"['12_33', 0, 0, 0, 1, '0.71', '0.50', 'NaN', 'NaN']"
"['12_34', 0, 1, 0, 0, '0.71', '0.50', 'NaN', 'NaN']"
"['14_36', 0, 3, 0, 1, '2.24', '2.00', 'NaN', 'NaN']"
"['14_41', 0, 2, 0, 2, '2.00', '2.00', 'NaN', 'NaN']"
"['14_46', 0, 3, 0, 4, '3.54', '3.50', 'NaN', 'NaN']"
"['14_51', 0, 5, 0, 3, '4.12', '4.00', 'NaN', 'NaN']"
"['14_56', 0, 1, 0, 5, '3.61', '3.00', 'NaN', 'NaN']"
"['16_14', 0, 2, 0, 2, '2.00', '2.00', 'NaN', 'NaN']"
"['10_14', 9, 9, 6, 5, '0.71', '0.50', 100.0, 83.33333333333334]"
