	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	7	5	10	5	3.81	3.50	71.42857142857143	50.0	800	900
1	7	5	10	5	3.81	3.50	71.42857142857143	50.0	850	900
2	7	5	10	5	3.81	3.50	71.42857142857143	50.0	900	900
3	7	5	10	5	3.81	3.50	71.42857142857143	50.0	950	900
4	7	5	10	5	3.81	3.50	71.42857142857143	50.0	1000	900
5	7	5	10	5	3.81	3.50	71.42857142857143	50.0	800	950
6	7	5	10	5	3.81	3.50	71.42857142857143	50.0	850	950
7	7	5	10	5	3.81	3.50	71.42857142857143	50.0	900	950
8	7	5	10	5	3.81	3.50	71.42857142857143	50.0	950	950
9	7	5	10	5	3.81	3.50	71.42857142857143	50.0	1000	950
10	7	5	10	5	3.81	3.50	71.42857142857143	50.0	800	1000
11	7	5	10	5	3.81	3.50	71.42857142857143	50.0	850	1000
12	7	5	10	5	3.81	3.50	71.42857142857143	50.0	900	1000
13	7	5	10	5	3.81	3.50	71.42857142857143	50.0	950	1000
14	7	5	10	5	3.81	3.50	71.42857142857143	50.0	1000	1000
15	7	5	10	5	3.81	3.50	71.42857142857143	50.0	800	1050
16	7	5	10	5	3.81	3.50	71.42857142857143	50.0	850	1050
17	7	5	10	5	3.81	3.50	71.42857142857143	50.0	900	1050
18	7	5	10	5	3.81	3.50	71.42857142857143	50.0	950	1050
19	7	5	10	5	3.81	3.50	71.42857142857143	50.0	1000	1050
20	7	5	10	5	3.81	3.50	71.42857142857143	50.0	800	1100
21	7	5	10	5	3.81	3.50	71.42857142857143	50.0	850	1100
22	7	5	10	5	3.81	3.50	71.42857142857143	50.0	900	1100
23	7	5	10	5	3.81	3.50	71.42857142857143	50.0	950	1100
24	7	5	10	5	3.81	3.50	71.42857142857143	50.0	1000	1100
