,TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT
0,10_14,9,9,6,5,0.71,0.50,100.0,83.33333333333334
"['10_19', 13, 11, 3, 3, '1.41', '1.00', 84.61538461538461, 100.0]"
"['10_24', 11, 12, 13, 12, '1.00', '1.00', 90.9090909090909, 92.3076923076923]"
"['10_24', 11, 12, 13, 12, '1.00', '1.00', 90.9090909090909, 92.3076923076923]"
"['10_29', 13, 13, 11, 11, '0.00', '0.00', 100.0, 100.0]"
"['10_34', 5, 6, 4, 2, '1.58', '1.50', 80.0, 50.0]"
"['10_39', 4, 4, 1, 1, '0.00', '0.00', 100.0, 100.0]"
"['10_44', 4, 4, 6, 6, '0.00', '0.00', 100.0, 100.0]"
"['10_49', 10, 8, 7, 8, '1.58', '1.50', 80.0, 85.71428571428572]"
"['10_54', 5, 4, 9, 9, '0.71', '0.50', 80.0, 100.0]"
"['10_59', 8, 11, 7, 5, '2.55', '2.50', 62.5, 71.42857142857143]"
"['11_04', 8, 7, 3, 3, '0.71', '0.50', 87.5, 100.0]"
"['11_09', 7, 7, 10, 10, '0.00', '0.00', 100.0, 100.0]"
"['11_14', 1, 1, 4, 4, '0.00', '0.00', 100.0, 100.0]"
"['11_21', 11, 11, 6, 6, '0.00', '0.00', 100.0, 100.0]"
"['11_26', 2, 2, 3, 3, '0.00', '0.00', 100.0, 100.0]"
"['11_31', 2, 3, 7, 7, '0.71', '0.50', 50.0, 100.0]"
"['11_36', 8, 8, 4, 4, '0.00', '0.00', 100.0, 100.0]"
"['11_42', 9, 10, 5, 4, '1.00', '1.00', 88.88888888888889, 80.0]"
"['11_47', 6, 6, 6, 6, '0.00', '0.00', 100.0, 100.0]"
"['11_52', 4, 0, 8, 0, '6.32', '6.00', 0.0, 0.0]"
"['11_52', 4, 0, 8, 0, '6.32', '6.00', 0.0, 0.0]"
"['11_57', 8, 2, 5, 9, '5.10', '5.00', 25.0, 20.0]"
"['12_02', 4, 2, 9, 10, '1.58', '1.50', 50.0, 88.88888888888889]"
