,TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT
0,09_2,0,0,0,0,0.00,0.00,NaN,NaN
"['09_6', 0, 2, 0, 1, '1.58', '1.50', 'NaN', 'NaN']"
"['09_10', 0, 2, 0, 2, '2.00', '2.00', 'NaN', 'NaN']"
"['09_30', 0, 8, 0, 7, '7.52', '7.50', 'NaN', 'NaN']"
"['09_35', 0, 6, 0, 6, '6.00', '6.00', 'NaN', 'NaN']"
"['09_41', 0, 3, 0, 5, '4.12', '4.00', 'NaN', 'NaN']"
"['09_48', 0, 1, 0, 3, '2.24', '2.00', 'NaN', 'NaN']"
"['09_50', 0, 1, 0, 3, '2.24', '2.00', 'NaN', 'NaN']"
"['09_50', 0, 1, 0, 3, '2.24', '2.00', 'NaN', 'NaN']"
"['10_09', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['10_09', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
"['10_14', 0, 9, 0, 5, '7.28', '7.00', 'NaN', 'NaN']"
"['10_14', 0, 9, 0, 5, '7.28', '7.00', 'NaN', 'NaN']"
"['11_21', 6, 11, 1, 6, '5.00', '5.00', 16.666666666666657, -400.0]"
"['10_09', 8, 0, 6, 0, '7.07', '7.00', 0.0, 0.0]"
"['10_14', 8, 9, 5, 5, '0.71', '0.50', 87.5, 100.0]"
"['10_19', 14, 11, 3, 3, '2.12', '1.50', 78.57142857142857, 100.0]"
"['27_09', 152, 144, 136, 134, '5.83', '5.00', 94.73684210526316, 98.52941176470588]"
"['10_14', 8, 9, 5, 5, '0.71', '0.50', 87.5, 100.0]"
"['10_19', 15, 11, 3, 3, '2.83', '2.00', 73.33333333333333, 100.0]"
"['10_19', 15, 11, 4, 3, '2.92', '2.50', 73.33333333333333, 75.0]"
"['10_14', 7, 9, 5, 5, '1.41', '1.00', 71.42857142857143, 100.0]"
"['10_14', 9, 9, 6, 5, '0.71', '0.50', 100.0, 83.33333333333334]"
"['10_14', 9, 9, 6, 5, '0.71', '0.50', 100.0, 83.33333333333334]"
"['10_19', 13, 11, 3, 3, '1.41', '1.00', 84.61538461538461, 100.0]"
"['10_24', 11, 12, 13, 12, '1.00', '1.00', 90.9090909090909, 92.3076923076923]"
"['10_29', 13, 13, 11, 11, '0.00', '0.00', 100.0, 100.0]"
"['10_24', 11, 12, 13, 12, '1.00', '1.00', 90.9090909090909, 92.3076923076923]"
"['10_34', 5, 6, 4, 2, '1.58', '1.50', 80.0, 50.0]"
"['10_39', 4, 4, 1, 1, '0.00', '0.00', 100.0, 100.0]"
"['10_44', 4, 4, 6, 6, '0.00', '0.00', 100.0, 100.0]"
"['10_49', 10, 8, 7, 8, '1.58', '1.50', 80.0, 85.71428571428572]"
"['10_54', 5, 4, 9, 9, '0.71', '0.50', 80.0, 100.0]"
"['10_59', 8, 11, 7, 5, '2.55', '2.50', 62.5, 71.42857142857143]"
"['11_04', 8, 7, 3, 3, '0.71', '0.50', 87.5, 100.0]"
"['15_41', 0, 7, 0, 12, '9.82', '9.50', 'NaN', 'NaN']"
"['15_46', 0, 8, 0, 2, '5.83', '5.00', 'NaN', 'NaN']"
"['15_51', 0, 5, 0, 4, '4.53', '4.50', 'NaN', 'NaN']"
"['15_56', 0, 4, 0, 12, '8.94', '8.00', 'NaN', 'NaN']"
"['16_01', 0, 8, 0, 11, '9.62', '9.50', 'NaN', 'NaN']"
"['16_06', 0, 8, 0, 3, '6.04', '5.50', 'NaN', 'NaN']"
"['16_11', 0, 7, 0, 9, '8.06', '8.00', 'NaN', 'NaN']"
"['16_16', 0, 0, 0, 0, '0.00', '0.00', 'NaN', 'NaN']"
