,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT,enough_zero,delta
0,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,3,800
1,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,4,800
2,6,2,6,8,3.16,3.00,33.33333333333334,66.66666666666667,5,800
3,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,6,800
4,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,7,800
5,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,3,850
6,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,4,850
7,6,2,6,8,3.16,3.00,33.33333333333334,66.66666666666667,5,850
8,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,6,850
9,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,7,850
10,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,3,900
11,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,4,900
12,6,2,6,8,3.16,3.00,33.33333333333334,66.66666666666667,5,900
13,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,6,900
14,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,7,900
15,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,3,950
16,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,4,950
17,6,2,6,8,3.16,3.00,33.33333333333334,66.66666666666667,5,950
18,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,6,950
19,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,7,950
20,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,3,1000
21,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,4,1000
22,6,2,6,8,3.16,3.00,33.33333333333334,66.66666666666667,5,1000
23,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,6,1000
24,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,7,1000
25,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,3,1050
26,6,2,6,10,4.00,4.00,33.33333333333334,33.33333333333334,4,1050
27,6,2,6,8,3.16,3.00,33.33333333333334,66.66666666666667,5,1050
28,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,6,1050
29,6,4,6,4,2.00,2.00,66.66666666666667,66.66666666666667,7,1050
30,6,5,6,7,1.00,1.00,83.33333333333334,83.33333333333334,3,1100
31,6,5,6,7,1.00,1.00,83.33333333333334,83.33333333333334,4,1100
32,6,5,6,5,1.00,1.00,83.33333333333334,83.33333333333334,5,1100
33,6,5,6,3,2.24,2.00,83.33333333333334,50.0,6,1100
34,6,5,6,3,2.24,2.00,83.33333333333334,50.0,7,1100
35,6,5,6,7,1.00,1.00,83.33333333333334,83.33333333333334,3,1150
36,6,5,6,7,1.00,1.00,83.33333333333334,83.33333333333334,4,1150
37,6,5,6,5,1.00,1.00,83.33333333333334,83.33333333333334,5,1150
38,6,5,6,3,2.24,2.00,83.33333333333334,50.0,6,1150
39,6,5,6,3,2.24,2.00,83.33333333333334,50.0,7,1150
40,6,5,6,7,1.00,1.00,83.33333333333334,83.33333333333334,3,1200
41,6,5,6,7,1.00,1.00,83.33333333333334,83.33333333333334,4,1200
42,6,5,6,5,1.00,1.00,83.33333333333334,83.33333333333334,5,1200
43,6,5,6,3,2.24,2.00,83.33333333333334,50.0,6,1200
44,6,5,6,3,2.24,2.00,83.33333333333334,50.0,7,1200
45,6,5,6,7,1.00,1.00,83.33333333333334,83.33333333333334,3,1250
46,6,5,6,7,1.00,1.00,83.33333333333334,83.33333333333334,4,1250
47,6,5,6,5,1.00,1.00,83.33333333333334,83.33333333333334,5,1250
48,6,5,6,3,2.24,2.00,83.33333333333334,50.0,6,1250
49,6,5,6,3,2.24,2.00,83.33333333333334,50.0,7,1250
