	REAL IN	IN	REAL OUT	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	4	2	6	4	2.00	2.00	50.0	66.66666666666667	800	900
1	4	2	6	4	2.00	2.00	50.0	66.66666666666667	850	900
2	4	2	6	4	2.00	2.00	50.0	66.66666666666667	900	900
3	4	2	6	4	2.00	2.00	50.0	66.66666666666667	950	900
4	4	2	6	4	2.00	2.00	50.0	66.66666666666667	1000	900
5	4	2	6	4	2.00	2.00	50.0	66.66666666666667	800	950
6	4	2	6	4	2.00	2.00	50.0	66.66666666666667	850	950
7	4	2	6	4	2.00	2.00	50.0	66.66666666666667	900	950
8	4	2	6	4	2.00	2.00	50.0	66.66666666666667	950	950
9	4	2	6	4	2.00	2.00	50.0	66.66666666666667	1000	950
10	4	2	6	4	2.00	2.00	50.0	66.66666666666667	800	1000
11	4	2	6	4	2.00	2.00	50.0	66.66666666666667	850	1000
12	4	2	6	4	2.00	2.00	50.0	66.66666666666667	900	1000
13	4	2	6	4	2.00	2.00	50.0	66.66666666666667	950	1000
14	4	2	6	4	2.00	2.00	50.0	66.66666666666667	1000	1000
15	4	2	6	4	2.00	2.00	50.0	66.66666666666667	800	1050
16	4	2	6	4	2.00	2.00	50.0	66.66666666666667	850	1050
17	4	2	6	4	2.00	2.00	50.0	66.66666666666667	900	1050
18	4	2	6	4	2.00	2.00	50.0	66.66666666666667	950	1050
19	4	2	6	4	2.00	2.00	50.0	66.66666666666667	1000	1050
20	4	2	6	4	2.00	2.00	50.0	66.66666666666667	800	1100
21	4	2	6	4	2.00	2.00	50.0	66.66666666666667	850	1100
22	4	2	6	4	2.00	2.00	50.0	66.66666666666667	900	1100
23	4	2	6	4	2.00	2.00	50.0	66.66666666666667	950	1100
24	4	2	6	4	2.00	2.00	50.0	66.66666666666667	1000	1100
