PIR,25-09-2018,,,,,,,,,,
TIME,REAL IN,IN,REAL OUT,OUT,RMSE,MAE,ACC. IN,ACC.OUT,span,delta,% media
10:14:00,9,4,6,6,"3,54","2,5","44,44%","100,00%",ALL,ALL,
10:19:00,13,4,3,2,"6,4",5,"30,77%","66,67%",ALL,ALL,
10:24:00,11,5,13,8,"5,52","5,5","45,55%","61,54%",ALL,ALL,
10:29:00,13,7,11,9,"4,47",4,"53,85%","81,82%",ALL,ALL,
10:34:00,5,1,4,4,"2,83",2,"20,00%","100,00%",ALL,ALL,
10:39:00,4,3,1,0,1,1,"75,00%","0,00%",ALL,ALL,
10:44:00,4,2,6,4,2,2,"50,00%","66,67%",ALL,ALL,
10:49:00,10,5,7,6,"3,61",3,"50,00%","85,71%",ALL,ALL,
10:54:00,5,3,9,7,2,2,"60,00%","77,78%",ALL,ALL,
10:59:00,8,8,7,5,"1,41",1,"100,00%","71,43%",ALL,ALL,
11:04:00,8,5,3,2,"2,24",2,"62,50%","66,67%",ALL,ALL,
11:09:00,7,5,10,5,"3,81","3,5","71,43%","50,00%",ALL,ALL,
11:14:00,1,1,4,3,"0,71","0,5","100,00%","75,00%",ALL,ALL,
11:21:00,11,7,6,6,"2,83",2,"63,64%","100,00%",ALL,ALL,
11:26:00,2,2,3,2,"0,71","0,5","100,00%","66,67%",ALL,ALL,
11:31:00,3,2,7,6,1,1,"66,67%","85,71%",ALL,ALL,
11:36:00,8,6,4,3,"1,58","1,5","75,00%","75,00%",ALL,ALL,
11:42:00,9,7,5,4,"1,58","1,5","77,78%","80,00%",ALL,ALL,
11:47:00,6,3,6,3,3,3,"50,00%","50,00%",ALL,ALL,
11:52:00,4,3,8,4,"2,92","2,5","75,00%","50,00%",ALL,ALL,
11:57:00,8,9,5,4,1,1,"87,50%","80,00%",ALL,ALL,
12:02:00,4,2,9,3,"4,47",4,"50,00%","33,33%",ALL,ALL,
TOTALE,153,94,137,96,"2,67","2,32",,,,,
