	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	span	delta
0	4	3	1.58	1.50	50.00	50.00	700	1200
1	4	3	1.58	1.50	50.00	50.00	750	1200
2	4	3	1.58	1.50	50.00	50.00	800	1200
3	4	3	1.58	1.50	50.00	50.00	850	1200
4	4	3	1.58	1.50	50.00	50.00	900	1200
5	4	4	2.00	2.00	50.00	50.00	950	1200
6	4	4	2.00	2.00	50.00	50.00	1000	1200
7	4	4	2.00	2.00	50.00	50.00	1050	1200
8	4	4	2.00	2.00	50.00	50.00	1100	1200
9	4	4	2.00	2.00	50.00	50.00	1150	1200
10	4	4	2.00	2.00	50.00	50.00	1200	1200
11	4	3	1.58	1.50	50.00	50.00	700	1250
12	4	3	1.58	1.50	50.00	50.00	750	1250
13	4	3	1.58	1.50	50.00	50.00	800	1250
14	4	3	1.58	1.50	50.00	50.00	850	1250
15	4	3	1.58	1.50	50.00	50.00	900	1250
16	4	4	2.00	2.00	50.00	50.00	950	1250
17	4	4	2.00	2.00	50.00	50.00	1000	1250
18	4	4	2.00	2.00	50.00	50.00	1050	1250
19	4	4	2.00	2.00	50.00	50.00	1100	1250
20	4	4	2.00	2.00	50.00	50.00	1150	1250
21	4	4	2.00	2.00	50.00	50.00	1200	1250
22	4	3	1.58	1.50	50.00	50.00	700	1300
23	4	3	1.58	1.50	50.00	50.00	750	1300
24	4	3	1.58	1.50	50.00	50.00	800	1300
25	4	3	1.58	1.50	50.00	50.00	850	1300
26	4	3	1.58	1.50	50.00	50.00	900	1300
27	4	4	2.00	2.00	50.00	50.00	950	1300
28	4	4	2.00	2.00	50.00	50.00	1000	1300
29	4	4	2.00	2.00	50.00	50.00	1050	1300
30	4	4	2.00	2.00	50.00	50.00	1100	1300
31	4	4	2.00	2.00	50.00	50.00	1150	1300
32	4	4	2.00	2.00	50.00	50.00	1200	1300
33	4	4	2.00	2.00	50.00	50.00	700	1350
34	4	4	2.00	2.00	50.00	50.00	750	1350
35	4	4	2.00	2.00	50.00	50.00	800	1350
36	4	4	2.00	2.00	50.00	50.00	850	1350
37	4	4	2.00	2.00	50.00	50.00	900	1350
38	4	5	2.55	2.50	50.00	50.00	950	1350
39	4	5	2.55	2.50	50.00	50.00	1000	1350
40	4	5	2.55	2.50	50.00	50.00	1050	1350
41	4	5	2.55	2.50	50.00	50.00	1100	1350
42	4	5	2.55	2.50	50.00	50.00	1150	1350
43	4	5	2.55	2.50	50.00	50.00	1200	1350
44	4	4	2.00	2.00	50.00	50.00	700	1400
45	4	4	2.00	2.00	50.00	50.00	750	1400
46	4	4	2.00	2.00	50.00	50.00	800	1400
47	4	4	2.00	2.00	50.00	50.00	850	1400
48	4	4	2.00	2.00	50.00	50.00	900	1400
49	4	5	2.55	2.50	50.00	50.00	950	1400
50	4	5	2.55	2.50	50.00	50.00	1000	1400
51	4	5	2.55	2.50	50.00	50.00	1050	1400
52	4	5	2.55	2.50	50.00	50.00	1100	1400
53	4	5	2.55	2.50	50.00	50.00	1150	1400
54	4	5	2.55	2.50	50.00	50.00	1200	1400
55	4	4	2.00	2.00	50.00	50.00	700	1450
56	4	4	2.00	2.00	50.00	50.00	750	1450
57	4	4	2.00	2.00	50.00	50.00	800	1450
58	4	4	2.00	2.00	50.00	50.00	850	1450
59	4	4	2.00	2.00	50.00	50.00	900	1450
60	4	5	2.55	2.50	50.00	50.00	950	1450
61	4	5	2.55	2.50	50.00	50.00	1000	1450
62	4	5	2.55	2.50	50.00	50.00	1050	1450
63	4	5	2.55	2.50	50.00	50.00	1100	1450
64	4	5	2.55	2.50	50.00	50.00	1150	1450
65	4	5	2.55	2.50	50.00	50.00	1200	1450
66	4	4	2.00	2.00	50.00	50.00	700	1500
67	4	4	2.00	2.00	50.00	50.00	750	1500
68	4	4	2.00	2.00	50.00	50.00	800	1500
69	4	4	2.00	2.00	50.00	50.00	850	1500
70	4	4	2.00	2.00	50.00	50.00	900	1500
71	4	5	2.55	2.50	50.00	50.00	950	1500
72	4	5	2.55	2.50	50.00	50.00	1000	1500
73	4	5	2.55	2.50	50.00	50.00	1050	1500
74	4	5	2.55	2.50	50.00	50.00	1100	1500
75	4	5	2.55	2.50	50.00	50.00	1150	1500
76	4	5	2.55	2.50	50.00	50.00	1200	1500
77	4	4	2.00	2.00	50.00	50.00	700	1550
78	4	4	2.00	2.00	50.00	50.00	750	1550
79	4	4	2.00	2.00	50.00	50.00	800	1550
80	4	4	2.00	2.00	50.00	50.00	850	1550
81	4	4	2.00	2.00	50.00	50.00	900	1550
82	4	5	2.55	2.50	50.00	50.00	950	1550
83	4	5	2.55	2.50	50.00	50.00	1000	1550
84	4	5	2.55	2.50	50.00	50.00	1050	1550
85	4	5	2.55	2.50	50.00	50.00	1100	1550
86	4	5	2.55	2.50	50.00	50.00	1150	1550
87	4	5	2.55	2.50	50.00	50.00	1200	1550
88	4	4	2.00	2.00	50.00	50.00	700	1600
89	4	4	2.00	2.00	50.00	50.00	750	1600
90	4	4	2.00	2.00	50.00	50.00	800	1600
91	4	4	2.00	2.00	50.00	50.00	850	1600
92	4	4	2.00	2.00	50.00	50.00	900	1600
93	4	5	2.55	2.50	50.00	50.00	950	1600
94	4	5	2.55	2.50	50.00	50.00	1000	1600
95	4	5	2.55	2.50	50.00	50.00	1050	1600
96	4	5	2.55	2.50	50.00	50.00	1100	1600
97	4	5	2.55	2.50	50.00	50.00	1150	1600
98	4	5	2.55	2.50	50.00	50.00	1200	1600
99	4	4	2.00	2.00	50.00	50.00	700	1650
100	4	4	2.00	2.00	50.00	50.00	750	1650
101	4	4	2.00	2.00	50.00	50.00	800	1650
102	4	4	2.00	2.00	50.00	50.00	850	1650
103	4	4	2.00	2.00	50.00	50.00	900	1650
104	4	5	2.55	2.50	50.00	50.00	950	1650
105	4	5	2.55	2.50	50.00	50.00	1000	1650
106	4	5	2.55	2.50	50.00	50.00	1050	1650
107	4	5	2.55	2.50	50.00	50.00	1100	1650
108	4	5	2.55	2.50	50.00	50.00	1150	1650
109	4	5	2.55	2.50	50.00	50.00	1200	1650
110	4	4	2.00	2.00	50.00	50.00	700	1700
111	4	4	2.00	2.00	50.00	50.00	750	1700
112	4	4	2.00	2.00	50.00	50.00	800	1700
113	4	4	2.00	2.00	50.00	50.00	850	1700
114	4	4	2.00	2.00	50.00	50.00	900	1700
115	4	5	2.55	2.50	50.00	50.00	950	1700
116	4	5	2.55	2.50	50.00	50.00	1000	1700
117	4	5	2.55	2.50	50.00	50.00	1050	1700
118	4	5	2.55	2.50	50.00	50.00	1100	1700
119	4	5	2.55	2.50	50.00	50.00	1150	1700
120	4	5	2.55	2.50	50.00	50.00	1200	1700
121	4	4	2.00	2.00	50.00	50.00	700	1750
122	4	4	2.00	2.00	50.00	50.00	750	1750
123	4	4	2.00	2.00	50.00	50.00	800	1750
124	4	4	2.00	2.00	50.00	50.00	850	1750
125	4	4	2.00	2.00	50.00	50.00	900	1750
126	4	5	2.55	2.50	50.00	50.00	950	1750
127	4	5	2.55	2.50	50.00	50.00	1000	1750
128	4	5	2.55	2.50	50.00	50.00	1050	1750
129	4	5	2.55	2.50	50.00	50.00	1100	1750
130	4	5	2.55	2.50	50.00	50.00	1150	1750
131	4	5	2.55	2.50	50.00	50.00	1200	1750
132	5	4	2.55	2.50	40.00	40.00	700	1800
133	5	4	2.55	2.50	40.00	40.00	750	1800
134	5	4	2.55	2.50	40.00	40.00	800	1800
135	5	4	2.55	2.50	40.00	40.00	850	1800
136	5	4	2.55	2.50	40.00	40.00	900	1800
137	5	5	3.00	3.00	40.00	40.00	950	1800
138	5	5	3.00	3.00	40.00	40.00	1000	1800
139	5	5	3.00	3.00	40.00	40.00	1050	1800
140	5	5	3.00	3.00	40.00	40.00	1100	1800
141	5	5	3.00	3.00	40.00	40.00	1150	1800
142	5	5	3.00	3.00	40.00	40.00	1200	1800
143	5	4	2.55	2.50	40.00	40.00	700	1850
144	5	4	2.55	2.50	40.00	40.00	750	1850
145	5	4	2.55	2.50	40.00	40.00	800	1850
146	5	4	2.55	2.50	40.00	40.00	850	1850
147	5	4	2.55	2.50	40.00	40.00	900	1850
148	5	5	3.00	3.00	40.00	40.00	950	1850
149	5	5	3.00	3.00	40.00	40.00	1000	1850
150	5	5	3.00	3.00	40.00	40.00	1050	1850
151	5	5	3.00	3.00	40.00	40.00	1100	1850
152	5	5	3.00	3.00	40.00	40.00	1150	1850
153	5	5	3.00	3.00	40.00	40.00	1200	1850
154	5	4	2.55	2.50	40.00	40.00	700	1900
155	5	4	2.55	2.50	40.00	40.00	750	1900
156	5	4	2.55	2.50	40.00	40.00	800	1900
157	5	4	2.55	2.50	40.00	40.00	850	1900
158	5	4	2.55	2.50	40.00	40.00	900	1900
159	5	5	3.00	3.00	40.00	40.00	950	1900
160	5	5	3.00	3.00	40.00	40.00	1000	1900
161	5	5	3.00	3.00	40.00	40.00	1050	1900
162	5	5	3.00	3.00	40.00	40.00	1100	1900
163	5	5	3.00	3.00	40.00	40.00	1150	1900
164	5	5	3.00	3.00	40.00	40.00	1200	1900
