	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	enough_zero	delta
0	8	9	2.92	2.50	87.50	62.50	15	1200
1	8	6	1.00	1.00	87.50	62.50	16	1200
2	8	6	1.00	1.00	87.50	62.50	17	1200
3	8	6	1.00	1.00	87.50	62.50	18	1200
4	8	6	1.00	1.00	87.50	62.50	19	1200
5	5	5	1.41	1.00	71.43	71.43	20	1200
6	5	5	1.41	1.00	71.43	71.43	21	1200
7	3	5	2.83	2.00	42.86	42.86	22	1200
8	3	5	2.83	2.00	42.86	42.86	23	1200
9	3	5	2.83	2.00	42.86	42.86	24	1200
10	3	4	2.92	2.50	42.86	42.86	25	1200
11	3	2	3.54	3.50	42.86	42.86	26	1200
12	3	2	3.54	3.50	42.86	42.86	27	1200
13	3	2	3.54	3.50	42.86	42.86	28	1200
14	3	2	3.54	3.50	42.86	42.86	29	1200
15	2	2	4.12	4.00	28.57	28.57	30	1200
16	2	2	4.12	4.00	28.57	28.57	31	1200
17	0	1	5.70	5.50	0.00	0.00	32	1200
18	0	0	6.08	6.00	0.00	0.00	33	1200
19	8	9	2.92	2.50	87.50	62.50	15	1250
20	8	6	1.00	1.00	87.50	62.50	16	1250
21	8	6	1.00	1.00	87.50	62.50	17	1250
22	8	6	1.00	1.00	87.50	62.50	18	1250
23	8	6	1.00	1.00	87.50	62.50	19	1250
24	5	5	1.41	1.00	71.43	71.43	20	1250
25	5	5	1.41	1.00	71.43	71.43	21	1250
26	3	5	2.83	2.00	42.86	42.86	22	1250
27	3	5	2.83	2.00	42.86	42.86	23	1250
28	3	5	2.83	2.00	42.86	42.86	24	1250
29	3	4	2.92	2.50	42.86	42.86	25	1250
30	3	2	3.54	3.50	42.86	42.86	26	1250
31	3	2	3.54	3.50	42.86	42.86	27	1250
32	3	2	3.54	3.50	42.86	42.86	28	1250
33	3	2	3.54	3.50	42.86	42.86	29	1250
34	2	2	4.12	4.00	28.57	28.57	30	1250
35	2	2	4.12	4.00	28.57	28.57	31	1250
36	0	1	5.70	5.50	0.00	0.00	32	1250
37	0	0	6.08	6.00	0.00	0.00	33	1250
38	8	9	2.92	2.50	87.50	62.50	15	1300
39	8	6	1.00	1.00	87.50	62.50	16	1300
40	8	6	1.00	1.00	87.50	62.50	17	1300
41	8	6	1.00	1.00	87.50	62.50	18	1300
42	8	6	1.00	1.00	87.50	62.50	19	1300
43	5	5	1.41	1.00	71.43	71.43	20	1300
44	5	5	1.41	1.00	71.43	71.43	21	1300
45	3	5	2.83	2.00	42.86	42.86	22	1300
46	3	5	2.83	2.00	42.86	42.86	23	1300
47	3	5	2.83	2.00	42.86	42.86	24	1300
48	3	4	2.92	2.50	42.86	42.86	25	1300
49	3	2	3.54	3.50	42.86	42.86	26	1300
50	3	2	3.54	3.50	42.86	42.86	27	1300
51	3	2	3.54	3.50	42.86	42.86	28	1300
52	3	2	3.54	3.50	42.86	42.86	29	1300
53	2	2	4.12	4.00	28.57	28.57	30	1300
54	2	2	4.12	4.00	28.57	28.57	31	1300
55	0	1	5.70	5.50	0.00	0.00	32	1300
56	0	0	6.08	6.00	0.00	0.00	33	1300
57	8	9	2.92	2.50	87.50	62.50	15	1350
58	8	6	1.00	1.00	87.50	62.50	16	1350
59	8	6	1.00	1.00	87.50	62.50	17	1350
60	8	6	1.00	1.00	87.50	62.50	18	1350
61	8	6	1.00	1.00	87.50	62.50	19	1350
62	5	5	1.41	1.00	71.43	71.43	20	1350
63	5	5	1.41	1.00	71.43	71.43	21	1350
64	3	5	2.83	2.00	42.86	42.86	22	1350
65	3	5	2.83	2.00	42.86	42.86	23	1350
66	3	5	2.83	2.00	42.86	42.86	24	1350
67	3	4	2.92	2.50	42.86	42.86	25	1350
68	3	2	3.54	3.50	42.86	42.86	26	1350
69	3	2	3.54	3.50	42.86	42.86	27	1350
70	3	2	3.54	3.50	42.86	42.86	28	1350
71	3	2	3.54	3.50	42.86	42.86	29	1350
72	2	2	4.12	4.00	28.57	28.57	30	1350
73	2	2	4.12	4.00	28.57	28.57	31	1350
74	0	1	5.70	5.50	0.00	0.00	32	1350
75	0	0	6.08	6.00	0.00	0.00	33	1350
76	8	9	2.92	2.50	87.50	62.50	15	1400
77	8	6	1.00	1.00	87.50	62.50	16	1400
78	8	6	1.00	1.00	87.50	62.50	17	1400
79	8	6	1.00	1.00	87.50	62.50	18	1400
80	8	6	1.00	1.00	87.50	62.50	19	1400
81	5	5	1.41	1.00	71.43	71.43	20	1400
82	5	5	1.41	1.00	71.43	71.43	21	1400
83	3	5	2.83	2.00	42.86	42.86	22	1400
84	3	5	2.83	2.00	42.86	42.86	23	1400
85	3	5	2.83	2.00	42.86	42.86	24	1400
86	3	4	2.92	2.50	42.86	42.86	25	1400
87	3	2	3.54	3.50	42.86	42.86	26	1400
88	3	2	3.54	3.50	42.86	42.86	27	1400
89	3	2	3.54	3.50	42.86	42.86	28	1400
90	3	2	3.54	3.50	42.86	42.86	29	1400
91	2	2	4.12	4.00	28.57	28.57	30	1400
92	2	2	4.12	4.00	28.57	28.57	31	1400
93	0	1	5.70	5.50	0.00	0.00	32	1400
94	0	0	6.08	6.00	0.00	0.00	33	1400
95	8	9	2.92	2.50	87.50	62.50	15	1450
96	8	6	1.00	1.00	87.50	62.50	16	1450
97	8	6	1.00	1.00	87.50	62.50	17	1450
98	8	6	1.00	1.00	87.50	62.50	18	1450
99	8	6	1.00	1.00	87.50	62.50	19	1450
100	5	5	1.41	1.00	71.43	71.43	20	1450
101	5	5	1.41	1.00	71.43	71.43	21	1450
102	3	5	2.83	2.00	42.86	42.86	22	1450
103	3	5	2.83	2.00	42.86	42.86	23	1450
104	3	5	2.83	2.00	42.86	42.86	24	1450
105	3	4	2.92	2.50	42.86	42.86	25	1450
106	3	2	3.54	3.50	42.86	42.86	26	1450
107	3	2	3.54	3.50	42.86	42.86	27	1450
108	3	2	3.54	3.50	42.86	42.86	28	1450
109	3	2	3.54	3.50	42.86	42.86	29	1450
110	2	2	4.12	4.00	28.57	28.57	30	1450
111	2	2	4.12	4.00	28.57	28.57	31	1450
112	0	1	5.70	5.50	0.00	0.00	32	1450
113	0	0	6.08	6.00	0.00	0.00	33	1450
114	8	9	2.92	2.50	87.50	62.50	15	1500
115	8	6	1.00	1.00	87.50	62.50	16	1500
116	8	6	1.00	1.00	87.50	62.50	17	1500
117	8	6	1.00	1.00	87.50	62.50	18	1500
118	8	6	1.00	1.00	87.50	62.50	19	1500
119	5	5	1.41	1.00	71.43	71.43	20	1500
120	5	5	1.41	1.00	71.43	71.43	21	1500
121	3	5	2.83	2.00	42.86	42.86	22	1500
122	3	5	2.83	2.00	42.86	42.86	23	1500
123	3	5	2.83	2.00	42.86	42.86	24	1500
124	3	4	2.92	2.50	42.86	42.86	25	1500
125	3	2	3.54	3.50	42.86	42.86	26	1500
126	3	2	3.54	3.50	42.86	42.86	27	1500
127	3	2	3.54	3.50	42.86	42.86	28	1500
128	3	2	3.54	3.50	42.86	42.86	29	1500
129	2	2	4.12	4.00	28.57	28.57	30	1500
130	2	2	4.12	4.00	28.57	28.57	31	1500
131	0	1	5.70	5.50	0.00	0.00	32	1500
132	0	0	6.08	6.00	0.00	0.00	33	1500
133	8	9	2.92	2.50	87.50	62.50	15	1550
134	8	6	1.00	1.00	87.50	62.50	16	1550
135	8	6	1.00	1.00	87.50	62.50	17	1550
