	IN	OUT	RMSE	MAE	ACC. IN	ACC. OUT	span	delta
0	3	3	1.00	1.00	75.00	66.67	600	1000
1	3	3	1.00	1.00	75.00	66.67	650	1000
2	3	3	1.00	1.00	75.00	66.67	700	1000
3	3	3	1.00	1.00	75.00	66.67	750	1000
4	3	3	1.00	1.00	75.00	66.67	800	1000
5	3	3	1.00	1.00	75.00	66.67	850	1000
6	3	3	1.00	1.00	75.00	66.67	900	1000
7	3	3	1.00	1.00	75.00	66.67	950	1000
8	3	3	1.00	1.00	75.00	66.67	1000	1000
9	3	3	1.00	1.00	75.00	66.67	1050	1000
10	3	3	1.00	1.00	75.00	66.67	1100	1000
11	3	3	1.00	1.00	75.00	66.67	1150	1000
12	3	3	1.00	1.00	75.00	66.67	1200	1000
13	3	3	1.00	1.00	75.00	66.67	600	1050
14	3	3	1.00	1.00	75.00	66.67	650	1050
15	3	3	1.00	1.00	75.00	66.67	700	1050
16	3	3	1.00	1.00	75.00	66.67	750	1050
17	3	3	1.00	1.00	75.00	66.67	800	1050
18	3	3	1.00	1.00	75.00	66.67	850	1050
19	3	3	1.00	1.00	75.00	66.67	900	1050
20	3	3	1.00	1.00	75.00	66.67	950	1050
21	3	3	1.00	1.00	75.00	66.67	1000	1050
22	3	3	1.00	1.00	75.00	66.67	1050	1050
23	3	3	1.00	1.00	75.00	66.67	1100	1050
24	3	3	1.00	1.00	75.00	66.67	1150	1050
25	3	3	1.00	1.00	75.00	66.67	1200	1050
26	4	3	0.71	0.50	100.00	50.00	600	1100
27	4	3	0.71	0.50	100.00	50.00	650	1100
28	4	3	0.71	0.50	100.00	50.00	700	1100
29	4	3	0.71	0.50	100.00	50.00	750	1100
30	4	3	0.71	0.50	100.00	50.00	800	1100
31	4	3	0.71	0.50	100.00	50.00	850	1100
32	4	3	0.71	0.50	100.00	50.00	900	1100
33	4	3	0.71	0.50	100.00	50.00	950	1100
34	4	3	0.71	0.50	100.00	50.00	1000	1100
35	4	3	0.71	0.50	100.00	50.00	1050	1100
36	4	3	0.71	0.50	100.00	50.00	1100	1100
37	4	3	0.71	0.50	100.00	50.00	1150	1100
38	4	3	0.71	0.50	100.00	50.00	1200	1100
39	4	3	0.71	0.50	100.00	50.00	600	1150
40	4	3	0.71	0.50	100.00	50.00	650	1150
41	4	3	0.71	0.50	100.00	50.00	700	1150
42	4	3	0.71	0.50	100.00	50.00	750	1150
43	4	3	0.71	0.50	100.00	50.00	800	1150
44	4	3	0.71	0.50	100.00	50.00	850	1150
45	4	3	0.71	0.50	100.00	50.00	900	1150
46	4	3	0.71	0.50	100.00	50.00	950	1150
47	4	3	0.71	0.50	100.00	50.00	1000	1150
48	4	3	0.71	0.50	100.00	50.00	1050	1150
49	4	3	0.71	0.50	100.00	50.00	1100	1150
50	4	3	0.71	0.50	100.00	50.00	1150	1150
51	4	3	0.71	0.50	100.00	50.00	1200	1150
52	4	3	0.71	0.50	100.00	50.00	600	1200
53	4	3	0.71	0.50	100.00	50.00	650	1200
54	4	3	0.71	0.50	100.00	50.00	700	1200
55	4	3	0.71	0.50	100.00	50.00	750	1200
56	4	3	0.71	0.50	100.00	50.00	800	1200
57	4	3	0.71	0.50	100.00	50.00	850	1200
58	4	3	0.71	0.50	100.00	50.00	900	1200
59	4	3	0.71	0.50	100.00	50.00	950	1200
60	4	3	0.71	0.50	100.00	50.00	1000	1200
61	4	3	0.71	0.50	100.00	50.00	1050	1200
62	4	3	0.71	0.50	100.00	50.00	1100	1200
63	4	3	0.71	0.50	100.00	50.00	1150	1200
64	4	3	0.71	0.50	100.00	50.00	1200	1200
65	4	3	0.71	0.50	100.00	50.00	600	1250
66	4	3	0.71	0.50	100.00	50.00	650	1250
67	4	3	0.71	0.50	100.00	50.00	700	1250
68	4	3	0.71	0.50	100.00	50.00	750	1250
69	4	3	0.71	0.50	100.00	50.00	800	1250
70	4	3	0.71	0.50	100.00	50.00	850	1250
71	4	3	0.71	0.50	100.00	50.00	900	1250
72	4	3	0.71	0.50	100.00	50.00	950	1250
73	4	3	0.71	0.50	100.00	50.00	1000	1250
74	4	3	0.71	0.50	100.00	50.00	1050	1250
75	4	3	0.71	0.50	100.00	50.00	1100	1250
76	4	3	0.71	0.50	100.00	50.00	1150	1250
77	4	3	0.71	0.50	100.00	50.00	1200	1250
78	4	3	0.71	0.50	100.00	50.00	600	1300
79	4	3	0.71	0.50	100.00	50.00	650	1300
80	4	3	0.71	0.50	100.00	50.00	700	1300
81	4	3	0.71	0.50	100.00	50.00	750	1300
82	4	3	0.71	0.50	100.00	50.00	800	1300
83	4	3	0.71	0.50	100.00	50.00	850	1300
84	4	3	0.71	0.50	100.00	50.00	900	1300
85	4	3	0.71	0.50	100.00	50.00	950	1300
86	4	3	0.71	0.50	100.00	50.00	1000	1300
87	4	3	0.71	0.50	100.00	50.00	1050	1300
88	4	3	0.71	0.50	100.00	50.00	1100	1300
89	4	3	0.71	0.50	100.00	50.00	1150	1300
90	4	3	0.71	0.50	100.00	50.00	1200	1300
91	4	3	0.71	0.50	100.00	50.00	600	1350
92	4	3	0.71	0.50	100.00	50.00	650	1350
93	4	3	0.71	0.50	100.00	50.00	700	1350
94	4	3	0.71	0.50	100.00	50.00	750	1350
95	4	3	0.71	0.50	100.00	50.00	800	1350
96	4	3	0.71	0.50	100.00	50.00	850	1350
97	4	3	0.71	0.50	100.00	50.00	900	1350
98	4	3	0.71	0.50	100.00	50.00	950	1350
99	4	3	0.71	0.50	100.00	50.00	1000	1350
100	4	3	0.71	0.50	100.00	50.00	1050	1350
101	4	3	0.71	0.50	100.00	50.00	1100	1350
102	4	3	0.71	0.50	100.00	50.00	1150	1350
103	4	3	0.71	0.50	100.00	50.00	1200	1350
104	4	3	0.71	0.50	100.00	50.00	600	1400
105	4	3	0.71	0.50	100.00	50.00	650	1400
106	4	3	0.71	0.50	100.00	50.00	700	1400
107	4	3	0.71	0.50	100.00	50.00	750	1400
108	4	3	0.71	0.50	100.00	50.00	800	1400
109	4	3	0.71	0.50	100.00	50.00	850	1400
110	4	3	0.71	0.50	100.00	50.00	900	1400
111	4	3	0.71	0.50	100.00	50.00	950	1400
112	4	3	0.71	0.50	100.00	50.00	1000	1400
113	4	3	0.71	0.50	100.00	50.00	1050	1400
114	4	3	0.71	0.50	100.00	50.00	1100	1400
115	4	3	0.71	0.50	100.00	50.00	1150	1400
116	4	3	0.71	0.50	100.00	50.00	1200	1400
117	4	3	0.71	0.50	100.00	50.00	600	1450
118	4	3	0.71	0.50	100.00	50.00	650	1450
119	4	3	0.71	0.50	100.00	50.00	700	1450
120	4	3	0.71	0.50	100.00	50.00	750	1450
121	4	3	0.71	0.50	100.00	50.00	800	1450
122	4	3	0.71	0.50	100.00	50.00	850	1450
123	4	3	0.71	0.50	100.00	50.00	900	1450
124	4	3	0.71	0.50	100.00	50.00	950	1450
125	4	3	0.71	0.50	100.00	50.00	1000	1450
126	4	3	0.71	0.50	100.00	50.00	1050	1450
127	4	3	0.71	0.50	100.00	50.00	1100	1450
128	4	3	0.71	0.50	100.00	50.00	1150	1450
129	4	3	0.71	0.50	100.00	50.00	1200	1450
130	4	3	0.71	0.50	100.00	50.00	600	1500
131	4	3	0.71	0.50	100.00	50.00	650	1500
132	4	3	0.71	0.50	100.00	50.00	700	1500
133	4	3	0.71	0.50	100.00	50.00	750	1500
134	4	3	0.71	0.50	100.00	50.00	800	1500
135	4	3	0.71	0.50	100.00	50.00	850	1500
136	4	3	0.71	0.50	100.00	50.00	900	1500
137	4	3	0.71	0.50	100.00	50.00	950	1500
138	4	3	0.71	0.50	100.00	50.00	1000	1500
139	4	3	0.71	0.50	100.00	50.00	1050	1500
140	4	3	0.71	0.50	100.00	50.00	1100	1500
141	4	3	0.71	0.50	100.00	50.00	1150	1500
142	4	3	0.71	0.50	100.00	50.00	1200	1500
143	4	3	0.71	0.50	100.00	50.00	600	1550
144	4	3	0.71	0.50	100.00	50.00	650	1550
145	4	3	0.71	0.50	100.00	50.00	700	1550
146	4	3	0.71	0.50	100.00	50.00	750	1550
147	4	3	0.71	0.50	100.00	50.00	800	1550
148	4	3	0.71	0.50	100.00	50.00	850	1550
149	4	3	0.71	0.50	100.00	50.00	900	1550
150	4	3	0.71	0.50	100.00	50.00	950	1550
151	4	3	0.71	0.50	100.00	50.00	1000	1550
152	4	3	0.71	0.50	100.00	50.00	1050	1550
153	4	3	0.71	0.50	100.00	50.00	1100	1550
154	4	3	0.71	0.50	100.00	50.00	1150	1550
155	4	3	0.71	0.50	100.00	50.00	1200	1550
156	4	3	0.71	0.50	100.00	50.00	600	1600
157	4	3	0.71	0.50	100.00	50.00	650	1600
158	4	3	0.71	0.50	100.00	50.00	700	1600
159	4	3	0.71	0.50	100.00	50.00	750	1600
160	4	3	0.71	0.50	100.00	50.00	800	1600
161	4	3	0.71	0.50	100.00	50.00	850	1600
162	4	3	0.71	0.50	100.00	50.00	900	1600
163	4	3	0.71	0.50	100.00	50.00	950	1600
164	4	3	0.71	0.50	100.00	50.00	1000	1600
165	4	3	0.71	0.50	100.00	50.00	1050	1600
166	4	3	0.71	0.50	100.00	50.00	1100	1600
167	4	3	0.71	0.50	100.00	50.00	1150	1600
168	4	3	0.71	0.50	100.00	50.00	1200	1600
169	4	3	0.71	0.50	100.00	50.00	600	1650
170	4	3	0.71	0.50	100.00	50.00	650	1650
171	4	3	0.71	0.50	100.00	50.00	700	1650
172	4	3	0.71	0.50	100.00	50.00	750	1650
173	4	3	0.71	0.50	100.00	50.00	800	1650
174	4	3	0.71	0.50	100.00	50.00	850	1650
175	4	3	0.71	0.50	100.00	50.00	900	1650
176	4	3	0.71	0.50	100.00	50.00	950	1650
177	4	3	0.71	0.50	100.00	50.00	1000	1650
178	4	3	0.71	0.50	100.00	50.00	1050	1650
179	4	3	0.71	0.50	100.00	50.00	1100	1650
180	4	3	0.71	0.50	100.00	50.00	1150	1650
181	4	3	0.71	0.50	100.00	50.00	1200	1650
182	4	3	0.71	0.50	100.00	50.00	600	1700
183	4	3	0.71	0.50	100.00	50.00	650	1700
184	4	3	0.71	0.50	100.00	50.00	700	1700
185	4	3	0.71	0.50	100.00	50.00	750	1700
186	4	3	0.71	0.50	100.00	50.00	800	1700
187	4	3	0.71	0.50	100.00	50.00	850	1700
188	4	3	0.71	0.50	100.00	50.00	900	1700
189	4	3	0.71	0.50	100.00	50.00	950	1700
190	4	3	0.71	0.50	100.00	50.00	1000	1700
191	4	3	0.71	0.50	100.00	50.00	1050	1700
192	4	3	0.71	0.50	100.00	50.00	1100	1700
193	4	3	0.71	0.50	100.00	50.00	1150	1700
194	4	3	0.71	0.50	100.00	50.00	1200	1700
195	4	3	0.71	0.50	100.00	50.00	600	1750
196	4	3	0.71	0.50	100.00	50.00	650	1750
197	4	3	0.71	0.50	100.00	50.00	700	1750
198	4	3	0.71	0.50	100.00	50.00	750	1750
199	4	3	0.71	0.50	100.00	50.00	800	1750
200	4	3	0.71	0.50	100.00	50.00	850	1750
201	4	3	0.71	0.50	100.00	50.00	900	1750
202	4	3	0.71	0.50	100.00	50.00	950	1750
203	4	3	0.71	0.50	100.00	50.00	1000	1750
204	4	3	0.71	0.50	100.00	50.00	1050	1750
205	4	3	0.71	0.50	100.00	50.00	1100	1750
206	4	3	0.71	0.50	100.00	50.00	1150	1750
207	4	3	0.71	0.50	100.00	50.00	1200	1750
208	4	3	0.71	0.50	100.00	50.00	600	1800
209	4	3	0.71	0.50	100.00	50.00	650	1800
210	4	3	0.71	0.50	100.00	50.00	700	1800
211	4	3	0.71	0.50	100.00	50.00	750	1800
212	4	3	0.71	0.50	100.00	50.00	800	1800
213	4	3	0.71	0.50	100.00	50.00	850	1800
214	4	3	0.71	0.50	100.00	50.00	900	1800
215	4	3	0.71	0.50	100.00	50.00	950	1800
216	4	3	0.71	0.50	100.00	50.00	1000	1800
217	4	3	0.71	0.50	100.00	50.00	1050	1800
218	4	3	0.71	0.50	100.00	50.00	1100	1800
219	4	3	0.71	0.50	100.00	50.00	1150	1800
220	4	3	0.71	0.50	100.00	50.00	1200	1800
221	4	3	0.71	0.50	100.00	50.00	600	1850
222	4	3	0.71	0.50	100.00	50.00	650	1850
223	4	3	0.71	0.50	100.00	50.00	700	1850
224	4	3	0.71	0.50	100.00	50.00	750	1850
225	4	3	0.71	0.50	100.00	50.00	800	1850
226	4	3	0.71	0.50	100.00	50.00	850	1850
227	4	3	0.71	0.50	100.00	50.00	900	1850
228	4	3	0.71	0.50	100.00	50.00	950	1850
229	4	3	0.71	0.50	100.00	50.00	1000	1850
230	4	3	0.71	0.50	100.00	50.00	1050	1850
231	4	3	0.71	0.50	100.00	50.00	1100	1850
232	4	3	0.71	0.50	100.00	50.00	1150	1850
233	4	3	0.71	0.50	100.00	50.00	1200	1850
234	4	3	0.71	0.50	100.00	50.00	600	1900
235	4	3	0.71	0.50	100.00	50.00	650	1900
236	4	3	0.71	0.50	100.00	50.00	700	1900
