	IN	OUT	RMSE	MAE	enough_zero	delta
0	3	1	2.24	2.00	15	1000
1	3	1	2.24	2.00	16	1000
2	3	1	2.24	2.00	17	1000
3	3	1	2.24	2.00	18	1000
4	3	1	2.24	2.00	19	1000
5	3	1	2.24	2.00	20	1000
6	2	1	1.58	1.50	21	1000
7	2	1	1.58	1.50	22	1000
8	2	1	1.58	1.50	23	1000
9	2	1	1.58	1.50	24	1000
10	1	1	1.00	1.00	25	1000
11	1	1	1.00	1.00	26	1000
12	1	1	1.00	1.00	27	1000
13	1	1	1.00	1.00	28	1000
14	0	1	0.71	0.50	29	1000
15	0	1	0.71	0.50	30	1000
16	0	1	0.71	0.50	31	1000
17	0	0	0.00	0.00	32	1000
18	0	0	0.00	0.00	33	1000
19	3	1	2.24	2.00	15	1050
20	3	1	2.24	2.00	16	1050
21	3	1	2.24	2.00	17	1050
22	3	1	2.24	2.00	18	1050
23	3	1	2.24	2.00	19	1050
24	3	1	2.24	2.00	20	1050
25	2	1	1.58	1.50	21	1050
26	2	1	1.58	1.50	22	1050
27	2	1	1.58	1.50	23	1050
28	2	1	1.58	1.50	24	1050
29	1	1	1.00	1.00	25	1050
30	1	1	1.00	1.00	26	1050
31	1	1	1.00	1.00	27	1050
32	1	1	1.00	1.00	28	1050
33	0	1	0.71	0.50	29	1050
34	0	1	0.71	0.50	30	1050
35	0	1	0.71	0.50	31	1050
36	0	0	0.00	0.00	32	1050
37	0	0	0.00	0.00	33	1050
38	3	1	2.24	2.00	15	1100
39	3	1	2.24	2.00	16	1100
40	3	1	2.24	2.00	17	1100
41	3	1	2.24	2.00	18	1100
42	3	1	2.24	2.00	19	1100
43	3	1	2.24	2.00	20	1100
44	2	1	1.58	1.50	21	1100
45	2	1	1.58	1.50	22	1100
46	2	1	1.58	1.50	23	1100
47	2	1	1.58	1.50	24	1100
48	1	1	1.00	1.00	25	1100
49	1	1	1.00	1.00	26	1100
50	1	1	1.00	1.00	27	1100
51	1	1	1.00	1.00	28	1100
52	0	1	0.71	0.50	29	1100
53	0	1	0.71	0.50	30	1100
54	0	1	0.71	0.50	31	1100
55	0	0	0.00	0.00	32	1100
56	0	0	0.00	0.00	33	1100
57	3	1	2.24	2.00	15	1150
58	3	1	2.24	2.00	16	1150
59	3	1	2.24	2.00	17	1150
60	3	1	2.24	2.00	18	1150
61	3	1	2.24	2.00	19	1150
62	3	1	2.24	2.00	20	1150
63	2	1	1.58	1.50	21	1150
64	2	1	1.58	1.50	22	1150
65	2	1	1.58	1.50	23	1150
66	2	1	1.58	1.50	24	1150
67	1	1	1.00	1.00	25	1150
68	1	1	1.00	1.00	26	1150
69	1	1	1.00	1.00	27	1150
70	1	1	1.00	1.00	28	1150
71	0	1	0.71	0.50	29	1150
72	0	1	0.71	0.50	30	1150
73	0	1	0.71	0.50	31	1150
74	0	0	0.00	0.00	32	1150
75	0	0	0.00	0.00	33	1150
76	3	2	2.55	2.50	15	1200
77	3	2	2.55	2.50	16	1200
78	3	2	2.55	2.50	17	1200
79	3	2	2.55	2.50	18	1200
80	3	2	2.55	2.50	19	1200
81	3	2	2.55	2.50	20	1200
82	2	1	1.58	1.50	21	1200
83	2	1	1.58	1.50	22	1200
84	2	1	1.58	1.50	23	1200
85	2	1	1.58	1.50	24	1200
86	1	1	1.00	1.00	25	1200
