	IN	OUT	RMSE	MAE	span	delta
0	4	1	1.00	1.00	400	800
1	4	1	1.00	1.00	450	800
2	4	1	1.00	1.00	500	800
3	4	1	1.00	1.00	550	800
4	4	1	1.00	1.00	600	800
5	4	1	1.00	1.00	650	800
6	4	1	1.00	1.00	700	800
7	4	2	0.71	0.50	750	800
8	4	2	0.71	0.50	800	800
9	4	2	0.71	0.50	850	800
10	4	2	0.71	0.50	900	800
11	4	2	0.71	0.50	950	800
12	4	2	0.71	0.50	1000	800
13	4	2	0.71	0.50	1050	800
14	4	2	0.71	0.50	1100	800
15	4	2	0.71	0.50	1150	800
16	4	2	0.71	0.50	1200	800
17	4	1	1.00	1.00	400	850
18	4	1	1.00	1.00	450	850
19	4	1	1.00	1.00	500	850
20	4	1	1.00	1.00	550	850
21	4	1	1.00	1.00	600	850
22	4	1	1.00	1.00	650	850
23	4	1	1.00	1.00	700	850
24	4	2	0.71	0.50	750	850
25	4	2	0.71	0.50	800	850
26	4	2	0.71	0.50	850	850
27	4	2	0.71	0.50	900	850
28	4	2	0.71	0.50	950	850
29	4	2	0.71	0.50	1000	850
30	4	2	0.71	0.50	1050	850
31	4	2	0.71	0.50	1100	850
32	4	2	0.71	0.50	1150	850
33	4	2	0.71	0.50	1200	850
34	4	1	1.00	1.00	400	900
35	4	1	1.00	1.00	450	900
36	4	1	1.00	1.00	500	900
37	4	1	1.00	1.00	550	900
38	4	1	1.00	1.00	600	900
39	4	1	1.00	1.00	650	900
40	4	1	1.00	1.00	700	900
41	4	2	0.71	0.50	750	900
42	4	2	0.71	0.50	800	900
43	4	2	0.71	0.50	850	900
44	4	2	0.71	0.50	900	900
45	4	2	0.71	0.50	950	900
46	4	2	0.71	0.50	1000	900
47	4	2	0.71	0.50	1050	900
48	4	2	0.71	0.50	1100	900
49	4	2	0.71	0.50	1150	900
50	4	2	0.71	0.50	1200	900
51	4	1	1.00	1.00	400	950
52	4	1	1.00	1.00	450	950
53	4	1	1.00	1.00	500	950
54	4	1	1.00	1.00	550	950
55	4	1	1.00	1.00	600	950
56	4	1	1.00	1.00	650	950
57	4	1	1.00	1.00	700	950
58	4	2	0.71	0.50	750	950
59	4	2	0.71	0.50	800	950
60	4	2	0.71	0.50	850	950
61	4	2	0.71	0.50	900	950
62	4	2	0.71	0.50	950	950
63	4	2	0.71	0.50	1000	950
64	4	2	0.71	0.50	1050	950
65	4	2	0.71	0.50	1100	950
66	4	2	0.71	0.50	1150	950
67	4	2	0.71	0.50	1200	950
68	4	1	1.00	1.00	400	1000
69	4	1	1.00	1.00	450	1000
70	4	1	1.00	1.00	500	1000
71	4	1	1.00	1.00	550	1000
72	4	1	1.00	1.00	600	1000
73	4	1	1.00	1.00	650	1000
74	4	1	1.00	1.00	700	1000
75	4	2	0.71	0.50	750	1000
76	4	2	0.71	0.50	800	1000
77	4	2	0.71	0.50	850	1000
78	4	2	0.71	0.50	900	1000
79	4	2	0.71	0.50	950	1000
80	4	2	0.71	0.50	1000	1000
81	4	2	0.71	0.50	1050	1000
82	4	2	0.71	0.50	1100	1000
83	4	2	0.71	0.50	1150	1000
84	4	2	0.71	0.50	1200	1000
85	4	1	1.00	1.00	400	1050
86	4	1	1.00	1.00	450	1050
87	4	1	1.00	1.00	500	1050
88	4	1	1.00	1.00	550	1050
89	4	1	1.00	1.00	600	1050
90	4	1	1.00	1.00	650	1050
91	4	1	1.00	1.00	700	1050
92	4	2	0.71	0.50	750	1050
93	4	2	0.71	0.50	800	1050
94	4	2	0.71	0.50	850	1050
95	4	2	0.71	0.50	900	1050
96	4	2	0.71	0.50	950	1050
97	4	2	0.71	0.50	1000	1050
98	4	2	0.71	0.50	1050	1050
99	4	2	0.71	0.50	1100	1050
100	4	2	0.71	0.50	1150	1050
101	4	2	0.71	0.50	1200	1050
102	4	1	1.00	1.00	400	1100
103	4	1	1.00	1.00	450	1100
104	4	1	1.00	1.00	500	1100
105	4	1	1.00	1.00	550	1100
106	4	1	1.00	1.00	600	1100
107	4	1	1.00	1.00	650	1100
108	4	1	1.00	1.00	700	1100
109	4	2	0.71	0.50	750	1100
110	4	2	0.71	0.50	800	1100
111	4	2	0.71	0.50	850	1100
112	4	2	0.71	0.50	900	1100
113	4	2	0.71	0.50	950	1100
114	4	2	0.71	0.50	1000	1100
115	4	2	0.71	0.50	1050	1100
116	4	2	0.71	0.50	1100	1100
117	4	2	0.71	0.50	1150	1100
118	4	2	0.71	0.50	1200	1100
119	4	1	1.00	1.00	400	1150
120	4	1	1.00	1.00	450	1150
121	4	1	1.00	1.00	500	1150
122	4	1	1.00	1.00	550	1150
123	4	1	1.00	1.00	600	1150
124	4	1	1.00	1.00	650	1150
125	4	1	1.00	1.00	700	1150
126	4	2	0.71	0.50	750	1150
127	4	2	0.71	0.50	800	1150
128	4	2	0.71	0.50	850	1150
129	4	2	0.71	0.50	900	1150
130	4	2	0.71	0.50	950	1150
131	4	2	0.71	0.50	1000	1150
132	4	2	0.71	0.50	1050	1150
133	4	2	0.71	0.50	1100	1150
134	4	2	0.71	0.50	1150	1150
135	4	2	0.71	0.50	1200	1150
136	4	1	1.00	1.00	400	1200
137	4	1	1.00	1.00	450	1200
138	4	1	1.00	1.00	500	1200
139	4	1	1.00	1.00	550	1200
140	4	1	1.00	1.00	600	1200
141	4	1	1.00	1.00	650	1200
142	4	1	1.00	1.00	700	1200
143	4	2	0.71	0.50	750	1200
144	4	2	0.71	0.50	800	1200
145	4	2	0.71	0.50	850	1200
146	4	2	0.71	0.50	900	1200
147	4	2	0.71	0.50	950	1200
148	4	2	0.71	0.50	1000	1200
149	4	2	0.71	0.50	1050	1200
150	4	2	0.71	0.50	1100	1200
151	4	2	0.71	0.50	1150	1200
152	4	2	0.71	0.50	1200	1200
153	4	1	1.00	1.00	400	1250
154	4	1	1.00	1.00	450	1250
155	4	1	1.00	1.00	500	1250
156	4	1	1.00	1.00	550	1250
157	4	1	1.00	1.00	600	1250
158	4	1	1.00	1.00	650	1250
159	4	1	1.00	1.00	700	1250
160	4	2	0.71	0.50	750	1250
161	4	2	0.71	0.50	800	1250
162	4	2	0.71	0.50	850	1250
163	4	2	0.71	0.50	900	1250
164	4	2	0.71	0.50	950	1250
165	4	2	0.71	0.50	1000	1250
166	4	2	0.71	0.50	1050	1250
167	4	2	0.71	0.50	1100	1250
168	4	2	0.71	0.50	1150	1250
169	4	2	0.71	0.50	1200	1250
170	4	1	1.00	1.00	400	1300
171	4	1	1.00	1.00	450	1300
172	4	1	1.00	1.00	500	1300
173	4	1	1.00	1.00	550	1300
174	4	1	1.00	1.00	600	1300
175	4	1	1.00	1.00	650	1300
176	4	1	1.00	1.00	700	1300
177	4	2	0.71	0.50	750	1300
178	4	2	0.71	0.50	800	1300
179	4	2	0.71	0.50	850	1300
180	4	2	0.71	0.50	900	1300
