	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	13	12	0.71	0.50	100.0	90.9090909090909	18	1000
1	13	12	0.71	0.50	100.0	90.9090909090909	19	1000
2	10	11	2.12	1.50	76.92307692307692	100.0	20	1000
3	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1000
4	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1000
5	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1000
6	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1000
7	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1000
8	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1000
9	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1000
10	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1000
11	13	12	0.71	0.50	100.0	90.9090909090909	18	1050
12	13	12	0.71	0.50	100.0	90.9090909090909	19	1050
13	10	11	2.12	1.50	76.92307692307692	100.0	20	1050
14	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1050
15	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1050
16	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1050
17	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1050
18	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1050
19	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1050
20	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1050
21	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1050
22	13	12	0.71	0.50	100.0	90.9090909090909	18	1100
23	13	12	0.71	0.50	100.0	90.9090909090909	19	1100
24	10	11	2.12	1.50	76.92307692307692	100.0	20	1100
25	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1100
26	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1100
27	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1100
28	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1100
29	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1100
30	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1100
31	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1100
32	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1100
33	13	12	0.71	0.50	100.0	90.9090909090909	18	1150
34	13	12	0.71	0.50	100.0	90.9090909090909	19	1150
35	10	11	2.12	1.50	76.92307692307692	100.0	20	1150
36	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1150
37	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1150
38	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1150
39	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1150
40	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1150
41	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1150
42	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1150
43	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1150
44	13	12	0.71	0.50	100.0	90.9090909090909	18	1200
45	13	12	0.71	0.50	100.0	90.9090909090909	19	1200
46	10	11	2.12	1.50	76.92307692307692	100.0	20	1200
47	9	10	2.92	2.50	69.23076923076923	90.9090909090909	21	1200
48	6	10	5.00	4.00	46.15384615384615	90.9090909090909	22	1200
49	6	10	5.00	4.00	46.15384615384615	90.9090909090909	23	1200
50	6	7	5.70	5.50	46.15384615384615	63.63636363636363	24	1200
51	5	5	7.07	7.00	38.46153846153846	45.45454545454546	25	1200
52	5	3	8.00	8.00	38.46153846153846	27.272727272727266	26	1200
53	5	3	8.00	8.00	38.46153846153846	27.272727272727266	27	1200
54	5	3	8.00	8.00	38.46153846153846	27.272727272727266	28	1200
55	13	12	0.71	0.50	100.0	90.9090909090909	18	1250
56	13	12	0.71	0.50	100.0	90.9090909090909	19	1250
57	10	11	2.12	1.50	76.92307692307692	100.0	20	1250
