	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	11	13	2.55	2.50	62.5	81.81818181818181	18	1000
1	10	12	1.58	1.50	75.0	90.9090909090909	19	1000
2	7	12	1.00	1.00	87.5	90.9090909090909	20	1000
3	5	10	2.24	2.00	62.5	90.9090909090909	21	1000
4	5	10	2.24	2.00	62.5	90.9090909090909	22	1000
5	5	10	2.24	2.00	62.5	90.9090909090909	23	1000
6	5	10	2.24	2.00	62.5	90.9090909090909	24	1000
7	4	9	3.16	3.00	50.0	81.81818181818181	25	1000
8	3	8	4.12	4.00	37.5	72.72727272727273	26	1000
9	3	7	4.53	4.50	37.5	63.63636363636363	27	1000
10	3	7	4.53	4.50	37.5	63.63636363636363	28	1000
11	11	13	2.55	2.50	62.5	81.81818181818181	18	1050
12	10	12	1.58	1.50	75.0	90.9090909090909	19	1050
13	7	12	1.00	1.00	87.5	90.9090909090909	20	1050
14	5	10	2.24	2.00	62.5	90.9090909090909	21	1050
15	5	10	2.24	2.00	62.5	90.9090909090909	22	1050
16	5	10	2.24	2.00	62.5	90.9090909090909	23	1050
17	5	10	2.24	2.00	62.5	90.9090909090909	24	1050
18	4	9	3.16	3.00	50.0	81.81818181818181	25	1050
19	3	8	4.12	4.00	37.5	72.72727272727273	26	1050
20	3	7	4.53	4.50	37.5	63.63636363636363	27	1050
21	3	7	4.53	4.50	37.5	63.63636363636363	28	1050
22	11	13	2.55	2.50	62.5	81.81818181818181	18	1100
23	10	12	1.58	1.50	75.0	90.9090909090909	19	1100
24	7	12	1.00	1.00	87.5	90.9090909090909	20	1100
25	5	10	2.24	2.00	62.5	90.9090909090909	21	1100
26	5	10	2.24	2.00	62.5	90.9090909090909	22	1100
27	5	10	2.24	2.00	62.5	90.9090909090909	23	1100
28	5	10	2.24	2.00	62.5	90.9090909090909	24	1100
29	4	9	3.16	3.00	50.0	81.81818181818181	25	1100
30	3	8	4.12	4.00	37.5	72.72727272727273	26	1100
31	3	7	4.53	4.50	37.5	63.63636363636363	27	1100
32	3	7	4.53	4.50	37.5	63.63636363636363	28	1100
33	11	13	2.55	2.50	62.5	81.81818181818181	18	1150
34	10	12	1.58	1.50	75.0	90.9090909090909	19	1150
35	7	12	1.00	1.00	87.5	90.9090909090909	20	1150
36	5	10	2.24	2.00	62.5	90.9090909090909	21	1150
37	5	10	2.24	2.00	62.5	90.9090909090909	22	1150
38	5	10	2.24	2.00	62.5	90.9090909090909	23	1150
39	5	10	2.24	2.00	62.5	90.9090909090909	24	1150
40	4	9	3.16	3.00	50.0	81.81818181818181	25	1150
41	3	8	4.12	4.00	37.5	72.72727272727273	26	1150
