	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	3	2	7.28	7.00	37.5	18.181818181818173	600	800
1	3	2	7.28	7.00	37.5	18.181818181818173	650	800
2	3	2	7.28	7.00	37.5	18.181818181818173	700	800
3	3	2	7.28	7.00	37.5	18.181818181818173	750	800
4	3	2	7.28	7.00	37.5	18.181818181818173	800	800
5	3	2	7.28	7.00	37.5	18.181818181818173	850	800
6	3	2	7.28	7.00	37.5	18.181818181818173	900	800
7	3	2	7.28	7.00	37.5	18.181818181818173	950	800
8	3	2	7.28	7.00	37.5	18.181818181818173	1000	800
9	3	2	7.28	7.00	37.5	18.181818181818173	1050	800
10	3	2	7.28	7.00	37.5	18.181818181818173	1100	800
11	3	2	7.28	7.00	37.5	18.181818181818173	1150	800
12	3	2	7.28	7.00	37.5	18.181818181818173	1200	800
13	3	2	7.28	7.00	37.5	18.181818181818173	600	850
14	3	2	7.28	7.00	37.5	18.181818181818173	650	850
15	3	2	7.28	7.00	37.5	18.181818181818173	700	850
16	3	2	7.28	7.00	37.5	18.181818181818173	750	850
17	3	2	7.28	7.00	37.5	18.181818181818173	800	850
18	3	2	7.28	7.00	37.5	18.181818181818173	850	850
19	3	2	7.28	7.00	37.5	18.181818181818173	900	850
20	3	2	7.28	7.00	37.5	18.181818181818173	950	850
21	3	2	7.28	7.00	37.5	18.181818181818173	1000	850
22	3	2	7.28	7.00	37.5	18.181818181818173	1050	850
23	3	2	7.28	7.00	37.5	18.181818181818173	1100	850
24	3	2	7.28	7.00	37.5	18.181818181818173	1150	850
25	3	2	7.28	7.00	37.5	18.181818181818173	1200	850
26	3	2	7.28	7.00	37.5	18.181818181818173	600	900
27	3	2	7.28	7.00	37.5	18.181818181818173	650	900
28	3	2	7.28	7.00	37.5	18.181818181818173	700	900
29	3	2	7.28	7.00	37.5	18.181818181818173	750	900
30	3	2	7.28	7.00	37.5	18.181818181818173	800	900
31	3	2	7.28	7.00	37.5	18.181818181818173	850	900
32	3	2	7.28	7.00	37.5	18.181818181818173	900	900
33	3	2	7.28	7.00	37.5	18.181818181818173	950	900
34	3	2	7.28	7.00	37.5	18.181818181818173	1000	900
35	3	2	7.28	7.00	37.5	18.181818181818173	1050	900
36	3	2	7.28	7.00	37.5	18.181818181818173	1100	900
37	3	2	7.28	7.00	37.5	18.181818181818173	1150	900
38	3	2	7.28	7.00	37.5	18.181818181818173	1200	900
39	3	2	7.28	7.00	37.5	18.181818181818173	600	950
40	3	2	7.28	7.00	37.5	18.181818181818173	650	950
41	3	2	7.28	7.00	37.5	18.181818181818173	700	950
42	3	2	7.28	7.00	37.5	18.181818181818173	750	950
43	3	2	7.28	7.00	37.5	18.181818181818173	800	950
44	3	2	7.28	7.00	37.5	18.181818181818173	850	950
45	3	2	7.28	7.00	37.5	18.181818181818173	900	950
46	3	2	7.28	7.00	37.5	18.181818181818173	950	950
47	3	2	7.28	7.00	37.5	18.181818181818173	1000	950
48	3	2	7.28	7.00	37.5	18.181818181818173	1050	950
49	3	2	7.28	7.00	37.5	18.181818181818173	1100	950
50	3	2	7.28	7.00	37.5	18.181818181818173	1150	950
51	3	2	7.28	7.00	37.5	18.181818181818173	1200	950
52	3	2	7.28	7.00	37.5	18.181818181818173	600	1000
53	3	2	7.28	7.00	37.5	18.181818181818173	650	1000
54	3	2	7.28	7.00	37.5	18.181818181818173	700	1000
55	3	2	7.28	7.00	37.5	18.181818181818173	750	1000
56	3	2	7.28	7.00	37.5	18.181818181818173	800	1000
57	3	2	7.28	7.00	37.5	18.181818181818173	850	1000
58	3	2	7.28	7.00	37.5	18.181818181818173	900	1000
59	3	2	7.28	7.00	37.5	18.181818181818173	950	1000
60	3	2	7.28	7.00	37.5	18.181818181818173	1000	1000
61	3	2	7.28	7.00	37.5	18.181818181818173	1050	1000
