	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	5	10	2.12	1.50	62.5	100.0	18	1000
1	5	10	2.12	1.50	62.5	100.0	19	1000
2	5	9	2.24	2.00	62.5	90.0	20	1000
3	4	6	4.00	4.00	50.0	60.0	21	1000
4	4	6	4.00	4.00	50.0	60.0	22	1000
5	4	6	4.00	4.00	50.0	60.0	23	1000
6	4	6	4.00	4.00	50.0	60.0	24	1000
7	2	5	5.52	5.50	25.0	50.0	25	1000
8	1	4	6.52	6.50	12.5	40.0	26	1000
9	0	2	8.00	8.00	0.0	20.0	27	1000
10	0	2	8.00	8.00	0.0	20.0	28	1000
11	5	10	2.12	1.50	62.5	100.0	18	1050
12	5	10	2.12	1.50	62.5	100.0	19	1050
13	5	9	2.24	2.00	62.5	90.0	20	1050
14	4	6	4.00	4.00	50.0	60.0	21	1050
15	4	6	4.00	4.00	50.0	60.0	22	1050
16	4	6	4.00	4.00	50.0	60.0	23	1050
17	4	6	4.00	4.00	50.0	60.0	24	1050
18	2	5	5.52	5.50	25.0	50.0	25	1050
19	1	4	6.52	6.50	12.5	40.0	26	1050
20	0	2	8.00	8.00	0.0	20.0	27	1050
21	0	2	8.00	8.00	0.0	20.0	28	1050
22	5	10	2.12	1.50	62.5	100.0	18	1100
23	5	10	2.12	1.50	62.5	100.0	19	1100
24	5	9	2.24	2.00	62.5	90.0	20	1100
25	4	6	4.00	4.00	50.0	60.0	21	1100
26	4	6	4.00	4.00	50.0	60.0	22	1100
27	4	6	4.00	4.00	50.0	60.0	23	1100
28	4	6	4.00	4.00	50.0	60.0	24	1100
29	2	5	5.52	5.50	25.0	50.0	25	1100
30	1	4	6.52	6.50	12.5	40.0	26	1100
31	0	2	8.00	8.00	0.0	20.0	27	1100
32	0	2	8.00	8.00	0.0	20.0	28	1100
33	5	10	2.12	1.50	62.5	100.0	18	1150
34	5	10	2.12	1.50	62.5	100.0	19	1150
35	5	9	2.24	2.00	62.5	90.0	20	1150
36	4	6	4.00	4.00	50.0	60.0	21	1150
37	4	6	4.00	4.00	50.0	60.0	22	1150
38	4	6	4.00	4.00	50.0	60.0	23	1150
39	4	6	4.00	4.00	50.0	60.0	24	1150
40	2	5	5.52	5.50	25.0	50.0	25	1150
41	1	4	6.52	6.50	12.5	40.0	26	1150
42	0	2	8.00	8.00	0.0	20.0	27	1150
43	0	2	8.00	8.00	0.0	20.0	28	1150
44	5	10	2.12	1.50	62.5	100.0	18	1200
45	5	10	2.12	1.50	62.5	100.0	19	1200
46	5	9	2.24	2.00	62.5	90.0	20	1200
47	4	6	4.00	4.00	50.0	60.0	21	1200
48	4	6	4.00	4.00	50.0	60.0	22	1200
49	4	6	4.00	4.00	50.0	60.0	23	1200
50	4	6	4.00	4.00	50.0	60.0	24	1200
51	2	5	5.52	5.50	25.0	50.0	25	1200
52	1	4	6.52	6.50	12.5	40.0	26	1200
53	0	2	8.00	8.00	0.0	20.0	27	1200
54	0	2	8.00	8.00	0.0	20.0	28	1200
55	5	10	2.12	1.50	62.5	100.0	18	1250
56	5	10	2.12	1.50	62.5	100.0	19	1250
57	5	9	2.24	2.00	62.5	90.0	20	1250
58	4	6	4.00	4.00	50.0	60.0	21	1250
59	4	6	4.00	4.00	50.0	60.0	22	1250
60	4	6	4.00	4.00	50.0	60.0	23	1250
61	4	6	4.00	4.00	50.0	60.0	24	1250
62	2	5	5.52	5.50	25.0	50.0	25	1250
63	1	4	6.52	6.50	12.5	40.0	26	1250
64	0	2	8.00	8.00	0.0	20.0	27	1250
65	0	2	8.00	8.00	0.0	20.0	28	1250
66	5	10	2.12	1.50	62.5	100.0	18	1300
67	5	10	2.12	1.50	62.5	100.0	19	1300
68	5	9	2.24	2.00	62.5	90.0	20	1300
69	4	6	4.00	4.00	50.0	60.0	21	1300
70	4	6	4.00	4.00	50.0	60.0	22	1300
71	4	6	4.00	4.00	50.0	60.0	23	1300
72	4	6	4.00	4.00	50.0	60.0	24	1300
73	2	5	5.52	5.50	25.0	50.0	25	1300
74	1	4	6.52	6.50	12.5	40.0	26	1300
75	0	2	8.00	8.00	0.0	20.0	27	1300
76	0	2	8.00	8.00	0.0	20.0	28	1300
77	5	10	2.12	1.50	62.5	100.0	18	1350
78	5	10	2.12	1.50	62.5	100.0	19	1350
79	5	9	2.24	2.00	62.5	90.0	20	1350
80	4	6	4.00	4.00	50.0	60.0	21	1350
81	4	6	4.00	4.00	50.0	60.0	22	1350
82	4	6	4.00	4.00	50.0	60.0	23	1350
83	4	6	4.00	4.00	50.0	60.0	24	1350
84	2	5	5.52	5.50	25.0	50.0	25	1350
85	1	4	6.52	6.50	12.5	40.0	26	1350
86	0	2	8.00	8.00	0.0	20.0	27	1350
87	0	2	8.00	8.00	0.0	20.0	28	1350
88	5	10	2.12	1.50	62.5	100.0	18	1400
89	5	10	2.12	1.50	62.5	100.0	19	1400
90	5	9	2.24	2.00	62.5	90.0	20	1400
91	4	6	4.00	4.00	50.0	60.0	21	1400
92	4	6	4.00	4.00	50.0	60.0	22	1400
93	4	6	4.00	4.00	50.0	60.0	23	1400
94	4	6	4.00	4.00	50.0	60.0	24	1400
95	2	5	5.52	5.50	25.0	50.0	25	1400
96	1	4	6.52	6.50	12.5	40.0	26	1400
97	0	2	8.00	8.00	0.0	20.0	27	1400
98	0	2	8.00	8.00	0.0	20.0	28	1400
99	5	10	2.12	1.50	62.5	100.0	18	1450
100	5	10	2.12	1.50	62.5	100.0	19	1450
101	5	9	2.24	2.00	62.5	90.0	20	1450
102	4	6	4.00	4.00	50.0	60.0	21	1450
103	4	6	4.00	4.00	50.0	60.0	22	1450
104	4	6	4.00	4.00	50.0	60.0	23	1450
105	4	6	4.00	4.00	50.0	60.0	24	1450
106	2	5	5.52	5.50	25.0	50.0	25	1450
107	1	4	6.52	6.50	12.5	40.0	26	1450
108	0	2	8.00	8.00	0.0	20.0	27	1450
109	0	2	8.00	8.00	0.0	20.0	28	1450
110	5	10	2.12	1.50	62.5	100.0	18	1500
111	5	10	2.12	1.50	62.5	100.0	19	1500
112	5	9	2.24	2.00	62.5	90.0	20	1500
113	4	6	4.00	4.00	50.0	60.0	21	1500
114	4	6	4.00	4.00	50.0	60.0	22	1500
115	4	6	4.00	4.00	50.0	60.0	23	1500
116	4	6	4.00	4.00	50.0	60.0	24	1500
117	2	5	5.52	5.50	25.0	50.0	25	1500
118	1	4	6.52	6.50	12.5	40.0	26	1500
119	0	2	8.00	8.00	0.0	20.0	27	1500
120	0	2	8.00	8.00	0.0	20.0	28	1500
121	5	10	2.12	1.50	62.5	100.0	18	1550
122	5	10	2.12	1.50	62.5	100.0	19	1550
123	5	9	2.24	2.00	62.5	90.0	20	1550
124	4	6	4.00	4.00	50.0	60.0	21	1550
125	4	6	4.00	4.00	50.0	60.0	22	1550
126	4	6	4.00	4.00	50.0	60.0	23	1550
127	4	6	4.00	4.00	50.0	60.0	24	1550
128	2	5	5.52	5.50	25.0	50.0	25	1550
129	1	4	6.52	6.50	12.5	40.0	26	1550
130	0	2	8.00	8.00	0.0	20.0	27	1550
131	0	2	8.00	8.00	0.0	20.0	28	1550
132	5	10	2.12	1.50	62.5	100.0	18	1600
133	5	10	2.12	1.50	62.5	100.0	19	1600
134	5	9	2.24	2.00	62.5	90.0	20	1600
135	4	6	4.00	4.00	50.0	60.0	21	1600
136	4	6	4.00	4.00	50.0	60.0	22	1600
137	4	6	4.00	4.00	50.0	60.0	23	1600
138	4	6	4.00	4.00	50.0	60.0	24	1600
