	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	6	3	5.15	4.50	75.0	30.0	600	800
1	7	3	5.00	4.00	87.5	30.0	650	800
2	7	3	5.00	4.00	87.5	30.0	700	800
3	7	4	4.30	3.50	87.5	40.0	750	800
4	7	4	4.30	3.50	87.5	40.0	800	800
5	7	4	4.30	3.50	87.5	40.0	850	800
6	7	4	4.30	3.50	87.5	40.0	900	800
7	7	4	4.30	3.50	87.5	40.0	950	800
8	7	4	4.30	3.50	87.5	40.0	1000	800
9	7	4	4.30	3.50	87.5	40.0	1050	800
10	7	4	4.30	3.50	87.5	40.0	1100	800
11	7	4	4.30	3.50	87.5	40.0	1150	800
12	7	4	4.30	3.50	87.5	40.0	1200	800
13	6	3	5.15	4.50	75.0	30.0	600	850
14	7	3	5.00	4.00	87.5	30.0	650	850
15	7	3	5.00	4.00	87.5	30.0	700	850
16	7	4	4.30	3.50	87.5	40.0	750	850
17	7	4	4.30	3.50	87.5	40.0	800	850
18	7	4	4.30	3.50	87.5	40.0	850	850
19	7	4	4.30	3.50	87.5	40.0	900	850
20	7	4	4.30	3.50	87.5	40.0	950	850
21	7	4	4.30	3.50	87.5	40.0	1000	850
22	7	4	4.30	3.50	87.5	40.0	1050	850
23	7	4	4.30	3.50	87.5	40.0	1100	850
24	7	4	4.30	3.50	87.5	40.0	1150	850
25	7	4	4.30	3.50	87.5	40.0	1200	850
26	6	3	5.15	4.50	75.0	30.0	600	900
27	7	3	5.00	4.00	87.5	30.0	650	900
28	7	3	5.00	4.00	87.5	30.0	700	900
29	7	4	4.30	3.50	87.5	40.0	750	900
30	7	4	4.30	3.50	87.5	40.0	800	900
31	7	4	4.30	3.50	87.5	40.0	850	900
32	7	4	4.30	3.50	87.5	40.0	900	900
33	7	4	4.30	3.50	87.5	40.0	950	900
34	7	4	4.30	3.50	87.5	40.0	1000	900
35	7	4	4.30	3.50	87.5	40.0	1050	900
36	7	4	4.30	3.50	87.5	40.0	1100	900
37	7	4	4.30	3.50	87.5	40.0	1150	900
38	7	4	4.30	3.50	87.5	40.0	1200	900
39	6	4	4.47	4.00	75.0	40.0	600	950
40	7	4	4.30	3.50	87.5	40.0	650	950
41	7	4	4.30	3.50	87.5	40.0	700	950
42	7	4	4.30	3.50	87.5	40.0	750	950
43	7	4	4.30	3.50	87.5	40.0	800	950
44	7	4	4.30	3.50	87.5	40.0	850	950
45	7	4	4.30	3.50	87.5	40.0	900	950
46	7	4	4.30	3.50	87.5	40.0	950	950
47	7	4	4.30	3.50	87.5	40.0	1000	950
48	7	4	4.30	3.50	87.5	40.0	1050	950
49	7	4	4.30	3.50	87.5	40.0	1100	950
50	8	4	4.24	3.00	100.0	40.0	1150	950
51	8	4	4.24	3.00	100.0	40.0	1200	950
52	6	4	4.47	4.00	75.0	40.0	600	1000
53	7	4	4.30	3.50	87.5	40.0	650	1000
54	7	4	4.30	3.50	87.5	40.0	700	1000
55	7	4	4.30	3.50	87.5	40.0	750	1000
56	7	4	4.30	3.50	87.5	40.0	800	1000
57	7	4	4.30	3.50	87.5	40.0	850	1000
58	7	4	4.30	3.50	87.5	40.0	900	1000
59	7	4	4.30	3.50	87.5	40.0	950	1000
60	7	4	4.30	3.50	87.5	40.0	1000	1000
61	7	4	4.30	3.50	87.5	40.0	1050	1000
62	7	4	4.30	3.50	87.5	40.0	1100	1000
63	8	4	4.24	3.00	100.0	40.0	1150	1000
64	8	4	4.24	3.00	100.0	40.0	1200	1000
65	6	4	4.47	4.00	75.0	40.0	600	1050
66	7	4	4.30	3.50	87.5	40.0	650	1050
67	7	4	4.30	3.50	87.5	40.0	700	1050
68	7	4	4.30	3.50	87.5	40.0	750	1050
69	7	4	4.30	3.50	87.5	40.0	800	1050
70	7	4	4.30	3.50	87.5	40.0	850	1050
71	7	4	4.30	3.50	87.5	40.0	900	1050
72	7	4	4.30	3.50	87.5	40.0	950	1050
