	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	15	17	6.52	6.50	12.5	45.45454545454546	18	1000
1	14	16	5.52	5.50	25.0	54.54545454545455	19	1000
2	8	16	3.54	2.50	100.0	54.54545454545455	20	1000
3	6	14	2.55	2.50	75.0	72.72727272727273	21	1000
4	6	13	2.00	2.00	75.0	81.81818181818181	22	1000
5	6	13	2.00	2.00	75.0	81.81818181818181	23	1000
6	6	13	2.00	2.00	75.0	81.81818181818181	24	1000
7	4	12	2.92	2.50	50.0	90.9090909090909	25	1000
8	3	11	3.54	2.50	37.5	100.0	26	1000
9	3	9	3.81	3.50	37.5	81.81818181818181	27	1000
10	3	9	3.81	3.50	37.5	81.81818181818181	28	1000
11	2	8	4.74	4.50	25.0	72.72727272727273	29	1000
12	2	7	5.10	5.00	25.0	63.63636363636363	30	1000
13	15	17	6.52	6.50	12.5	45.45454545454546	18	1050
14	14	16	5.52	5.50	25.0	54.54545454545455	19	1050
15	8	16	3.54	2.50	100.0	54.54545454545455	20	1050
16	6	14	2.55	2.50	75.0	72.72727272727273	21	1050
17	6	13	2.00	2.00	75.0	81.81818181818181	22	1050
18	6	13	2.00	2.00	75.0	81.81818181818181	23	1050
19	6	13	2.00	2.00	75.0	81.81818181818181	24	1050
20	4	12	2.92	2.50	50.0	90.9090909090909	25	1050
21	3	11	3.54	2.50	37.5	100.0	26	1050
22	3	9	3.81	3.50	37.5	81.81818181818181	27	1050
23	3	9	3.81	3.50	37.5	81.81818181818181	28	1050
24	2	8	4.74	4.50	25.0	72.72727272727273	29	1050
25	2	7	5.10	5.00	25.0	63.63636363636363	30	1050
26	15	17	6.52	6.50	12.5	45.45454545454546	18	1100
27	14	16	5.52	5.50	25.0	54.54545454545455	19	1100
28	8	16	3.54	2.50	100.0	54.54545454545455	20	1100
29	6	14	2.55	2.50	75.0	72.72727272727273	21	1100
30	6	13	2.00	2.00	75.0	81.81818181818181	22	1100
31	6	13	2.00	2.00	75.0	81.81818181818181	23	1100
32	6	13	2.00	2.00	75.0	81.81818181818181	24	1100
33	4	12	2.92	2.50	50.0	90.9090909090909	25	1100
34	3	11	3.54	2.50	37.5	100.0	26	1100
35	3	9	3.81	3.50	37.5	81.81818181818181	27	1100
36	3	9	3.81	3.50	37.5	81.81818181818181	28	1100
37	2	8	4.74	4.50	25.0	72.72727272727273	29	1100
38	2	7	5.10	5.00	25.0	63.63636363636363	30	1100
39	15	17	6.52	6.50	12.5	45.45454545454546	18	1150
40	14	16	5.52	5.50	25.0	54.54545454545455	19	1150
41	8	16	3.54	2.50	100.0	54.54545454545455	20	1150
42	6	14	2.55	2.50	75.0	72.72727272727273	21	1150
43	6	13	2.00	2.00	75.0	81.81818181818181	22	1150
44	6	13	2.00	2.00	75.0	81.81818181818181	23	1150
45	6	13	2.00	2.00	75.0	81.81818181818181	24	1150
46	4	12	2.92	2.50	50.0	90.9090909090909	25	1150
47	3	11	3.54	2.50	37.5	100.0	26	1150
48	3	9	3.81	3.50	37.5	81.81818181818181	27	1150
49	3	9	3.81	3.50	37.5	81.81818181818181	28	1150
50	2	8	4.74	4.50	25.0	72.72727272727273	29	1150
51	2	7	5.10	5.00	25.0	63.63636363636363	30	1150
52	15	18	7.00	7.00	12.5	36.36363636363637	18	1200
53	14	17	6.00	6.00	25.0	45.45454545454546	19	1200
54	8	17	4.24	3.00	100.0	45.45454545454546	20	1200
55	6	14	2.55	2.50	75.0	72.72727272727273	21	1200
56	6	13	2.00	2.00	75.0	81.81818181818181	22	1200
57	6	13	2.00	2.00	75.0	81.81818181818181	23	1200
58	6	13	2.00	2.00	75.0	81.81818181818181	24	1200
59	4	12	2.92	2.50	50.0	90.9090909090909	25	1200
60	3	11	3.54	2.50	37.5	100.0	26	1200
61	3	9	3.81	3.50	37.5	81.81818181818181	27	1200
62	3	9	3.81	3.50	37.5	81.81818181818181	28	1200
63	2	8	4.74	4.50	25.0	72.72727272727273	29	1200
64	2	7	5.10	5.00	25.0	63.63636363636363	30	1200
65	15	18	7.00	7.00	12.5	36.36363636363637	18	1250
66	14	17	6.00	6.00	25.0	45.45454545454546	19	1250
67	8	17	4.24	3.00	100.0	45.45454545454546	20	1250
68	6	14	2.55	2.50	75.0	72.72727272727273	21	1250
69	6	13	2.00	2.00	75.0	81.81818181818181	22	1250
70	6	13	2.00	2.00	75.0	81.81818181818181	23	1250
71	6	13	2.00	2.00	75.0	81.81818181818181	24	1250
72	4	12	2.92	2.50	50.0	90.9090909090909	25	1250
73	3	11	3.54	2.50	37.5	100.0	26	1250
74	3	9	3.81	3.50	37.5	81.81818181818181	27	1250
75	3	9	3.81	3.50	37.5	81.81818181818181	28	1250
76	2	8	4.74	4.50	25.0	72.72727272727273	29	1250
