	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	4	2	6.96	6.50	50.0	18.181818181818173	500	800
1	4	2	6.96	6.50	50.0	18.181818181818173	550	800
2	4	2	6.96	6.50	50.0	18.181818181818173	600	800
3	4	2	6.96	6.50	50.0	18.181818181818173	650	800
4	4	2	6.96	6.50	50.0	18.181818181818173	700	800
5	4	3	6.32	6.00	50.0	27.272727272727266	750	800
6	4	3	6.32	6.00	50.0	27.272727272727266	800	800
7	4	3	6.32	6.00	50.0	27.272727272727266	850	800
8	4	3	6.32	6.00	50.0	27.272727272727266	900	800
9	4	3	6.32	6.00	50.0	27.272727272727266	950	800
10	4	3	6.32	6.00	50.0	27.272727272727266	1000	800
11	4	3	6.32	6.00	50.0	27.272727272727266	1050	800
12	4	3	6.32	6.00	50.0	27.272727272727266	1100	800
13	4	3	6.32	6.00	50.0	27.272727272727266	1150	800
14	4	3	6.32	6.00	50.0	27.272727272727266	1200	800
15	4	2	6.96	6.50	50.0	18.181818181818173	500	850
16	4	2	6.96	6.50	50.0	18.181818181818173	550	850
17	4	2	6.96	6.50	50.0	18.181818181818173	600	850
18	4	2	6.96	6.50	50.0	18.181818181818173	650	850
19	4	2	6.96	6.50	50.0	18.181818181818173	700	850
20	4	3	6.32	6.00	50.0	27.272727272727266	750	850
21	4	3	6.32	6.00	50.0	27.272727272727266	800	850
22	4	3	6.32	6.00	50.0	27.272727272727266	850	850
23	4	3	6.32	6.00	50.0	27.272727272727266	900	850
24	5	3	6.04	5.50	62.5	27.272727272727266	950	850
25	5	3	6.04	5.50	62.5	27.272727272727266	1000	850
26	5	3	6.04	5.50	62.5	27.272727272727266	1050	850
27	5	3	6.04	5.50	62.5	27.272727272727266	1100	850
28	5	3	6.04	5.50	62.5	27.272727272727266	1150	850
29	5	3	6.04	5.50	62.5	27.272727272727266	1200	850
30	4	2	6.96	6.50	50.0	18.181818181818173	500	900
31	4	2	6.96	6.50	50.0	18.181818181818173	550	900
32	4	2	6.96	6.50	50.0	18.181818181818173	600	900
33	4	2	6.96	6.50	50.0	18.181818181818173	650	900
