	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	enough_zero	delta
0	9	15	2.92	2.50	87.5	63.63636363636363	18	1000
1	9	15	2.92	2.50	87.5	63.63636363636363	19	1000
2	9	14	2.24	2.00	87.5	72.72727272727273	20	1000
3	7	10	1.00	1.00	87.5	90.9090909090909	21	1000
4	6	10	1.58	1.50	75.0	90.9090909090909	22	1000
5	6	10	1.58	1.50	75.0	90.9090909090909	23	1000
6	6	10	1.58	1.50	75.0	90.9090909090909	24	1000
7	3	8	4.12	4.00	37.5	72.72727272727273	25	1000
8	2	6	5.52	5.50	25.0	54.54545454545455	26	1000
9	1	4	7.00	7.00	12.5	36.36363636363637	27	1000
10	1	4	7.00	7.00	12.5	36.36363636363637	28	1000
11	1	4	7.00	7.00	12.5	36.36363636363637	29	1000
12	1	3	7.52	7.50	12.5	27.272727272727266	30	1000
13	9	15	2.92	2.50	87.5	63.63636363636363	18	1050
14	9	15	2.92	2.50	87.5	63.63636363636363	19	1050
15	9	14	2.24	2.00	87.5	72.72727272727273	20	1050
16	7	10	1.00	1.00	87.5	90.9090909090909	21	1050
17	6	10	1.58	1.50	75.0	90.9090909090909	22	1050
18	6	10	1.58	1.50	75.0	90.9090909090909	23	1050
19	6	10	1.58	1.50	75.0	90.9090909090909	24	1050
20	3	8	4.12	4.00	37.5	72.72727272727273	25	1050
21	2	6	5.52	5.50	25.0	54.54545454545455	26	1050
22	1	4	7.00	7.00	12.5	36.36363636363637	27	1050
23	1	4	7.00	7.00	12.5	36.36363636363637	28	1050
24	1	4	7.00	7.00	12.5	36.36363636363637	29	1050
25	1	3	7.52	7.50	12.5	27.272727272727266	30	1050
26	9	15	2.92	2.50	87.5	63.63636363636363	18	1100
27	9	15	2.92	2.50	87.5	63.63636363636363	19	1100
28	9	14	2.24	2.00	87.5	72.72727272727273	20	1100
29	7	10	1.00	1.00	87.5	90.9090909090909	21	1100
30	6	10	1.58	1.50	75.0	90.9090909090909	22	1100
31	6	10	1.58	1.50	75.0	90.9090909090909	23	1100
32	6	10	1.58	1.50	75.0	90.9090909090909	24	1100
33	3	8	4.12	4.00	37.5	72.72727272727273	25	1100
34	2	6	5.52	5.50	25.0	54.54545454545455	26	1100
35	1	4	7.00	7.00	12.5	36.36363636363637	27	1100
36	1	4	7.00	7.00	12.5	36.36363636363637	28	1100
37	1	4	7.00	7.00	12.5	36.36363636363637	29	1100
38	1	3	7.52	7.50	12.5	27.272727272727266	30	1100
39	9	15	2.92	2.50	87.5	63.63636363636363	18	1150
40	9	15	2.92	2.50	87.5	63.63636363636363	19	1150
41	9	14	2.24	2.00	87.5	72.72727272727273	20	1150
42	7	10	1.00	1.00	87.5	90.9090909090909	21	1150
43	6	10	1.58	1.50	75.0	90.9090909090909	22	1150
44	6	10	1.58	1.50	75.0	90.9090909090909	23	1150
45	6	10	1.58	1.50	75.0	90.9090909090909	24	1150
46	3	8	4.12	4.00	37.5	72.72727272727273	25	1150
47	2	6	5.52	5.50	25.0	54.54545454545455	26	1150
48	1	4	7.00	7.00	12.5	36.36363636363637	27	1150
49	1	4	7.00	7.00	12.5	36.36363636363637	28	1150
50	1	4	7.00	7.00	12.5	36.36363636363637	29	1150
