	IN	OUT	RMSE	MAE	ACC. IN	ACC.OUT	span	delta
0	7	5	4.30	3.50	87.5	45.45454545454546	500	800
1	7	6	3.61	3.00	87.5	54.54545454545455	550	800
2	7	6	3.61	3.00	87.5	54.54545454545455	600	800
3	8	6	3.54	2.50	100.0	54.54545454545455	650	800
4	8	6	3.54	2.50	100.0	54.54545454545455	700	800
5	8	7	2.83	2.00	100.0	63.63636363636363	750	800
6	8	7	2.83	2.00	100.0	63.63636363636363	800	800
7	8	7	2.83	2.00	100.0	63.63636363636363	850	800
8	8	7	2.83	2.00	100.0	63.63636363636363	900	800
9	8	7	2.83	2.00	100.0	63.63636363636363	950	800
10	8	7	2.83	2.00	100.0	63.63636363636363	1000	800
11	8	7	2.83	2.00	100.0	63.63636363636363	1050	800
12	8	7	2.83	2.00	100.0	63.63636363636363	1100	800
13	8	7	2.83	2.00	100.0	63.63636363636363	1150	800
14	8	7	2.83	2.00	100.0	63.63636363636363	1200	800
15	7	5	4.30	3.50	87.5	45.45454545454546	500	850
16	7	6	3.61	3.00	87.5	54.54545454545455	550	850
17	7	6	3.61	3.00	87.5	54.54545454545455	600	850
18	8	6	3.54	2.50	100.0	54.54545454545455	650	850
19	8	6	3.54	2.50	100.0	54.54545454545455	700	850
20	8	7	2.83	2.00	100.0	63.63636363636363	750	850
21	8	7	2.83	2.00	100.0	63.63636363636363	800	850
22	8	7	2.83	2.00	100.0	63.63636363636363	850	850
23	8	7	2.83	2.00	100.0	63.63636363636363	900	850
24	8	7	2.83	2.00	100.0	63.63636363636363	950	850
25	8	7	2.83	2.00	100.0	63.63636363636363	1000	850
26	8	7	2.83	2.00	100.0	63.63636363636363	1050	850
27	8	7	2.83	2.00	100.0	63.63636363636363	1100	850
28	8	7	2.83	2.00	100.0	63.63636363636363	1150	850
29	8	7	2.83	2.00	100.0	63.63636363636363	1200	850
30	7	5	4.30	3.50	87.5	45.45454545454546	500	900
31	7	6	3.61	3.00	87.5	54.54545454545455	550	900
32	7	6	3.61	3.00	87.5	54.54545454545455	600	900
33	8	6	3.54	2.50	100.0	54.54545454545455	650	900
34	8	6	3.54	2.50	100.0	54.54545454545455	700	900
35	8	7	2.83	2.00	100.0	63.63636363636363	750	900
36	8	7	2.83	2.00	100.0	63.63636363636363	800	900
37	8	7	2.83	2.00	100.0	63.63636363636363	850	900
38	8	7	2.83	2.00	100.0	63.63636363636363	900	900
39	8	7	2.83	2.00	100.0	63.63636363636363	950	900
40	8	7	2.83	2.00	100.0	63.63636363636363	1000	900
41	8	7	2.83	2.00	100.0	63.63636363636363	1050	900
42	8	7	2.83	2.00	100.0	63.63636363636363	1100	900
43	8	7	2.83	2.00	100.0	63.63636363636363	1150	900
44	8	7	2.83	2.00	100.0	63.63636363636363	1200	900
45	7	5	4.30	3.50	87.5	45.45454545454546	500	950
46	7	6	3.61	3.00	87.5	54.54545454545455	550	950
47	7	6	3.61	3.00	87.5	54.54545454545455	600	950
48	8	6	3.54	2.50	100.0	54.54545454545455	650	950
49	8	6	3.54	2.50	100.0	54.54545454545455	700	950
50	8	7	2.83	2.00	100.0	63.63636363636363	750	950
51	8	7	2.83	2.00	100.0	63.63636363636363	800	950
52	8	7	2.83	2.00	100.0	63.63636363636363	850	950
53	8	7	2.83	2.00	100.0	63.63636363636363	900	950
54	8	7	2.83	2.00	100.0	63.63636363636363	950	950
55	8	7	2.83	2.00	100.0	63.63636363636363	1000	950
56	8	7	2.83	2.00	100.0	63.63636363636363	1050	950
57	8	7	2.83	2.00	100.0	63.63636363636363	1100	950
58	8	7	2.83	2.00	100.0	63.63636363636363	1150	950
59	8	7	2.83	2.00	100.0	63.63636363636363	1200	950
60	7	5	4.30	3.50	87.5	45.45454545454546	500	1000
61	7	6	3.61	3.00	87.5	54.54545454545455	550	1000
62	7	6	3.61	3.00	87.5	54.54545454545455	600	1000
63	8	6	3.54	2.50	100.0	54.54545454545455	650	1000
64	8	6	3.54	2.50	100.0	54.54545454545455	700	1000
65	8	7	2.83	2.00	100.0	63.63636363636363	750	1000
66	8	7	2.83	2.00	100.0	63.63636363636363	800	1000
67	8	7	2.83	2.00	100.0	63.63636363636363	850	1000
68	8	7	2.83	2.00	100.0	63.63636363636363	900	1000
69	8	7	2.83	2.00	100.0	63.63636363636363	950	1000
