	IN	OUT	RMSE	span	delta
0	20	23	2.1213203435596424	600	1000
1	20	23	2.1213203435596424	600	1200
2	20	23	2.1213203435596424	600	1400
3	20	23	2.1213203435596424	600	1600
4	21	23	1.4142135623730951	600	1800
5	20	23	2.1213203435596424	700	1000
6	20	23	2.1213203435596424	700	1200
7	20	23	2.1213203435596424	700	1400
8	20	23	2.1213203435596424	700	1600
9	21	23	1.4142135623730951	700	1800
10	20	23	2.1213203435596424	800	1000
11	20	23	2.1213203435596424	800	1200
12	20	23	2.1213203435596424	800	1400
13	20	23	2.1213203435596424	800	1600
14	21	23	1.4142135623730951	800	1800
15	20	23	2.1213203435596424	850	1000
16	20	23	2.1213203435596424	850	1200
17	20	23	2.1213203435596424	850	1400
18	20	23	2.1213203435596424	850	1600
19	21	23	1.4142135623730951	850	1800
20	20	23	2.1213203435596424	900	1000
21	20	23	2.1213203435596424	900	1200
22	20	23	2.1213203435596424	900	1400
23	20	23	2.1213203435596424	900	1600
24	21	23	1.4142135623730951	900	1800
